country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Afghanistan,Badakhshan,March,2023,2,1,0,1,2.0,0.0,1.0,1.0,1728560602
Afghanistan,Badakhshan,April,2023,3,0,1,1,8.0,0.0,0.0,8.0,1728560602
Afghanistan,Badakhshan,May,2023,6,0,1,5,2.0,0.0,0.0,2.0,1728560602
Afghanistan,Badakhshan,June,2023,3,1,0,2,3.0,0.0,3.0,0.0,1728560602
Afghanistan,Badakhshan,July,2023,3,0,2,1,4.0,1.0,0.0,3.0,1728560602
Afghanistan,Badakhshan,August,2023,4,1,0,3,18.0,14.0,1.0,3.0,1728560602
Afghanistan,Badakhshan,September,2023,13,10,1,2,7.0,6.0,0.0,1.0,1728560602
Afghanistan,Badakhshan,October,2023,4,2,0,2,4.0,1.0,1.0,2.0,1728560602
Afghanistan,Badakhshan,November,2023,4,1,1,2,1.0,0.0,1.0,0.0,1728560602
Afghanistan,Badakhshan,December,2023,2,0,1,1,3.0,2.0,0.0,1.0,1728560603
Afghanistan,Badakhshan,January,2024,2,1,0,1,4.0,1.0,0.0,3.0,1728560603
Afghanistan,Badakhshan,February,2024,4,1,0,3,0.0,0.0,0.0,0.0,1728560603
Afghanistan,Badakhshan,March,2024,0,0,0,0,2.0,1.0,0.0,1.0,1728560603
Afghanistan,Badakhshan,April,2024,2,1,0,1,0.0,0.0,0.0,0.0,1728560603
Afghanistan,Badakhshan,May,2024,0,0,0,0,2.0,0.0,1.0,1.0,1728560603
Afghanistan,Badakhshan,June,2024,2,0,1,1,1.0,0.0,0.0,1.0,1728560603
Afghanistan,Badakhshan,July,2024,2,1,0,1,4.0,2.0,0.0,2.0,1728560603
Afghanistan,Badakhshan,August,2024,3,2,0,1,3.0,0.0,0.0,3.0,1728560603
Afghanistan,Badghis,March,2023,2,0,1,1,2.0,0.0,0.0,2.0,1728560603
Afghanistan,Badghis,April,2023,2,1,0,1,3.0,0.0,0.0,3.0,1728560603
Afghanistan,Badghis,May,2023,3,0,0,2,1.0,0.0,0.0,1.0,1728560603
Afghanistan,Badghis,June,2023,2,1,0,1,0.0,0.0,0.0,0.0,1728560603
Afghanistan,Badghis,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560603
Afghanistan,Badghis,August,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560603
Afghanistan,Badghis,September,2023,0,0,0,0,1.0,1.0,0.0,0.0,1728560603
Afghanistan,Badghis,October,2023,2,1,0,1,0.0,0.0,0.0,0.0,1728560603
Afghanistan,Badghis,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560603
Afghanistan,Badghis,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560603
Afghanistan,Badghis,January,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560603
Afghanistan,Badghis,February,2024,1,0,0,1,2.0,0.0,0.0,2.0,1728560603
Afghanistan,Badghis,March,2024,2,0,0,2,0.0,0.0,0.0,0.0,1728560603
Afghanistan,Badghis,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560603
Afghanistan,Badghis,May,2024,0,0,0,0,1.0,1.0,0.0,0.0,1728560603
Afghanistan,Badghis,June,2024,2,1,0,1,0.0,0.0,0.0,0.0,1728560603
Afghanistan,Badghis,July,2024,0,0,0,0,6.0,6.0,0.0,0.0,1728560603
Afghanistan,Badghis,August,2024,3,3,0,0,2.0,1.0,1.0,0.0,1728560603
Afghanistan,Baghlan,March,2023,2,0,0,2,3.0,1.0,0.0,2.0,1728560604
Afghanistan,Baghlan,April,2023,3,1,0,2,1.0,0.0,0.0,1.0,1728560604
Afghanistan,Baghlan,May,2023,2,0,0,1,5.0,1.0,2.0,2.0,1728560604
Afghanistan,Baghlan,June,2023,4,1,1,2,3.0,2.0,0.0,1.0,1728560604
Afghanistan,Baghlan,July,2023,3,1,0,1,3.0,2.0,0.0,1.0,1728560604
Afghanistan,Baghlan,August,2023,3,2,0,1,3.0,1.0,1.0,1.0,1728560604
Afghanistan,Baghlan,September,2023,3,1,1,1,6.0,5.0,1.0,0.0,1728560604
Afghanistan,Baghlan,October,2023,4,2,1,1,2.0,0.0,2.0,0.0,1728560604
Afghanistan,Baghlan,November,2023,3,1,1,1,7.0,2.0,3.0,2.0,1728560604
Afghanistan,Baghlan,December,2023,5,1,2,2,2.0,2.0,0.0,0.0,1728560604
Afghanistan,Baghlan,January,2024,2,1,0,1,5.0,2.0,2.0,1.0,1728560604
Afghanistan,Baghlan,February,2024,5,2,2,1,3.0,3.0,0.0,0.0,1728560604
Afghanistan,Baghlan,March,2024,2,2,0,0,1.0,1.0,0.0,0.0,1728560604
Afghanistan,Baghlan,April,2024,1,1,0,0,4.0,2.0,0.0,2.0,1728560604
Afghanistan,Baghlan,May,2024,4,2,0,2,3.0,2.0,0.0,1.0,1728560604
Afghanistan,Baghlan,June,2024,3,2,0,1,4.0,4.0,0.0,0.0,1728560604
Afghanistan,Baghlan,July,2024,4,3,0,1,6.0,4.0,0.0,2.0,1728560604
Afghanistan,Baghlan,August,2024,4,3,0,1,3.0,2.0,0.0,1.0,1728560604
Afghanistan,Balkh,March,2023,4,1,0,3,7.0,2.0,2.0,3.0,1728560604
Afghanistan,Balkh,April,2023,6,2,1,3,3.0,1.0,0.0,2.0,1728560604
Afghanistan,Balkh,May,2023,3,1,0,2,2.0,0.0,0.0,2.0,1728560604
Afghanistan,Balkh,June,2023,3,1,0,2,1.0,0.0,0.0,1.0,1728560604
Afghanistan,Balkh,July,2023,2,0,0,2,2.0,0.0,0.0,2.0,1728560604
Afghanistan,Balkh,August,2023,2,0,0,2,3.0,1.0,0.0,2.0,1728560604
Afghanistan,Balkh,September,2023,3,1,0,2,5.0,1.0,1.0,3.0,1728560604
Afghanistan,Balkh,October,2023,4,1,1,2,2.0,2.0,0.0,0.0,1728560604
Afghanistan,Balkh,November,2023,2,1,0,1,3.0,0.0,0.0,3.0,1728560604
Afghanistan,Balkh,December,2023,3,0,0,3,3.0,1.0,0.0,2.0,1728560604
Afghanistan,Balkh,January,2024,3,1,0,2,5.0,1.0,1.0,3.0,1728560604
Afghanistan,Balkh,February,2024,5,1,1,3,1.0,0.0,0.0,1.0,1728560604
Afghanistan,Balkh,March,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560605
Afghanistan,Balkh,April,2024,0,0,0,0,2.0,0.0,0.0,2.0,1728560605
Afghanistan,Balkh,May,2024,2,0,0,2,1.0,0.0,0.0,1.0,1728560605
Afghanistan,Balkh,June,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560605
Afghanistan,Balkh,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560605
Afghanistan,Balkh,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560605
Afghanistan,Bamyan,March,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560605
Afghanistan,Bamyan,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560605
Afghanistan,Bamyan,May,2023,0,0,0,0,2.0,1.0,0.0,1.0,1728560605
Afghanistan,Bamyan,June,2023,2,1,0,1,0.0,0.0,0.0,0.0,1728560605
Afghanistan,Bamyan,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560605
Afghanistan,Bamyan,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560605
Afghanistan,Bamyan,September,2023,0,0,0,0,2.0,0.0,0.0,2.0,1728560605
Afghanistan,Bamyan,October,2023,1,0,0,1,1.0,0.0,0.0,1.0,1728560605
Afghanistan,Bamyan,November,2023,2,1,0,1,0.0,0.0,0.0,0.0,1728560605
Afghanistan,Bamyan,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560605
Afghanistan,Bamyan,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560605
Afghanistan,Bamyan,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560605
Afghanistan,Bamyan,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560605
Afghanistan,Bamyan,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560605
Afghanistan,Bamyan,May,2024,0,0,0,0,2.0,0.0,0.0,2.0,1728560605
Afghanistan,Bamyan,June,2024,2,0,0,2,0.0,0.0,0.0,0.0,1728560605
Afghanistan,Bamyan,July,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560605
Afghanistan,Bamyan,August,2024,1,0,0,1,1.0,0.0,0.0,1.0,1728560605
