country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Algeria,Adrar,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560620
Algeria,Adrar,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560620
Algeria,Adrar,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560620
Algeria,Adrar,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560620
Algeria,Adrar,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560620
Algeria,Adrar,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560620
Algeria,Adrar,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560620
Algeria,Adrar,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Adrar,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Adrar,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Adrar,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Adrar,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Adrar,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Adrar,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Adrar,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Adrar,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Adrar,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Adrar,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Ain Defla,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Ain Defla,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Ain Defla,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Ain Defla,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Ain Defla,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Ain Defla,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Ain Defla,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Ain Defla,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Ain Defla,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Ain Defla,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Ain Defla,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Ain Defla,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Ain Defla,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Ain Defla,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
Algeria,Ain Defla,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560621
