country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Argentina,Buenos Aires,March,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560655
Argentina,Buenos Aires,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560655
Argentina,Buenos Aires,May,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560655
Argentina,Buenos Aires,June,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560655
Argentina,Buenos Aires,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560655
Argentina,Buenos Aires,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560655
Argentina,Buenos Aires,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560655
Argentina,Buenos Aires,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560655
Argentina,Buenos Aires,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560655
Argentina,Buenos Aires,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560655
Argentina,Buenos Aires,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560656
Argentina,Buenos Aires,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560656
Argentina,Buenos Aires,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560656
Argentina,Buenos Aires,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560656
Argentina,Buenos Aires,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560656
Argentina,Buenos Aires,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560656
Argentina,Buenos Aires,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560656
Argentina,Buenos Aires,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560656
Argentina,Catamarca,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560656
Argentina,Catamarca,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560656
Argentina,Catamarca,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560656
