country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Armenia,Aragatsotn,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Aragatsotn,April,2023,1,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Aragatsotn,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Aragatsotn,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Aragatsotn,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Aragatsotn,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Aragatsotn,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Aragatsotn,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Aragatsotn,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Aragatsotn,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Aragatsotn,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Aragatsotn,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Aragatsotn,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Aragatsotn,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Aragatsotn,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Aragatsotn,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Aragatsotn,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Aragatsotn,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560668
Armenia,Ararat,March,2023,0,0,0,0,1.0,1.0,0.0,0.0,1728560669
Armenia,Ararat,April,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560669
Armenia,Ararat,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560669
Armenia,Ararat,June,2023,0,0,0,0,7.0,7.0,0.0,0.0,1728560669
Armenia,Ararat,July,2023,5,5,0,0,3.0,1.0,0.0,2.0,1728560669
Armenia,Ararat,August,2023,3,1,0,2,4.0,1.0,0.0,3.0,1728560669
Armenia,Ararat,September,2023,4,2,0,2,0.0,0.0,0.0,0.0,1728560669
Armenia,Ararat,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560669
Armenia,Ararat,November,2023,0,0,0,0,1.0,1.0,0.0,0.0,1728560669
Armenia,Ararat,December,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560669
Armenia,Ararat,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560669
Armenia,Ararat,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560669
Armenia,Ararat,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560669
Armenia,Ararat,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560669
Armenia,Ararat,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560669
Armenia,Ararat,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560669
Armenia,Ararat,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560669
Armenia,Ararat,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560669
Armenia,Armavir,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560669
Armenia,Armavir,April,2023,1,0,0,0,0.0,0.0,0.0,0.0,1728560669
Armenia,Armavir,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560669
Armenia,Armavir,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560669
