country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Bangladesh,Barisal,March,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560712
Bangladesh,Barisal,April,2023,1,0,0,1,2.0,0.0,0.0,2.0,1728560712
Bangladesh,Barisal,May,2023,2,0,0,2,0.0,0.0,0.0,0.0,1728560712
Bangladesh,Barisal,June,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560712
Bangladesh,Barisal,July,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560712
Bangladesh,Barisal,August,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560712
Bangladesh,Barisal,September,2023,1,0,0,1,4.0,0.0,0.0,4.0,1728560712
Bangladesh,Barisal,October,2023,3,0,0,3,1.0,0.0,0.0,1.0,1728560712
Bangladesh,Barisal,November,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560712
Bangladesh,Barisal,December,2023,0,0,0,0,3.0,0.0,0.0,3.0,1728560712
Bangladesh,Barisal,January,2024,2,0,0,2,3.0,0.0,0.0,3.0,1728560712
Bangladesh,Barisal,February,2024,3,0,0,3,2.0,0.0,1.0,1.0,1728560712
Bangladesh,Barisal,March,2024,2,0,0,2,1.0,0.0,0.0,1.0,1728560712
Bangladesh,Barisal,April,2024,1,0,0,1,1.0,0.0,0.0,1.0,1728560712
Bangladesh,Barisal,May,2024,2,0,0,2,2.0,0.0,0.0,2.0,1728560712
Bangladesh,Barisal,June,2024,2,0,0,2,1.0,0.0,0.0,1.0,1728560712
Bangladesh,Barisal,July,2024,2,0,0,2,1.0,0.0,0.0,1.0,1728560712
Bangladesh,Barisal,August,2024,1,0,0,1,2.0,0.0,0.0,2.0,1728560712
Bangladesh,Chittagong,March,2023,11,3,2,6,14.0,3.0,0.0,11.0,1728560712
Bangladesh,Chittagong,April,2023,14,3,0,10,18.0,6.0,1.0,11.0,1728560712
Bangladesh,Chittagong,May,2023,17,5,1,11,15.0,3.0,2.0,10.0,1728560712
Bangladesh,Chittagong,June,2023,15,3,2,10,13.0,2.0,2.0,9.0,1728560712
Bangladesh,Chittagong,July,2023,12,2,2,7,9.0,3.0,0.0,6.0,1728560712
Bangladesh,Chittagong,August,2023,10,3,0,7,8.0,2.0,0.0,6.0,1728560712
Bangladesh,Chittagong,September,2023,9,2,0,7,13.0,2.0,0.0,11.0,1728560712
Bangladesh,Chittagong,October,2023,12,2,0,10,7.0,3.0,0.0,4.0,1728560712
Bangladesh,Chittagong,November,2023,8,3,0,5,8.0,4.0,0.0,4.0,1728560712
Bangladesh,Chittagong,December,2023,8,3,0,5,15.0,4.0,0.0,11.0,1728560712
Bangladesh,Chittagong,January,2024,13,4,0,9,11.0,3.0,0.0,8.0,1728560712
Bangladesh,Chittagong,February,2024,11,3,0,8,12.0,2.0,2.0,8.0,1728560713
Bangladesh,Chittagong,March,2024,11,2,1,8,5.0,1.0,1.0,3.0,1728560713
Bangladesh,Chittagong,April,2024,8,2,1,5,13.0,6.0,0.0,7.0,1728560713
Bangladesh,Chittagong,May,2024,9,3,0,6,16.0,7.0,0.0,9.0,1728560713
Bangladesh,Chittagong,June,2024,16,7,1,8,9.0,5.0,0.0,4.0,1728560713
Bangladesh,Chittagong,July,2024,11,5,0,6,9.0,6.0,0.0,3.0,1728560713
Bangladesh,Chittagong,August,2024,10,6,0,4,5.0,0.0,0.0,5.0,1728560713
Bangladesh,Dhaka,March,2023,5,0,0,5,0.0,0.0,0.0,0.0,1728560713
Bangladesh,Dhaka,April,2023,0,0,0,0,2.0,0.0,0.0,2.0,1728560713
Bangladesh,Dhaka,May,2023,2,0,0,2,4.0,0.0,0.0,4.0,1728560713
Bangladesh,Dhaka,June,2023,4,0,0,4,2.0,0.0,0.0,2.0,1728560713
Bangladesh,Dhaka,July,2023,2,0,0,2,8.0,1.0,0.0,7.0,1728560713
Bangladesh,Dhaka,August,2023,8,1,0,7,4.0,0.0,0.0,4.0,1728560713
