country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Belize,Belize,March,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560721
Belize,Belize,April,2023,1,0,0,1,4.0,1.0,0.0,3.0,1728560721
Belize,Belize,May,2023,3,1,0,2,6.0,1.0,0.0,5.0,1728560721
Belize,Belize,June,2023,3,1,0,3,4.0,0.0,0.0,4.0,1728560721
Belize,Belize,July,2023,3,0,0,3,9.0,4.0,0.0,5.0,1728560721
Belize,Belize,August,2023,6,2,0,4,7.0,4.0,0.0,3.0,1728560721
Belize,Belize,September,2023,7,3,0,4,0.0,0.0,0.0,0.0,1728560721
Belize,Belize,October,2023,1,0,0,1,1.0,0.0,0.0,1.0,1728560721
Belize,Belize,November,2023,2,0,0,2,2.0,1.0,0.0,1.0,1728560721
Belize,Belize,December,2023,1,0,0,1,6.0,1.0,0.0,5.0,1728560721
Belize,Belize,January,2024,6,1,0,5,4.0,1.0,0.0,3.0,1728560721
Belize,Belize,February,2024,4,1,0,3,5.0,2.0,0.0,3.0,1728560721
Belize,Belize,March,2024,4,1,0,3,5.0,2.0,0.0,3.0,1728560721
Belize,Belize,April,2024,4,1,0,3,0.0,0.0,0.0,0.0,1728560721
Belize,Belize,May,2024,1,0,0,1,2.0,0.0,0.0,2.0,1728560721
Belize,Belize,June,2024,2,0,0,2,4.0,1.0,0.0,3.0,1728560721
Belize,Belize,July,2024,4,1,0,3,1.0,0.0,0.0,1.0,1728560721
Belize,Belize,August,2024,2,1,0,1,0.0,0.0,0.0,0.0,1728560721
Belize,Cayo,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560722
Belize,Cayo,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560722
Belize,Cayo,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560722
Belize,Cayo,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560722
Belize,Cayo,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560722
Belize,Cayo,August,2023,1,0,0,1,1.0,0.0,0.0,1.0,1728560722
Belize,Cayo,September,2023,1,0,0,1,1.0,0.0,0.0,1.0,1728560722
Belize,Cayo,October,2023,1,0,0,1,1.0,0.0,0.0,1.0,1728560722
Belize,Cayo,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560722
Belize,Cayo,December,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560722
Belize,Cayo,January,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560722
Belize,Cayo,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560722
Belize,Cayo,March,2024,0,0,0,0,2.0,1.0,0.0,1.0,1728560722
Belize,Cayo,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560722
Belize,Cayo,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560722
Belize,Cayo,June,2024,0,0,0,0,2.0,2.0,0.0,0.0,1728560722
Belize,Cayo,July,2024,2,2,0,0,1.0,1.0,0.0,0.0,1728560722
Belize,Cayo,August,2024,2,1,0,1,0.0,0.0,0.0,0.0,1728560722
Belize,Corozal,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560722
Belize,Corozal,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560722
Belize,Corozal,May,2023,0,0,0,0,1.0,1.0,0.0,0.0,1728560722
Belize,Corozal,June,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560722
Belize,Corozal,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560722
Belize,Corozal,August,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560722
Belize,Corozal,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560722
Belize,Corozal,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560722
Belize,Corozal,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560722
Belize,Corozal,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560722
Belize,Corozal,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560722
Belize,Corozal,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560722
Belize,Corozal,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560723
Belize,Corozal,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560723
Belize,Corozal,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560723
Belize,Corozal,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560723
