country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Benin,Alibori,March,2023,3,2,0,1,5.0,2.0,0.0,3.0,1728560696
Benin,Alibori,April,2023,4,2,0,3,7.0,3.0,0.0,4.0,1728560696
Benin,Alibori,May,2023,5,2,0,3,3.0,0.0,1.0,2.0,1728560696
Benin,Alibori,June,2023,5,1,1,2,4.0,2.0,0.0,2.0,1728560696
Benin,Alibori,July,2023,6,2,0,3,4.0,0.0,1.0,3.0,1728560696
Benin,Alibori,August,2023,4,0,1,3,8.0,3.0,0.0,5.0,1728560697
Benin,Alibori,September,2023,7,2,0,5,11.0,1.0,0.0,10.0,1728560697
Benin,Alibori,October,2023,10,2,0,8,20.0,7.0,0.0,13.0,1728560697
Benin,Alibori,November,2023,17,4,0,13,16.0,6.0,0.0,10.0,1728560697
Benin,Alibori,December,2023,13,3,0,10,1.0,0.0,1.0,0.0,1728560697
Benin,Alibori,January,2024,3,1,1,1,4.0,4.0,0.0,0.0,1728560697
Benin,Alibori,February,2024,4,3,0,1,10.0,1.0,0.0,9.0,1728560697
Benin,Alibori,March,2024,12,1,2,9,13.0,2.0,1.0,10.0,1728560697
Benin,Alibori,April,2024,13,2,1,10,9.0,2.0,0.0,7.0,1728560697
Benin,Alibori,May,2024,12,3,1,8,1.0,1.0,0.0,0.0,1728560697
Benin,Alibori,June,2024,3,2,0,1,2.0,0.0,0.0,2.0,1728560697
Benin,Alibori,July,2024,3,0,0,3,1.0,0.0,0.0,1.0,1728560697
Benin,Alibori,August,2024,1,0,0,1,8.0,1.0,0.0,7.0,1728560697
Benin,Atacora,March,2023,4,3,0,1,3.0,0.0,1.0,2.0,1728560697
Benin,Atacora,April,2023,2,0,0,2,3.0,0.0,0.0,3.0,1728560697
Benin,Atacora,May,2023,4,1,0,2,10.0,2.0,4.0,4.0,1728560697
Benin,Atacora,June,2023,8,1,3,3,8.0,0.0,2.0,6.0,1728560697
Benin,Atacora,July,2023,10,2,2,6,6.0,0.0,1.0,5.0,1728560697
Benin,Atacora,August,2023,7,1,1,5,7.0,1.0,4.0,2.0,1728560697
Benin,Atacora,September,2023,7,1,2,4,4.0,3.0,0.0,1.0,1728560697
Benin,Atacora,October,2023,6,3,0,3,7.0,3.0,0.0,4.0,1728560697
Benin,Atacora,November,2023,5,1,0,4,4.0,3.0,0.0,1.0,1728560697
Benin,Atacora,December,2023,4,2,0,2,1.0,0.0,0.0,1.0,1728560697
Benin,Atacora,January,2024,3,1,0,2,1.0,1.0,0.0,0.0,1728560697
Benin,Atacora,February,2024,3,1,0,2,6.0,1.0,2.0,3.0,1728560697
Benin,Atacora,March,2024,6,0,2,4,5.0,1.0,0.0,4.0,1728560697
Benin,Atacora,April,2024,5,1,0,4,2.0,0.0,0.0,2.0,1728560697
Benin,Atacora,May,2024,4,1,0,3,0.0,0.0,0.0,0.0,1728560697
Benin,Atacora,June,2024,0,0,0,0,1.0,1.0,0.0,0.0,1728560697
Benin,Atacora,July,2024,1,1,0,0,1.0,1.0,0.0,0.0,1728560697
Benin,Atacora,August,2024,1,1,0,0,4.0,4.0,0.0,0.0,1728560697
Benin,Atlantique,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560697
Benin,Atlantique,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560697
Benin,Atlantique,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560697
Benin,Atlantique,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560697
Benin,Atlantique,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560697
Benin,Atlantique,August,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560697
Benin,Atlantique,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560698
Benin,Atlantique,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560698
Benin,Atlantique,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560698
Benin,Atlantique,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560698
Benin,Atlantique,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560698
Benin,Atlantique,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560698
Benin,Atlantique,March,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560698
Benin,Atlantique,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560698
Benin,Atlantique,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560698
Benin,Atlantique,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560698
Benin,Atlantique,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560698
Benin,Atlantique,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560698
Benin,Borgou,March,2023,0,0,0,0,3.0,0.0,0.0,3.0,1728560698
Benin,Borgou,April,2023,2,0,0,2,2.0,0.0,0.0,2.0,1728560698
Benin,Borgou,May,2023,2,0,0,1,0.0,0.0,0.0,0.0,1728560698
Benin,Borgou,June,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560698
Benin,Borgou,July,2023,2,1,0,2,1.0,0.0,0.0,1.0,1728560698
Benin,Borgou,August,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560698
Benin,Borgou,September,2023,0,0,0,0,2.0,2.0,0.0,0.0,1728560698
Benin,Borgou,October,2023,2,1,0,1,0.0,0.0,0.0,0.0,1728560698
Benin,Borgou,November,2023,0,0,0,0,2.0,0.0,0.0,2.0,1728560698
Benin,Borgou,December,2023,2,0,0,2,0.0,0.0,0.0,0.0,1728560698
Benin,Borgou,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560698
Benin,Borgou,February,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560698
Benin,Borgou,March,2024,1,0,0,1,5.0,1.0,0.0,4.0,1728560698
Benin,Borgou,April,2024,4,1,0,3,1.0,0.0,0.0,1.0,1728560698
Benin,Borgou,May,2024,2,0,0,2,0.0,0.0,0.0,0.0,1728560698
Benin,Borgou,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560698
Benin,Borgou,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560698
Benin,Borgou,August,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560698
Benin,Collines,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560699
