country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Brazil,Acre,March,2023,8,4,0,4,5.0,2.0,0.0,3.0,1728560725
Brazil,Acre,April,2023,6,2,0,4,9.0,2.0,0.0,7.0,1728560725
Brazil,Acre,May,2023,7,2,0,5,8.0,0.0,0.0,8.0,1728560725
Brazil,Acre,June,2023,6,0,0,6,1.0,1.0,0.0,0.0,1728560725
Brazil,Acre,July,2023,5,1,0,4,12.0,5.0,0.0,7.0,1728560725
Brazil,Acre,August,2023,7,2,0,5,6.0,3.0,0.0,3.0,1728560725
Brazil,Acre,September,2023,5,2,0,3,4.0,0.0,0.0,4.0,1728560725
Brazil,Acre,October,2023,5,1,0,4,2.0,0.0,0.0,2.0,1728560725
Brazil,Acre,November,2023,6,3,0,3,6.0,4.0,0.0,2.0,1728560725
Brazil,Acre,December,2023,6,3,0,3,1.0,0.0,0.0,1.0,1728560725
Brazil,Acre,January,2024,3,0,0,3,10.0,6.0,0.0,4.0,1728560725
Brazil,Acre,February,2024,8,5,0,3,3.0,0.0,0.0,3.0,1728560725
Brazil,Acre,March,2024,5,2,0,3,5.0,1.0,0.0,4.0,1728560725
Brazil,Acre,April,2024,6,2,0,4,1.0,0.0,0.0,1.0,1728560725
Brazil,Acre,May,2024,5,2,0,3,2.0,1.0,0.0,1.0,1728560725
Brazil,Acre,June,2024,2,1,0,1,5.0,0.0,0.0,5.0,1728560725
Brazil,Acre,July,2024,5,0,0,5,2.0,0.0,0.0,2.0,1728560725
Brazil,Acre,August,2024,2,0,0,2,0.0,0.0,0.0,0.0,1728560725
Brazil,Alagoas,March,2023,26,10,0,16,25.0,5.0,0.0,20.0,1728560726
Brazil,Alagoas,April,2023,24,7,0,18,31.0,5.0,0.0,26.0,1728560726
Brazil,Alagoas,May,2023,31,6,0,25,38.0,7.0,0.0,31.0,1728560726
Brazil,Alagoas,June,2023,28,7,0,21,28.0,11.0,0.0,17.0,1728560726
Brazil,Alagoas,July,2023,38,10,0,28,22.0,3.0,1.0,18.0,1728560726
Brazil,Alagoas,August,2023,21,4,0,17,25.0,6.0,0.0,19.0,1728560726
Brazil,Alagoas,September,2023,25,6,0,19,40.0,9.0,0.0,31.0,1728560726
Brazil,Alagoas,October,2023,35,8,0,27,51.0,14.0,0.0,37.0,1728560726
Brazil,Alagoas,November,2023,46,12,0,34,39.0,13.0,0.0,26.0,1728560726
Brazil,Alagoas,December,2023,38,12,0,26,33.0,10.0,0.0,23.0,1728560726
Brazil,Alagoas,January,2024,32,10,0,22,35.0,5.0,0.0,30.0,1728560726
Brazil,Alagoas,February,2024,32,5,0,27,24.0,7.0,0.0,17.0,1728560726
Brazil,Alagoas,March,2024,27,7,0,20,25.0,8.0,0.0,17.0,1728560726
Brazil,Alagoas,April,2024,24,7,0,17,32.0,9.0,0.0,23.0,1728560726
Brazil,Alagoas,May,2024,32,9,0,23,17.0,5.0,0.0,12.0,1728560726
Brazil,Alagoas,June,2024,17,5,0,12,31.0,11.0,0.0,20.0,1728560726
Brazil,Alagoas,July,2024,30,10,0,20,17.0,9.0,0.0,8.0,1728560726
Brazil,Alagoas,August,2024,16,9,0,7,28.0,8.0,0.0,20.0,1728560726
Brazil,Amapa,March,2023,19,8,0,11,9.0,6.0,0.0,3.0,1728560726
Brazil,Amapa,April,2023,13,7,0,6,25.0,20.0,0.0,5.0,1728560726
Brazil,Amapa,May,2023,23,18,0,5,23.0,14.0,0.0,9.0,1728560726
Brazil,Amapa,June,2023,24,14,0,10,18.0,10.0,0.0,8.0,1728560726
Brazil,Amapa,July,2023,21,10,0,11,15.0,7.0,0.0,8.0,1728560726
Brazil,Amapa,August,2023,15,7,0,8,29.0,19.0,0.0,10.0,1728560726
Brazil,Amapa,September,2023,28,18,0,10,32.0,18.0,0.0,14.0,1728560726
Brazil,Amapa,October,2023,31,17,0,14,19.0,15.0,0.0,4.0,1728560727
Brazil,Amapa,November,2023,19,13,0,6,18.0,11.0,0.0,7.0,1728560727
Brazil,Amapa,December,2023,18,11,0,7,11.0,5.0,0.0,6.0,1728560727
Brazil,Amapa,January,2024,12,5,0,7,23.0,12.0,0.0,11.0,1728560727
Brazil,Amapa,February,2024,21,11,0,10,16.0,11.0,0.0,5.0,1728560727
Brazil,Amapa,March,2024,16,9,0,7,22.0,15.0,0.0,7.0,1728560727
Brazil,Amapa,April,2024,19,12,0,7,20.0,8.0,0.0,12.0,1728560727
Brazil,Amapa,May,2024,19,8,0,11,13.0,5.0,0.0,8.0,1728560727
Brazil,Amapa,June,2024,13,5,0,8,12.0,7.0,0.0,5.0,1728560727
Brazil,Amapa,July,2024,12,6,0,6,17.0,9.0,0.0,8.0,1728560727
Brazil,Amapa,August,2024,16,9,0,7,21.0,12.0,0.0,9.0,1728560727
Brazil,Amazonas,March,2023,43,10,0,33,44.0,9.0,0.0,35.0,1728560727
Brazil,Amazonas,April,2023,46,10,0,36,51.0,16.0,0.0,35.0,1728560727
Brazil,Amazonas,May,2023,52,16,0,36,58.0,15.0,1.0,42.0,1728560727
Brazil,Amazonas,June,2023,54,15,1,38,50.0,14.0,0.0,36.0,1728560727
Brazil,Amazonas,July,2023,48,14,0,34,66.0,19.0,0.0,47.0,1728560727
Brazil,Amazonas,August,2023,62,17,0,45,57.0,11.0,0.0,46.0,1728560727
Brazil,Amazonas,September,2023,56,11,0,45,38.0,9.0,0.0,29.0,1728560727
Brazil,Amazonas,October,2023,39,10,0,29,41.0,11.0,0.0,30.0,1728560727
Brazil,Amazonas,November,2023,41,12,0,29,46.0,9.0,0.0,37.0,1728560727
Brazil,Amazonas,December,2023,45,10,0,35,40.0,10.0,0.0,30.0,1728560727
Brazil,Amazonas,January,2024,42,10,0,32,30.0,13.0,0.0,17.0,1728560727
Brazil,Amazonas,February,2024,35,13,0,22,29.0,5.0,0.0,24.0,1728560727
Brazil,Amazonas,March,2024,29,5,0,24,41.0,10.0,0.0,31.0,1728560727
Brazil,Amazonas,April,2024,39,10,0,29,21.0,3.0,0.0,18.0,1728560727
Brazil,Amazonas,May,2024,30,8,0,22,28.0,6.0,0.0,22.0,1728560727
Brazil,Amazonas,June,2024,27,6,0,21,30.0,9.0,0.0,21.0,1728560727
Brazil,Amazonas,July,2024,30,8,0,22,32.0,7.0,0.0,25.0,1728560727
Brazil,Amazonas,August,2024,30,7,0,23,34.0,5.0,0.0,29.0,1728560727
Brazil,Bahia,March,2023,29,16,1,12,33.0,18.0,0.0,15.0,1728560728
Brazil,Bahia,April,2023,34,19,0,15,24.0,13.0,0.0,11.0,1728560728
Brazil,Bahia,May,2023,26,14,0,12,46.0,26.0,0.0,20.0,1728560728
Brazil,Bahia,June,2023,38,24,0,15,43.0,26.0,0.0,17.0,1728560728
Brazil,Bahia,July,2023,43,24,0,18,8.0,4.0,0.0,4.0,1728560728
Brazil,Bahia,August,2023,12,7,0,5,37.0,15.0,0.0,22.0,1728560728
Brazil,Bahia,September,2023,36,14,0,22,60.0,30.0,1.0,29.0,1728560728
Brazil,Bahia,October,2023,52,26,0,26,48.0,27.0,0.0,21.0,1728560728
Brazil,Bahia,November,2023,45,24,0,21,40.0,16.0,1.0,23.0,1728560728
Brazil,Bahia,December,2023,38,16,1,21,44.0,23.0,1.0,20.0,1728560728
Brazil,Bahia,January,2024,41,21,0,20,37.0,17.0,0.0,20.0,1728560728
Brazil,Bahia,February,2024,36,16,0,20,33.0,14.0,0.0,19.0,1728560728
Brazil,Bahia,March,2024,32,13,0,19,30.0,14.0,0.0,16.0,1728560728
Brazil,Bahia,April,2024,35,17,0,18,34.0,21.0,0.0,13.0,1728560728
Brazil,Bahia,May,2024,33,18,0,15,29.0,14.0,0.0,15.0,1728560728
Brazil,Bahia,June,2024,29,14,0,15,26.0,16.0,0.0,10.0,1728560728
Brazil,Bahia,July,2024,28,15,0,13,29.0,14.0,0.0,15.0,1728560728
Brazil,Bahia,August,2024,27,13,0,14,37.0,18.0,0.0,19.0,1728560728
Brazil,Ceara,March,2023,8,4,0,4,8.0,6.0,0.0,2.0,1728560728
Brazil,Ceara,April,2023,8,5,0,3,6.0,1.0,0.0,5.0,1728560728
Brazil,Ceara,May,2023,6,1,0,5,16.0,5.0,0.0,11.0,1728560728
Brazil,Ceara,June,2023,10,5,0,5,4.0,1.0,0.0,3.0,1728560728
Brazil,Ceara,July,2023,6,2,0,4,6.0,2.0,0.0,4.0,1728560728
Brazil,Ceara,August,2023,6,2,0,4,17.0,7.0,1.0,9.0,1728560728
Brazil,Ceara,September,2023,15,6,0,9,10.0,5.0,0.0,5.0,1728560728
Brazil,Ceara,October,2023,9,4,0,5,12.0,5.0,0.0,7.0,1728560729
Brazil,Ceara,November,2023,11,4,0,7,11.0,4.0,0.0,7.0,1728560729
Brazil,Ceara,December,2023,9,3,0,6,6.0,2.0,0.0,4.0,1728560729
Brazil,Ceara,January,2024,9,3,0,6,10.0,5.0,0.0,5.0,1728560729
Brazil,Ceara,February,2024,10,5,0,5,10.0,5.0,0.0,5.0,1728560729
Brazil,Ceara,March,2024,10,5,0,5,11.0,7.0,0.0,4.0,1728560729
Brazil,Ceara,April,2024,10,5,0,5,11.0,3.0,0.0,8.0,1728560729
Brazil,Ceara,May,2024,12,4,0,8,17.0,6.0,0.0,11.0,1728560729
Brazil,Ceara,June,2024,15,6,0,9,15.0,7.0,0.0,8.0,1728560729
Brazil,Ceara,July,2024,15,7,0,8,16.0,8.0,0.0,8.0,1728560729
Brazil,Ceara,August,2024,15,8,0,7,8.0,3.0,0.0,5.0,1728560729
Brazil,Distrito Federal,March,2023,5,4,0,1,2.0,2.0,0.0,0.0,1728560729
Brazil,Distrito Federal,April,2023,3,2,0,1,3.0,2.0,0.0,1.0,1728560729
Brazil,Distrito Federal,May,2023,4,2,0,2,2.0,1.0,0.0,1.0,1728560729
Brazil,Distrito Federal,June,2023,4,1,0,3,0.0,0.0,0.0,0.0,1728560729
Brazil,Distrito Federal,July,2023,4,0,0,3,1.0,0.0,0.0,1.0,1728560729
Brazil,Distrito Federal,August,2023,2,1,0,1,4.0,2.0,0.0,2.0,1728560729
Brazil,Distrito Federal,September,2023,3,1,0,2,0.0,0.0,0.0,0.0,1728560729
Brazil,Distrito Federal,October,2023,0,0,0,0,4.0,0.0,0.0,4.0,1728560729
Brazil,Distrito Federal,November,2023,6,3,0,3,2.0,1.0,0.0,1.0,1728560729
Brazil,Distrito Federal,December,2023,3,1,0,2,0.0,0.0,0.0,0.0,1728560729
Brazil,Distrito Federal,January,2024,1,0,0,1,1.0,1.0,0.0,0.0,1728560729
Brazil,Distrito Federal,February,2024,2,1,0,1,0.0,0.0,0.0,0.0,1728560729
Brazil,Distrito Federal,March,2024,1,1,0,0,4.0,0.0,0.0,4.0,1728560729
Brazil,Distrito Federal,April,2024,4,1,0,3,0.0,0.0,0.0,0.0,1728560729
Brazil,Distrito Federal,May,2024,2,1,0,1,3.0,1.0,0.0,2.0,1728560729
Brazil,Distrito Federal,June,2024,3,1,0,2,4.0,3.0,0.0,1.0,1728560729
Brazil,Distrito Federal,July,2024,3,2,0,1,2.0,0.0,0.0,2.0,1728560729
Brazil,Distrito Federal,August,2024,2,0,0,2,1.0,0.0,0.0,1.0,1728560729
Brazil,Espirito Santo,March,2023,19,6,0,13,24.0,7.0,0.0,17.0,1728560730
Brazil,Espirito Santo,April,2023,23,7,0,15,15.0,4.0,0.0,11.0,1728560730
Brazil,Espirito Santo,May,2023,16,5,0,11,8.0,5.0,0.0,3.0,1728560730
Brazil,Espirito Santo,June,2023,14,5,0,8,11.0,2.0,0.0,9.0,1728560730
Brazil,Espirito Santo,July,2023,10,3,0,7,17.0,6.0,0.0,11.0,1728560730
Brazil,Espirito Santo,August,2023,15,5,0,10,23.0,12.0,0.0,11.0,1728560730
Brazil,Espirito Santo,September,2023,23,12,0,11,17.0,11.0,0.0,6.0,1728560730
Brazil,Espirito Santo,October,2023,16,10,0,6,25.0,12.0,0.0,13.0,1728560730
Brazil,Espirito Santo,November,2023,21,10,0,11,20.0,8.0,0.0,12.0,1728560730
Brazil,Espirito Santo,December,2023,17,7,0,10,23.0,13.0,0.0,10.0,1728560730
Brazil,Espirito Santo,January,2024,22,12,0,10,23.0,9.0,0.0,14.0,1728560730
Brazil,Espirito Santo,February,2024,23,9,0,14,12.0,6.0,0.0,6.0,1728560730
Brazil,Espirito Santo,March,2024,15,6,0,9,21.0,9.0,0.0,12.0,1728560730
Brazil,Espirito Santo,April,2024,17,7,0,10,14.0,8.0,0.0,6.0,1728560730
Brazil,Espirito Santo,May,2024,17,9,0,8,19.0,10.0,0.0,9.0,1728560730
Brazil,Espirito Santo,June,2024,18,9,0,9,8.0,4.0,0.0,4.0,1728560730
Brazil,Espirito Santo,July,2024,10,4,0,6,18.0,6.0,0.0,12.0,1728560730
Brazil,Espirito Santo,August,2024,16,5,0,11,18.0,7.0,0.0,11.0,1728560730
Brazil,Goias,March,2023,6,4,0,2,4.0,2.0,0.0,2.0,1728560730
Brazil,Goias,April,2023,5,2,0,3,4.0,3.0,0.0,1.0,1728560730
Brazil,Goias,May,2023,5,3,0,2,6.0,3.0,0.0,3.0,1728560730
Brazil,Goias,June,2023,7,3,0,4,8.0,6.0,0.0,2.0,1728560730
Brazil,Goias,July,2023,8,5,0,3,9.0,4.0,0.0,5.0,1728560730
Brazil,Goias,August,2023,7,3,0,4,6.0,5.0,0.0,1.0,1728560730
Brazil,Goias,September,2023,5,4,0,1,4.0,1.0,0.0,3.0,1728560730
Brazil,Goias,October,2023,4,1,0,3,4.0,2.0,0.0,2.0,1728560730
Brazil,Goias,November,2023,5,3,0,2,7.0,2.0,0.0,5.0,1728560731
Brazil,Goias,December,2023,6,2,0,4,2.0,1.0,0.0,1.0,1728560731
Brazil,Goias,January,2024,4,1,0,3,4.0,2.0,0.0,2.0,1728560731
Brazil,Goias,February,2024,6,3,0,3,4.0,0.0,0.0,4.0,1728560731
Brazil,Goias,March,2024,6,2,0,4,7.0,6.0,0.0,1.0,1728560731
Brazil,Goias,April,2024,5,3,0,2,1.0,0.0,0.0,1.0,1728560731
Brazil,Goias,May,2024,5,2,0,3,1.0,0.0,0.0,1.0,1728560731
Brazil,Goias,June,2024,1,0,0,1,2.0,1.0,0.0,1.0,1728560731
Brazil,Goias,July,2024,3,1,0,2,5.0,1.0,0.0,4.0,1728560731
Brazil,Goias,August,2024,4,1,0,3,5.0,1.0,0.0,4.0,1728560731
Brazil,Maranhao,March,2023,10,4,0,6,10.0,5.0,0.0,5.0,1728560731
Brazil,Maranhao,April,2023,10,4,0,6,5.0,0.0,1.0,4.0,1728560731
Brazil,Maranhao,May,2023,6,1,1,5,6.0,3.0,0.0,3.0,1728560731
Brazil,Maranhao,June,2023,8,3,0,5,3.0,1.0,0.0,2.0,1728560731
Brazil,Maranhao,July,2023,5,2,0,3,8.0,2.0,0.0,6.0,1728560731
Brazil,Maranhao,August,2023,7,2,0,5,3.0,1.0,0.0,2.0,1728560731
Brazil,Maranhao,September,2023,3,1,0,2,10.0,2.0,0.0,8.0,1728560731
Brazil,Maranhao,October,2023,9,2,0,7,5.0,0.0,0.0,5.0,1728560731
