country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Burkina Faso,Boucle du Mouhoun,March,2023,18,7,2,9,12.0,5.0,3.0,4.0,1728560703
Burkina Faso,Boucle du Mouhoun,April,2023,13,5,3,5,12.0,8.0,2.0,2.0,1728560703
Burkina Faso,Boucle du Mouhoun,May,2023,14,7,3,4,17.0,5.0,1.0,11.0,1728560703
Burkina Faso,Boucle du Mouhoun,June,2023,14,5,3,7,15.0,5.0,3.0,7.0,1728560703
Burkina Faso,Boucle du Mouhoun,July,2023,17,5,4,8,18.0,3.0,2.0,13.0,1728560703
Burkina Faso,Boucle du Mouhoun,August,2023,12,4,2,6,10.0,4.0,3.0,3.0,1728560703
Burkina Faso,Boucle du Mouhoun,September,2023,13,5,3,5,11.0,2.0,5.0,4.0,1728560703
Burkina Faso,Boucle du Mouhoun,October,2023,12,4,3,5,22.0,9.0,4.0,9.0,1728560703
Burkina Faso,Boucle du Mouhoun,November,2023,18,7,3,8,33.0,14.0,10.0,9.0,1728560703
Burkina Faso,Boucle du Mouhoun,December,2023,22,11,3,8,16.0,11.0,1.0,4.0,1728560703
Burkina Faso,Boucle du Mouhoun,January,2024,20,10,4,6,8.0,3.0,4.0,1.0,1728560704
Burkina Faso,Boucle du Mouhoun,February,2024,8,4,1,3,8.0,3.0,1.0,4.0,1728560704
Burkina Faso,Boucle du Mouhoun,March,2024,8,3,2,3,10.0,6.0,1.0,3.0,1728560704
Burkina Faso,Boucle du Mouhoun,April,2024,11,6,2,3,13.0,5.0,3.0,5.0,1728560704
Burkina Faso,Boucle du Mouhoun,May,2024,11,5,3,3,21.0,5.0,9.0,7.0,1728560704
Burkina Faso,Boucle du Mouhoun,June,2024,17,5,6,6,24.0,12.0,4.0,8.0,1728560704
Burkina Faso,Boucle du Mouhoun,July,2024,17,7,4,6,30.0,14.0,6.0,10.0,1728560704
Burkina Faso,Boucle du Mouhoun,August,2024,27,12,6,9,27.0,9.0,5.0,13.0,1728560704
Burkina Faso,Cascades,March,2023,3,0,0,3,7.0,2.0,1.0,4.0,1728560704
Burkina Faso,Cascades,April,2023,4,1,0,2,14.0,10.0,2.0,2.0,1728560704
Burkina Faso,Cascades,May,2023,12,8,2,3,4.0,2.0,1.0,1.0,1728560704
Burkina Faso,Cascades,June,2023,5,3,1,1,7.0,5.0,0.0,2.0,1728560704
Burkina Faso,Cascades,July,2023,7,4,1,2,2.0,0.0,1.0,1.0,1728560704
Burkina Faso,Cascades,August,2023,4,1,1,2,12.0,9.0,1.0,2.0,1728560704
Burkina Faso,Cascades,September,2023,10,6,1,3,2.0,2.0,0.0,0.0,1728560704
Burkina Faso,Cascades,October,2023,5,2,1,2,3.0,1.0,0.0,2.0,1728560704
Burkina Faso,Cascades,November,2023,3,1,0,2,3.0,2.0,0.0,1.0,1728560704
Burkina Faso,Cascades,December,2023,4,2,1,1,2.0,1.0,0.0,1.0,1728560704
Burkina Faso,Cascades,January,2024,2,1,0,1,2.0,1.0,1.0,0.0,1728560704
Burkina Faso,Cascades,February,2024,2,1,0,1,8.0,2.0,5.0,1.0,1728560704
Burkina Faso,Cascades,March,2024,5,2,2,1,1.0,0.0,0.0,1.0,1728560704
Burkina Faso,Cascades,April,2024,6,2,2,2,4.0,2.0,0.0,2.0,1728560704
Burkina Faso,Cascades,May,2024,3,2,0,1,2.0,1.0,0.0,1.0,1728560704
