country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Burundi,Bubanza,March,2023,1,0,0,1,2.0,0.0,0.0,2.0,1728560743
Burundi,Bubanza,April,2023,2,0,0,2,0.0,0.0,0.0,0.0,1728560743
Burundi,Bubanza,May,2023,0,0,0,0,2.0,0.0,0.0,2.0,1728560743
Burundi,Bubanza,June,2023,2,0,0,2,2.0,1.0,0.0,1.0,1728560743
Burundi,Bubanza,July,2023,2,1,0,2,0.0,0.0,0.0,0.0,1728560743
Burundi,Bubanza,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560743
Burundi,Bubanza,September,2023,0,0,0,0,4.0,0.0,0.0,4.0,1728560743
Burundi,Bubanza,October,2023,2,0,0,2,2.0,0.0,0.0,2.0,1728560743
Burundi,Bubanza,November,2023,2,0,0,2,2.0,0.0,0.0,2.0,1728560743
Burundi,Bubanza,December,2023,2,0,0,2,3.0,1.0,0.0,2.0,1728560743
Burundi,Bubanza,January,2024,1,0,0,1,1.0,0.0,0.0,1.0,1728560743
Burundi,Bubanza,February,2024,1,0,0,1,5.0,1.0,0.0,4.0,1728560743
Burundi,Bubanza,March,2024,1,0,0,1,3.0,2.0,0.0,1.0,1728560743
Burundi,Bubanza,April,2024,3,1,0,2,1.0,0.0,0.0,1.0,1728560743
Burundi,Bubanza,May,2024,2,0,0,2,1.0,0.0,0.0,1.0,1728560743
Burundi,Bubanza,June,2024,2,0,0,2,1.0,0.0,0.0,1.0,1728560743
Burundi,Bubanza,July,2024,2,0,0,2,0.0,0.0,0.0,0.0,1728560743
Burundi,Bubanza,August,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560743
Burundi,Bujumbura Mairie,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560743
Burundi,Bujumbura Mairie,April,2023,1,0,0,1,5.0,0.0,0.0,5.0,1728560743
Burundi,Bujumbura Mairie,May,2023,2,0,0,2,2.0,0.0,0.0,2.0,1728560743
Burundi,Bujumbura Mairie,June,2023,2,0,0,2,2.0,0.0,0.0,2.0,1728560743
Burundi,Bujumbura Mairie,July,2023,2,0,0,2,2.0,0.0,0.0,2.0,1728560743
Burundi,Bujumbura Mairie,August,2023,2,0,0,2,1.0,0.0,0.0,1.0,1728560743
Burundi,Bujumbura Mairie,September,2023,2,0,0,2,4.0,0.0,0.0,4.0,1728560743
Burundi,Bujumbura Mairie,October,2023,2,0,0,2,4.0,0.0,0.0,4.0,1728560743
Burundi,Bujumbura Mairie,November,2023,3,0,0,3,3.0,0.0,0.0,3.0,1728560743
Burundi,Bujumbura Mairie,December,2023,2,0,0,2,0.0,0.0,0.0,0.0,1728560744
Burundi,Bujumbura Mairie,January,2024,1,0,0,1,1.0,0.0,0.0,1.0,1728560744
Burundi,Bujumbura Mairie,February,2024,2,0,0,2,3.0,0.0,0.0,3.0,1728560744
Burundi,Bujumbura Mairie,March,2024,2,0,0,2,5.0,0.0,0.0,5.0,1728560744
Burundi,Bujumbura Mairie,April,2024,3,0,0,3,4.0,0.0,1.0,3.0,1728560744
Burundi,Bujumbura Mairie,May,2024,3,0,1,2,10.0,0.0,3.0,7.0,1728560744
Burundi,Bujumbura Mairie,June,2024,7,0,2,5,3.0,0.0,0.0,3.0,1728560744
Burundi,Bujumbura Mairie,July,2024,3,0,0,3,1.0,0.0,0.0,1.0,1728560744
Burundi,Bujumbura Mairie,August,2024,3,0,0,3,3.0,0.0,0.0,3.0,1728560744
Burundi,Bujumbura Rural,March,2023,1,0,0,1,4.0,1.0,0.0,3.0,1728560744
Burundi,Bujumbura Rural,April,2023,2,0,0,2,2.0,0.0,0.0,2.0,1728560744
Burundi,Bujumbura Rural,May,2023,2,0,0,2,0.0,0.0,0.0,0.0,1728560744
Burundi,Bujumbura Rural,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560744
Burundi,Bujumbura Rural,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560744
Burundi,Bujumbura Rural,August,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560744
Burundi,Bujumbura Rural,September,2023,2,0,0,2,3.0,0.0,0.0,3.0,1728560744
Burundi,Bujumbura Rural,October,2023,2,0,0,2,0.0,0.0,0.0,0.0,1728560744
Burundi,Bujumbura Rural,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560744
Burundi,Bujumbura Rural,December,2023,0,0,0,0,2.0,1.0,0.0,1.0,1728560744
Burundi,Bujumbura Rural,January,2024,1,0,0,1,1.0,0.0,0.0,1.0,1728560744
Burundi,Bujumbura Rural,February,2024,1,0,0,1,1.0,0.0,0.0,1.0,1728560744
Burundi,Bujumbura Rural,March,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560744
Burundi,Bujumbura Rural,April,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560744
Burundi,Bujumbura Rural,May,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560744
Burundi,Bujumbura Rural,June,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560744
Burundi,Bujumbura Rural,July,2024,1,0,0,1,2.0,0.0,0.0,2.0,1728560744
Burundi,Bujumbura Rural,August,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560744
Burundi,Bururi,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560744
Burundi,Bururi,April,2023,0,0,0,0,2.0,0.0,0.0,2.0,1728560744
Burundi,Bururi,May,2023,2,0,0,2,4.0,0.0,0.0,4.0,1728560744
Burundi,Bururi,June,2023,2,0,0,2,0.0,0.0,0.0,0.0,1728560744
Burundi,Bururi,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560744
Burundi,Bururi,August,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560745
