country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Cameroon,Adamaoua,March,2023,0,0,0,0,1.0,1.0,0.0,0.0,1728560753
Cameroon,Adamaoua,April,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560753
Cameroon,Adamaoua,May,2023,1,0,0,0,0.0,0.0,0.0,0.0,1728560753
Cameroon,Adamaoua,June,2023,0,0,0,0,2.0,0.0,0.0,2.0,1728560753
Cameroon,Adamaoua,July,2023,2,0,0,2,1.0,1.0,0.0,0.0,1728560753
Cameroon,Adamaoua,August,2023,2,1,0,1,1.0,0.0,0.0,1.0,1728560754
Cameroon,Adamaoua,September,2023,1,0,0,1,1.0,0.0,0.0,1.0,1728560754
Cameroon,Adamaoua,October,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560754
Cameroon,Adamaoua,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560754
Cameroon,Adamaoua,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560754
Cameroon,Adamaoua,January,2024,0,0,0,0,1.0,1.0,0.0,0.0,1728560754
Cameroon,Adamaoua,February,2024,2,1,0,1,0.0,0.0,0.0,0.0,1728560754
Cameroon,Adamaoua,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560754
Cameroon,Adamaoua,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560754
Cameroon,Adamaoua,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560754
Cameroon,Adamaoua,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560754
Cameroon,Adamaoua,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560754
Cameroon,Adamaoua,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560754
Cameroon,Centre,March,2023,2,0,0,2,2.0,0.0,0.0,2.0,1728560754
Cameroon,Centre,April,2023,2,0,0,2,1.0,0.0,0.0,1.0,1728560754
Cameroon,Centre,May,2023,2,0,0,1,1.0,0.0,0.0,1.0,1728560754
Cameroon,Centre,June,2023,2,0,0,1,1.0,0.0,0.0,1.0,1728560754
Cameroon,Centre,July,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560754
Cameroon,Centre,August,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560754
Cameroon,Centre,September,2023,1,0,0,1,2.0,1.0,0.0,1.0,1728560754
