country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Central African Republic,Bamingui-Bangoran,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560769
Central African Republic,Bamingui-Bangoran,April,2023,0,0,0,0,1.0,1.0,0.0,0.0,1728560769
Central African Republic,Bamingui-Bangoran,May,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560769
Central African Republic,Bamingui-Bangoran,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560769
Central African Republic,Bamingui-Bangoran,July,2023,0,0,0,0,1.0,0.0,1.0,0.0,1728560769
Central African Republic,Bamingui-Bangoran,August,2023,1,0,1,0,2.0,1.0,0.0,1.0,1728560769
Central African Republic,Bamingui-Bangoran,September,2023,2,1,0,1,8.0,7.0,0.0,1.0,1728560769
Central African Republic,Bamingui-Bangoran,October,2023,7,6,0,1,3.0,1.0,0.0,2.0,1728560769
Central African Republic,Bamingui-Bangoran,November,2023,3,1,0,2,0.0,0.0,0.0,0.0,1728560769
Central African Republic,Bamingui-Bangoran,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560769
Central African Republic,Bamingui-Bangoran,January,2024,0,0,0,0,2.0,2.0,0.0,0.0,1728560769
Central African Republic,Bamingui-Bangoran,February,2024,1,1,0,0,4.0,4.0,0.0,0.0,1728560769
Central African Republic,Bamingui-Bangoran,March,2024,4,3,0,1,0.0,0.0,0.0,0.0,1728560769
Central African Republic,Bamingui-Bangoran,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560769
Central African Republic,Bamingui-Bangoran,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560769
Central African Republic,Bamingui-Bangoran,June,2024,0,0,0,0,1.0,0.0,1.0,0.0,1728560769
Central African Republic,Bamingui-Bangoran,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560769
Central African Republic,Bamingui-Bangoran,August,2024,0,0,0,0,1.0,1.0,0.0,0.0,1728560769
Central African Republic,Bangui,March,2023,0,0,0,0,2.0,0.0,0.0,2.0,1728560769
Central African Republic,Bangui,April,2023,2,0,0,2,2.0,0.0,0.0,2.0,1728560769
Central African Republic,Bangui,May,2023,2,0,0,2,3.0,0.0,0.0,3.0,1728560770
Central African Republic,Bangui,June,2023,3,0,0,3,1.0,0.0,0.0,1.0,1728560770
Central African Republic,Bangui,July,2023,2,0,0,2,1.0,0.0,0.0,1.0,1728560770
Central African Republic,Bangui,August,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560770
Central African Republic,Bangui,September,2023,0,0,0,0,2.0,0.0,0.0,2.0,1728560770
Central African Republic,Bangui,October,2023,2,0,0,2,0.0,0.0,0.0,0.0,1728560770
Central African Republic,Bangui,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560770
Central African Republic,Bangui,December,2023,0,0,0,0,4.0,1.0,0.0,3.0,1728560770
Central African Republic,Bangui,January,2024,4,1,0,3,2.0,0.0,0.0,2.0,1728560770
Central African Republic,Bangui,February,2024,3,1,0,2,3.0,0.0,0.0,3.0,1728560770
Central African Republic,Bangui,March,2024,3,0,0,3,4.0,0.0,0.0,4.0,1728560770
Central African Republic,Bangui,April,2024,2,0,0,2,0.0,0.0,0.0,0.0,1728560770
Central African Republic,Bangui,May,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560770
Central African Republic,Bangui,June,2024,1,0,0,1,5.0,1.0,1.0,3.0,1728560770
Central African Republic,Bangui,July,2024,4,1,0,3,0.0,0.0,0.0,0.0,1728560770
Central African Republic,Bangui,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560770
Central African Republic,Basse-Kotto,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560770
Central African Republic,Basse-Kotto,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560770
Central African Republic,Basse-Kotto,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560770
Central African Republic,Basse-Kotto,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560770
Central African Republic,Basse-Kotto,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560770
Central African Republic,Basse-Kotto,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560770
Central African Republic,Basse-Kotto,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560770
Central African Republic,Basse-Kotto,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560770
Central African Republic,Basse-Kotto,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560770
Central African Republic,Basse-Kotto,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560770
Central African Republic,Basse-Kotto,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560770
Central African Republic,Basse-Kotto,February,2024,0,0,0,0,2.0,0.0,0.0,2.0,1728560770
