country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
China,Macao,February,2024,0,0,0,0,,,,,1704898538
China,Macao,March,2024,0,0,0,0,,,,,1704898538
China,Macao,April,2024,0,0,0,0,,,,,1704898538
China,Macao,May,2024,0,0,0,0,,,,,1704898538
China,Macao,June,2024,0,0,0,0,,,,,1704898538
China,Anhui,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560808
China,Anhui,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560808
China,Anhui,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560808
China,Anhui,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560808
China,Anhui,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560808
China,Anhui,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560808
China,Anhui,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560808
China,Anhui,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560808
China,Anhui,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560808
China,Anhui,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560808
China,Anhui,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560808
China,Anhui,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560808
China,Anhui,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560808
China,Anhui,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560809
China,Anhui,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560809
China,Anhui,June,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560809
China,Anhui,July,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560809
China,Anhui,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560809
China,Beijing,March,2023,3,0,0,3,3.0,0.0,0.0,3.0,1728560809
China,Beijing,April,2023,3,0,0,3,2.0,0.0,0.0,2.0,1728560809
China,Beijing,May,2023,2,0,0,2,2.0,0.0,0.0,2.0,1728560809
China,Beijing,June,2023,3,0,0,3,2.0,0.0,0.0,2.0,1728560809
China,Beijing,July,2023,3,0,0,3,1.0,0.0,0.0,1.0,1728560809
China,Beijing,August,2023,3,0,0,3,0.0,0.0,0.0,0.0,1728560809
China,Beijing,September,2023,1,0,0,1,6.0,0.0,0.0,6.0,1728560809
