country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Colombia,Amazonas,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560830
Colombia,Amazonas,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560830
Colombia,Amazonas,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560830
Colombia,Amazonas,June,2023,1,0,0,1,1.0,0.0,0.0,1.0,1728560830
Colombia,Amazonas,July,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560830
Colombia,Amazonas,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560831
Colombia,Amazonas,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560831
Colombia,Amazonas,October,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560831
Colombia,Amazonas,November,2023,2,0,0,2,0.0,0.0,0.0,0.0,1728560831
Colombia,Amazonas,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560831
Colombia,Amazonas,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560831
Colombia,Amazonas,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560831
Colombia,Amazonas,March,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560831
Colombia,Amazonas,April,2024,1,0,0,1,3.0,0.0,0.0,3.0,1728560831
Colombia,Amazonas,May,2024,3,0,0,3,0.0,0.0,0.0,0.0,1728560831
Colombia,Amazonas,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560831
Colombia,Amazonas,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560831
Colombia,Amazonas,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560831
Colombia,Antioquia,March,2023,10,3,1,6,22.0,18.0,0.0,4.0,1728560831
Colombia,Antioquia,April,2023,16,11,0,5,19.0,2.0,3.0,14.0,1728560831
Colombia,Antioquia,May,2023,20,4,2,14,12.0,4.0,1.0,7.0,1728560831
Colombia,Antioquia,June,2023,14,4,1,9,18.0,6.0,0.0,12.0,1728560831
Colombia,Antioquia,July,2023,21,8,1,12,26.0,10.0,1.0,15.0,1728560831
Colombia,Antioquia,August,2023,24,8,2,14,17.0,9.0,1.0,7.0,1728560831
