country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Cuba,Artemisa,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Artemisa,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Artemisa,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Artemisa,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Artemisa,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Artemisa,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Artemisa,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Artemisa,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Artemisa,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Artemisa,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Artemisa,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Artemisa,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Artemisa,March,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560854
Cuba,Artemisa,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560854
Cuba,Artemisa,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Artemisa,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Artemisa,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Artemisa,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Camaguey,March,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560854
Cuba,Camaguey,April,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560854
Cuba,Camaguey,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Camaguey,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560854
Cuba,Camaguey,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560855
Cuba,Camaguey,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560855
Cuba,Camaguey,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560855
Cuba,Camaguey,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560855
Cuba,Camaguey,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560855
Cuba,Camaguey,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560855
Cuba,Camaguey,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560855
Cuba,Camaguey,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560855
Cuba,Camaguey,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560855
Cuba,Camaguey,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560855
Cuba,Camaguey,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560855
Cuba,Camaguey,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560855
Cuba,Camaguey,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560855
