country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Democratic Republic of Congo,Bas-Uele,March,2023,1,0,0,1,1.0,0.0,0.0,1.0,1728560880
Democratic Republic of Congo,Bas-Uele,April,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560880
Democratic Republic of Congo,Bas-Uele,May,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560880
Democratic Republic of Congo,Bas-Uele,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560880
Democratic Republic of Congo,Bas-Uele,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560880
Democratic Republic of Congo,Bas-Uele,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560880
Democratic Republic of Congo,Bas-Uele,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560880
Democratic Republic of Congo,Bas-Uele,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560880
Democratic Republic of Congo,Bas-Uele,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560880
Democratic Republic of Congo,Bas-Uele,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560880
Democratic Republic of Congo,Bas-Uele,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560880
Democratic Republic of Congo,Bas-Uele,February,2024,0,0,0,0,3.0,2.0,0.0,1.0,1728560880
Democratic Republic of Congo,Bas-Uele,March,2024,2,1,0,1,4.0,0.0,0.0,4.0,1728560880
Democratic Republic of Congo,Bas-Uele,April,2024,3,0,0,3,0.0,0.0,0.0,0.0,1728560880
Democratic Republic of Congo,Bas-Uele,May,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560880
Democratic Republic of Congo,Bas-Uele,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Bas-Uele,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Bas-Uele,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,April,2023,1,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,May,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Equateur,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560881
Democratic Republic of Congo,Haut-Katanga,March,2023,1,1,0,0,1.0,0.0,0.0,1.0,1728560881
Democratic Republic of Congo,Haut-Katanga,April,2023,1,0,0,1,1.0,0.0,0.0,1.0,1728560881
Democratic Republic of Congo,Haut-Katanga,May,2023,1,1,0,1,1.0,0.0,0.0,1.0,1728560882
Democratic Republic of Congo,Haut-Katanga,June,2023,1,0,0,1,2.0,0.0,0.0,2.0,1728560882
Democratic Republic of Congo,Haut-Katanga,July,2023,2,0,0,2,1.0,1.0,0.0,0.0,1728560882
Democratic Republic of Congo,Haut-Katanga,August,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560882
Democratic Republic of Congo,Haut-Katanga,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560882
Democratic Republic of Congo,Haut-Katanga,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560882
Democratic Republic of Congo,Haut-Katanga,November,2023,0,0,0,0,1.0,1.0,0.0,0.0,1728560882
Democratic Republic of Congo,Haut-Katanga,December,2023,1,1,0,0,1.0,0.0,0.0,1.0,1728560882
Democratic Republic of Congo,Haut-Katanga,January,2024,1,0,0,1,2.0,1.0,0.0,1.0,1728560882
Democratic Republic of Congo,Haut-Katanga,February,2024,2,1,0,1,1.0,0.0,0.0,1.0,1728560882
Democratic Republic of Congo,Haut-Katanga,March,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560882
Democratic Republic of Congo,Haut-Katanga,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560882
Democratic Republic of Congo,Haut-Katanga,May,2024,0,0,0,0,1.0,1.0,0.0,0.0,1728560882
Democratic Republic of Congo,Haut-Katanga,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560882
Democratic Republic of Congo,Haut-Katanga,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560882
Democratic Republic of Congo,Haut-Katanga,August,2024,0,0,0,0,1.0,1.0,0.0,0.0,1728560882
Democratic Republic of Congo,Haut-Lomami,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560882
Democratic Republic of Congo,Haut-Lomami,April,2023,1,0,0,0,0.0,0.0,0.0,0.0,1728560882
Democratic Republic of Congo,Haut-Lomami,May,2023,1,1,0,0,1.0,0.0,0.0,1.0,1728560882
Democratic Republic of Congo,Haut-Lomami,June,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560882
Democratic Republic of Congo,Haut-Lomami,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560882
Democratic Republic of Congo,Haut-Lomami,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560882
Democratic Republic of Congo,Haut-Lomami,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560882
Democratic Republic of Congo,Haut-Lomami,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Lomami,November,2023,0,0,0,0,1.0,1.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Lomami,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Lomami,January,2024,0,0,0,0,1.0,1.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Lomami,February,2024,1,1,0,0,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Lomami,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Lomami,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Lomami,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Lomami,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Lomami,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Lomami,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Uele,March,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Uele,April,2023,1,0,0,0,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Uele,May,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Uele,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Uele,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Uele,August,2023,0,0,0,0,2.0,0.0,0.0,2.0,1728560883
Democratic Republic of Congo,Haut-Uele,September,2023,1,0,0,1,2.0,2.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Uele,October,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Uele,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Uele,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Uele,January,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560883
Democratic Republic of Congo,Haut-Uele,February,2024,1,0,0,1,2.0,0.0,0.0,2.0,1728560883
Democratic Republic of Congo,Haut-Uele,March,2024,2,1,0,1,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Uele,April,2024,0,0,0,0,1.0,1.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Uele,May,2024,2,1,0,1,2.0,1.0,0.0,1.0,1728560883
Democratic Republic of Congo,Haut-Uele,June,2024,2,1,0,1,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Uele,July,2024,0,0,0,0,1.0,1.0,0.0,0.0,1728560883
Democratic Republic of Congo,Haut-Uele,August,2024,2,1,0,1,0.0,0.0,0.0,0.0,1728560883
Democratic Republic of Congo,Ituri,March,2023,38,17,0,21,37.0,9.0,0.0,28.0,1728560884
Democratic Republic of Congo,Ituri,April,2023,33,13,0,20,55.0,17.0,0.0,38.0,1728560884
Democratic Republic of Congo,Ituri,May,2023,47,12,0,34,22.0,6.0,1.0,15.0,1728560884
Democratic Republic of Congo,Ituri,June,2023,22,7,1,13,39.0,17.0,1.0,21.0,1728560884
Democratic Republic of Congo,Ituri,July,2023,35,17,1,17,25.0,10.0,0.0,15.0,1728560884
Democratic Republic of Congo,Ituri,August,2023,26,14,0,12,40.0,13.0,0.0,27.0,1728560884
Democratic Republic of Congo,Ituri,September,2023,38,13,0,25,28.0,11.0,2.0,15.0,1728560884
Democratic Republic of Congo,Ituri,October,2023,23,8,1,14,21.0,8.0,4.0,9.0,1728560884
Democratic Republic of Congo,Ituri,November,2023,22,11,3,8,24.0,5.0,1.0,18.0,1728560884
Democratic Republic of Congo,Ituri,December,2023,23,5,2,16,17.0,2.0,0.0,15.0,1728560884
Democratic Republic of Congo,Ituri,January,2024,17,6,0,11,34.0,13.0,1.0,20.0,1728560884
Democratic Republic of Congo,Ituri,February,2024,29,12,1,16,37.0,12.0,0.0,25.0,1728560884
Democratic Republic of Congo,Ituri,March,2024,37,14,0,23,33.0,13.0,0.0,20.0,1728560884
Democratic Republic of Congo,Ituri,April,2024,30,10,0,20,35.0,6.0,1.0,28.0,1728560884
Democratic Republic of Congo,Ituri,May,2024,33,7,1,25,33.0,5.0,0.0,28.0,1728560884
Democratic Republic of Congo,Ituri,June,2024,39,11,0,28,35.0,12.0,0.0,23.0,1728560884
Democratic Republic of Congo,Ituri,July,2024,32,12,0,20,20.0,11.0,1.0,8.0,1728560884
Democratic Republic of Congo,Ituri,August,2024,23,11,1,11,24.0,3.0,0.0,21.0,1728560884
Democratic Republic of Congo,Kasai,March,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560884
Democratic Republic of Congo,Kasai,April,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560884
Democratic Republic of Congo,Kasai,May,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560884
Democratic Republic of Congo,Kasai,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560884
Democratic Republic of Congo,Kasai,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560884
Democratic Republic of Congo,Kasai,August,2023,1,0,0,1,1.0,1.0,0.0,0.0,1728560884
Democratic Republic of Congo,Kasai,September,2023,2,1,0,1,2.0,2.0,0.0,0.0,1728560884
Democratic Republic of Congo,Kasai,October,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560884
Democratic Republic of Congo,Kasai,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560884
Democratic Republic of Congo,Kasai,December,2023,1,0,0,1,1.0,1.0,0.0,0.0,1728560884
Democratic Republic of Congo,Kasai,January,2024,1,1,0,0,0.0,0.0,0.0,0.0,1728560884
Democratic Republic of Congo,Kasai,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560884
Democratic Republic of Congo,Kasai,March,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560884
Democratic Republic of Congo,Kasai,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560884
Democratic Republic of Congo,Kasai,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560884
Democratic Republic of Congo,Kasai,June,2024,0,0,0,0,1.0,1.0,0.0,0.0,1728560884
Democratic Republic of Congo,Kasai,July,2024,1,1,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,April,2023,1,0,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,May,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,September,2023,0,0,0,0,1.0,1.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,October,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,May,2024,0,0,0,0,1.0,1.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,June,2024,1,0,0,1,1.0,1.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,July,2024,1,1,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Central,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Oriental,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Oriental,April,2023,1,0,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Oriental,May,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Oriental,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560885
Democratic Republic of Congo,Kasai-Oriental,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560886
Democratic Republic of Congo,Kasai-Oriental,August,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560886
Democratic Republic of Congo,Kasai-Oriental,September,2023,2,1,0,1,0.0,0.0,0.0,0.0,1728560886
Democratic Republic of Congo,Kasai-Oriental,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560886
Democratic Republic of Congo,Kasai-Oriental,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560886
