country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Dominican Republic,Azua,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560865
Dominican Republic,Azua,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560865
Dominican Republic,Azua,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560865
Dominican Republic,Azua,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560865
Dominican Republic,Azua,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560865
Dominican Republic,Azua,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560865
Dominican Republic,Azua,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560865
Dominican Republic,Azua,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560865
Dominican Republic,Azua,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560865
Dominican Republic,Azua,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560865
Dominican Republic,Azua,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560865
Dominican Republic,Bahoruco,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Bahoruco,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Bahoruco,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Bahoruco,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Bahoruco,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Bahoruco,March,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560866
Dominican Republic,Bahoruco,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Bahoruco,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Bahoruco,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Bahoruco,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Bahoruco,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Barahona,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Barahona,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Barahona,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Barahona,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Barahona,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Barahona,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Barahona,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Barahona,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Barahona,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Barahona,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Barahona,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560866
Dominican Republic,Dajabon,October,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560867
Dominican Republic,Dajabon,November,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Dajabon,December,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560867
Dominican Republic,Dajabon,January,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Dajabon,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Dajabon,March,2024,0,0,0,0,1.0,1.0,0.0,0.0,1728560867
Dominican Republic,Dajabon,April,2024,1,1,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Dajabon,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Dajabon,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Dajabon,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Dajabon,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Distrito Nacional,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Distrito Nacional,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560867
Dominican Republic,Distrito Nacional,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Distrito Nacional,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Distrito Nacional,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Distrito Nacional,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Distrito Nacional,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Distrito Nacional,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Distrito Nacional,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Distrito Nacional,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Distrito Nacional,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Duarte,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Duarte,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Duarte,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Duarte,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Duarte,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Duarte,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560867
Dominican Republic,Duarte,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,Duarte,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,Duarte,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,Duarte,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,Duarte,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,El Seibo,October,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560868
Dominican Republic,El Seibo,November,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,El Seibo,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,El Seibo,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,El Seibo,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,El Seibo,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,El Seibo,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,El Seibo,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,El Seibo,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,El Seibo,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,El Seibo,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,Elias Pina,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,Elias Pina,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,Elias Pina,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,Elias Pina,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,Elias Pina,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,Elias Pina,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,Elias Pina,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,Elias Pina,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,Elias Pina,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,Elias Pina,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,Elias Pina,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560868
Dominican Republic,Espaillat,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560869
Dominican Republic,Espaillat,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560869
Dominican Republic,Espaillat,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560869
