country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Ecuador,El Oro,October,2023,2,0,1,1,0.0,0.0,0.0,0.0,1726141030
Ecuador,El Oro,November,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141030
Ecuador,El Oro,December,2023,2,1,0,1,1.0,0.0,1.0,0.0,1726141030
Ecuador,El Oro,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,El Oro,February,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141030
Ecuador,El Oro,March,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141030
Ecuador,El Oro,April,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141030
Ecuador,El Oro,May,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141030
Ecuador,El Oro,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,El Oro,July,2024,0,0,0,0,3.0,0.0,0.0,3.0,1726141030
Ecuador,El Oro,August,2024,2,0,0,2,2.0,0.0,0.0,2.0,1726141030
Ecuador,Esmeraldas,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Esmeraldas,April,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141030
Ecuador,Esmeraldas,May,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141030
Ecuador,Esmeraldas,June,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141030
Ecuador,Esmeraldas,July,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141030
Ecuador,Esmeraldas,August,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141030
Ecuador,Esmeraldas,September,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141030
Ecuador,Esmeraldas,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Esmeraldas,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141030
Ecuador,Esmeraldas,December,2023,1,0,0,1,1.0,1.0,0.0,0.0,1726141030
Ecuador,Esmeraldas,January,2024,1,1,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Esmeraldas,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Esmeraldas,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Esmeraldas,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Esmeraldas,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Esmeraldas,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Esmeraldas,July,2024,0,0,0,0,2.0,0.0,0.0,2.0,1726141030
Ecuador,Esmeraldas,August,2024,2,0,0,2,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Galapagos,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Guayas,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Guayas,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Guayas,May,2023,0,0,0,0,2.0,1.0,1.0,0.0,1726141030
Ecuador,Guayas,June,2023,2,1,1,0,0.0,0.0,0.0,0.0,1726141030
Ecuador,Guayas,July,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141030
Ecuador,Guayas,August,2023,1,1,0,0,1.0,0.0,0.0,1.0,1726141030
Ecuador,Guayas,September,2023,1,0,0,1,5.0,0.0,2.0,3.0,1726141030
Ecuador,Guayas,October,2023,5,0,2,3,3.0,0.0,0.0,3.0,1726141030
Ecuador,Guayas,November,2023,3,0,0,3,0.0,0.0,0.0,0.0,1726141030
Ecuador,Guayas,December,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141030
Ecuador,Guayas,January,2024,1,0,0,1,2.0,0.0,0.0,2.0,1726141030
Ecuador,Guayas,February,2024,2,0,0,2,1.0,0.0,0.0,1.0,1726141030
Ecuador,Guayas,March,2024,2,0,0,2,2.0,0.0,0.0,2.0,1726141030
Ecuador,Guayas,April,2024,2,0,0,2,0.0,0.0,0.0,0.0,1726141030
Ecuador,Guayas,May,2024,0,0,0,0,2.0,0.0,1.0,1.0,1726141030
Ecuador,Guayas,June,2024,1,0,0,1,2.0,0.0,1.0,1.0,1726141030
Ecuador,Guayas,July,2024,1,0,0,1,4.0,0.0,0.0,4.0,1726141030
Ecuador,Guayas,August,2024,4,0,0,4,4.0,0.0,0.0,4.0,1726141030
Ecuador,Imbabura,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Imbabura,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Imbabura,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Imbabura,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Imbabura,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Imbabura,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Imbabura,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Imbabura,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Imbabura,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Imbabura,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Imbabura,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Imbabura,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Imbabura,March,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141031
Ecuador,Imbabura,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141031
Ecuador,Imbabura,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Imbabura,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Imbabura,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Imbabura,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Loja,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Loja,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Loja,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Loja,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Loja,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Loja,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Loja,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Loja,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Loja,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Loja,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Loja,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Loja,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Loja,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Loja,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Loja,May,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141031
Ecuador,Loja,June,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141031
Ecuador,Loja,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Loja,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Los Rios,March,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141031
Ecuador,Los Rios,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Los Rios,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Los Rios,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Los Rios,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141031
Ecuador,Los Rios,August,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141031
Ecuador,Los Rios,September,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141031
Ecuador,Los Rios,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Los Rios,November,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141031
Ecuador,Los Rios,December,2023,2,1,0,1,1.0,0.0,0.0,1.0,1726141031
Ecuador,Los Rios,January,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141031
Ecuador,Los Rios,February,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141031
Ecuador,Los Rios,March,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141031
Ecuador,Los Rios,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141031
Ecuador,Los Rios,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Los Rios,June,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141031
Ecuador,Los Rios,July,2024,1,0,0,1,2.0,0.0,0.0,2.0,1726141031
Ecuador,Los Rios,August,2024,2,0,0,2,1.0,0.0,0.0,1.0,1726141031
Ecuador,Manabi,March,2023,2,0,0,2,0.0,0.0,0.0,0.0,1726141031
Ecuador,Manabi,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Manabi,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Manabi,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Manabi,July,2023,0,0,0,0,2.0,0.0,1.0,1.0,1726141031
Ecuador,Manabi,August,2023,2,0,1,1,0.0,0.0,0.0,0.0,1726141031
Ecuador,Manabi,September,2023,0,0,0,0,3.0,0.0,0.0,3.0,1726141031
Ecuador,Manabi,October,2023,3,0,0,3,2.0,0.0,0.0,2.0,1726141031
Ecuador,Manabi,November,2023,2,0,0,2,1.0,0.0,0.0,1.0,1726141031
Ecuador,Manabi,December,2023,1,0,0,1,2.0,0.0,0.0,2.0,1726141031
Ecuador,Manabi,January,2024,2,0,0,2,2.0,0.0,1.0,1.0,1726141031
Ecuador,Manabi,February,2024,2,0,1,1,1.0,0.0,0.0,1.0,1726141031
Ecuador,Manabi,March,2024,1,0,0,1,2.0,0.0,0.0,2.0,1726141031
Ecuador,Manabi,April,2024,2,0,0,2,3.0,0.0,0.0,3.0,1726141031
Ecuador,Manabi,May,2024,3,0,0,3,2.0,0.0,0.0,2.0,1726141031
Ecuador,Manabi,June,2024,2,0,0,2,3.0,0.0,1.0,2.0,1726141031
Ecuador,Manabi,July,2024,2,0,0,2,1.0,0.0,0.0,1.0,1726141031
Ecuador,Manabi,August,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141031
Ecuador,Morona Santiago,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Morona Santiago,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Morona Santiago,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Morona Santiago,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Morona Santiago,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Morona Santiago,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Morona Santiago,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Morona Santiago,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
Ecuador,Morona Santiago,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141031
