country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
eSwatini,Hhohho,March,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141097
eSwatini,Hhohho,April,2023,1,0,0,1,2.0,0.0,0.0,2.0,1726141097
eSwatini,Hhohho,May,2023,2,0,0,2,1.0,0.0,0.0,1.0,1726141097
eSwatini,Hhohho,June,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141097
eSwatini,Hhohho,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141097
eSwatini,Hhohho,August,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141097
eSwatini,Hhohho,September,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141097
eSwatini,Hhohho,October,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141097
eSwatini,Hhohho,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Hhohho,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Hhohho,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Hhohho,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Hhohho,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Hhohho,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Hhohho,May,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141097
eSwatini,Hhohho,June,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141097
eSwatini,Hhohho,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Hhohho,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Lubombo,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Lubombo,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Lubombo,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Lubombo,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Lubombo,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Lubombo,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Lubombo,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Lubombo,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Lubombo,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Lubombo,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Lubombo,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Lubombo,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Lubombo,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Lubombo,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Lubombo,May,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141097
eSwatini,Lubombo,June,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141097
eSwatini,Lubombo,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Lubombo,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Manzini,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Manzini,April,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141097
eSwatini,Manzini,May,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141097
eSwatini,Manzini,June,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141097
eSwatini,Manzini,July,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141097
eSwatini,Manzini,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Manzini,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Manzini,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Manzini,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141097
eSwatini,Manzini,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141097
eSwatini,Manzini,January,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141097
eSwatini,Manzini,February,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141097
eSwatini,Manzini,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Manzini,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Manzini,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Manzini,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Manzini,July,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141097
eSwatini,Manzini,August,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141097
eSwatini,Shiselweni,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Shiselweni,April,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141097
eSwatini,Shiselweni,May,2023,2,0,0,1,0.0,0.0,0.0,0.0,1726141097
eSwatini,Shiselweni,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Shiselweni,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Shiselweni,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Shiselweni,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Shiselweni,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Shiselweni,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Shiselweni,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Shiselweni,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Shiselweni,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Shiselweni,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Shiselweni,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Shiselweni,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Shiselweni,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Shiselweni,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Shiselweni,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141097
eSwatini,Hhohho,September,2024,0,0,0,0,0.0,0.0,0.0,0.0,1730731004
eSwatini,Lubombo,September,2024,0,0,0,0,0.0,0.0,0.0,0.0,1730731004
eSwatini,Manzini,September,2024,0,0,0,0,0.0,0.0,0.0,0.0,1730731004
eSwatini,Shiselweni,September,2024,0,0,0,0,0.0,0.0,0.0,0.0,1730731004
eSwatini,Hhohho,October,2024,0,0,0,0,0.0,0.0,0.0,0.0,1734010311
eSwatini,Hhohho,November,2024,0,0,0,0,0.0,0.0,0.0,0.0,1734010311
eSwatini,Lubombo,October,2024,0,0,0,0,0.0,0.0,0.0,0.0,1734010311
eSwatini,Lubombo,November,2024,0,0,0,0,0.0,0.0,0.0,0.0,1734010311
eSwatini,Manzini,October,2024,0,0,0,0,0.0,0.0,0.0,0.0,1734010311
eSwatini,Manzini,November,2024,0,0,0,0,0.0,0.0,0.0,0.0,1734010311
eSwatini,Shiselweni,October,2024,0,0,0,0,0.0,0.0,0.0,0.0,1734010311
eSwatini,Shiselweni,November,2024,0,0,0,0,0.0,0.0,0.0,0.0,1734010311
eSwatini,Hhohho,December,2024,0,0,0,0,0.0,0.0,0.0,0.0,1737033375
eSwatini,Lubombo,December,2024,0,0,0,0,1.0,0.0,0.0,1.0,1737033375
eSwatini,Manzini,December,2024,0,0,0,0,1.0,0.0,0.0,1.0,1737033375
eSwatini,Shiselweni,December,2024,0,0,0,0,0.0,0.0,0.0,0.0,1737033375
eSwatini,Hhohho,January,2025,0,0,0,0,0.0,0.0,0.0,0.0,1738854872
eSwatini,Lubombo,January,2025,1,0,0,1,0.0,0.0,0.0,0.0,1738854872
eSwatini,Manzini,January,2025,1,0,0,1,0.0,0.0,0.0,0.0,1738854872
