country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Ethiopia,Addis Ababa,March,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141033
Ethiopia,Addis Ababa,April,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141033
Ethiopia,Addis Ababa,May,2023,1,1,0,0,2.0,0.0,0.0,2.0,1726141033
Ethiopia,Addis Ababa,June,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141033
Ethiopia,Addis Ababa,July,2023,1,1,0,0,1.0,0.0,0.0,1.0,1726141033
Ethiopia,Addis Ababa,August,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141033
Ethiopia,Addis Ababa,September,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141033
Ethiopia,Addis Ababa,October,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141033
Ethiopia,Addis Ababa,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141033
Ethiopia,Addis Ababa,December,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141033
Ethiopia,Addis Ababa,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141033
Ethiopia,Addis Ababa,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141033
Ethiopia,Addis Ababa,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141033
Ethiopia,Addis Ababa,April,2024,0,0,0,0,1.0,1.0,0.0,0.0,1726141033
Ethiopia,Addis Ababa,May,2024,1,1,0,0,0.0,0.0,0.0,0.0,1726141033
Ethiopia,Addis Ababa,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141033
Ethiopia,Addis Ababa,July,2024,1,1,0,0,1.0,1.0,0.0,0.0,1726141033
Ethiopia,Addis Ababa,August,2024,1,0,0,1,2.0,0.0,2.0,0.0,1726141033
Ethiopia,Afar,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141033
