country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
France,Auvergne-Rhone-Alpes,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
France,Auvergne-Rhone-Alpes,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
France,Auvergne-Rhone-Alpes,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
France,Auvergne-Rhone-Alpes,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
France,Auvergne-Rhone-Alpes,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
France,Auvergne-Rhone-Alpes,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
France,Auvergne-Rhone-Alpes,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
France,Auvergne-Rhone-Alpes,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
France,Auvergne-Rhone-Alpes,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141034
France,Auvergne-Rhone-Alpes,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141034
France,Auvergne-Rhone-Alpes,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
France,Auvergne-Rhone-Alpes,February,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141034
France,Auvergne-Rhone-Alpes,March,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141034
France,Auvergne-Rhone-Alpes,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
France,Auvergne-Rhone-Alpes,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
France,Auvergne-Rhone-Alpes,June,2024,0,0,0,0,2.0,0.0,0.0,2.0,1726141034
France,Auvergne-Rhone-Alpes,July,2024,2,0,0,2,0.0,0.0,0.0,0.0,1726141034
France,Auvergne-Rhone-Alpes,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
France,Bourgogne-Franche-Comte,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
France,Bourgogne-Franche-Comte,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
France,Bourgogne-Franche-Comte,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
France,Bourgogne-Franche-Comte,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
France,Bourgogne-Franche-Comte,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
France,Bourgogne-Franche-Comte,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141034
