country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Ghana,Ahafo,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ahafo,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ahafo,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ahafo,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ahafo,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ahafo,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ahafo,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ahafo,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ahafo,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141035
Ghana,Ahafo,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141035
Ghana,Ahafo,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ahafo,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ahafo,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ahafo,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ahafo,May,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141035
Ghana,Ahafo,June,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141035
Ghana,Ahafo,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ahafo,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ashanti,March,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141035
Ghana,Ashanti,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ashanti,May,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141035
Ghana,Ashanti,June,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141035
Ghana,Ashanti,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141035
Ghana,Ashanti,August,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141035
Ghana,Ashanti,September,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141035
Ghana,Ashanti,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ashanti,November,2023,0,0,0,0,4.0,0.0,0.0,4.0,1726141035
Ghana,Ashanti,December,2023,3,0,0,3,0.0,0.0,0.0,0.0,1726141035
Ghana,Ashanti,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ashanti,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Ashanti,March,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141035
Ghana,Ashanti,April,2024,1,0,0,1,2.0,0.0,0.0,2.0,1726141035
Ghana,Ashanti,May,2024,2,0,0,2,1.0,0.0,0.0,1.0,1726141035
Ghana,Ashanti,June,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141035
Ghana,Ashanti,July,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141035
Ghana,Ashanti,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono,January,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141035
Ghana,Bono,February,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono East,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono East,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono East,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono East,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono East,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141035
Ghana,Bono East,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Bono East,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Bono East,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Bono East,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Bono East,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Bono East,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Bono East,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Bono East,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Bono East,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Bono East,May,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141036
Ghana,Bono East,June,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,Bono East,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Bono East,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Central,March,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141036
Ghana,Central,April,2023,1,0,0,1,2.0,0.0,0.0,2.0,1726141036
Ghana,Central,May,2023,2,0,0,2,1.0,0.0,0.0,1.0,1726141036
Ghana,Central,June,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141036
Ghana,Central,July,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,Central,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Central,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Central,October,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141036
Ghana,Central,November,2023,2,0,0,2,1.0,0.0,0.0,1.0,1726141036
Ghana,Central,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,Central,January,2024,0,0,0,0,1.0,1.0,0.0,0.0,1726141036
Ghana,Central,February,2024,2,1,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,Central,March,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141036
Ghana,Central,April,2024,1,0,0,1,1.0,1.0,0.0,0.0,1726141036
Ghana,Central,May,2024,0,0,0,0,2.0,0.0,0.0,2.0,1726141036
Ghana,Central,June,2024,2,0,0,2,1.0,0.0,0.0,1.0,1726141036
Ghana,Central,July,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,Central,August,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141036
Ghana,Eastern,March,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,Eastern,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Eastern,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Eastern,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Eastern,July,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141036
Ghana,Eastern,August,2023,2,0,0,2,1.0,0.0,0.0,1.0,1726141036
Ghana,Eastern,September,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,Eastern,October,2023,0,0,0,0,3.0,0.0,0.0,3.0,1726141036
Ghana,Eastern,November,2023,2,0,0,2,0.0,0.0,0.0,0.0,1726141036
Ghana,Eastern,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Eastern,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Eastern,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Eastern,March,2024,0,0,0,0,1.0,1.0,0.0,0.0,1726141036
Ghana,Eastern,April,2024,1,0,0,1,2.0,1.0,0.0,1.0,1726141036
Ghana,Eastern,May,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141036
Ghana,Eastern,June,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,Eastern,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Eastern,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Greater Accra,March,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141036
Ghana,Greater Accra,April,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,Greater Accra,May,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141036
Ghana,Greater Accra,June,2023,1,0,0,1,1.0,1.0,0.0,0.0,1726141036
Ghana,Greater Accra,July,2023,1,0,0,0,1.0,0.0,0.0,1.0,1726141036
Ghana,Greater Accra,August,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141036
Ghana,Greater Accra,September,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,Greater Accra,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Greater Accra,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Greater Accra,December,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141036
Ghana,Greater Accra,January,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,Greater Accra,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Greater Accra,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Greater Accra,April,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141036
Ghana,Greater Accra,May,2024,1,0,0,1,1.0,0.0,1.0,0.0,1726141036
Ghana,Greater Accra,June,2024,0,0,0,0,3.0,0.0,0.0,3.0,1726141036
Ghana,Greater Accra,July,2024,2,0,0,2,3.0,0.0,0.0,3.0,1726141036
Ghana,Greater Accra,August,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,North East,March,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,North East,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,North East,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,North East,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,North East,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141036
Ghana,North East,August,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141036
Ghana,North East,September,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,North East,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,North East,November,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141036
Ghana,North East,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,North East,January,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141036
Ghana,North East,February,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,North East,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,North East,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,North East,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,North East,June,2024,0,0,0,0,1.0,1.0,0.0,0.0,1726141036
Ghana,North East,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,North East,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Northern,March,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,Northern,April,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141036
Ghana,Northern,May,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,Northern,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Northern,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Northern,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Northern,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Northern,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Northern,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Northern,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Northern,January,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141036
Ghana,Northern,February,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141036
Ghana,Northern,March,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,Northern,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Northern,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Northern,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Northern,July,2024,0,0,0,0,1.0,1.0,0.0,0.0,1726141036
Ghana,Northern,August,2024,2,1,0,1,1.0,1.0,0.0,0.0,1726141036
Ghana,Oti,March,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141036
Ghana,Oti,April,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Ghana,Oti,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Oti,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Ghana,Oti,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
