country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Greece,Aegean,March,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141036
Greece,Aegean,April,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Greece,Aegean,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Aegean,June,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141036
Greece,Aegean,July,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Greece,Aegean,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Aegean,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Aegean,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Aegean,November,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141036
Greece,Aegean,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Greece,Aegean,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Aegean,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Aegean,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Aegean,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Aegean,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Aegean,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Aegean,July,2024,0,0,0,0,1.0,1.0,0.0,0.0,1726141036
Greece,Aegean,August,2024,1,1,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Athonite State,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Athonite State,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Athonite State,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Athonite State,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Athonite State,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Athonite State,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Athonite State,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Athonite State,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Athonite State,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141036
Greece,Athonite State,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Greece,Athonite State,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Athonite State,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Athonite State,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Athonite State,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Athonite State,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Athonite State,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Athonite State,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Athonite State,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Attica,March,2023,1,0,1,0,3.0,0.0,2.0,1.0,1726141036
Greece,Attica,April,2023,3,0,2,1,1.0,0.0,1.0,0.0,1726141036
Greece,Attica,May,2023,2,0,1,1,4.0,0.0,2.0,2.0,1726141036
Greece,Attica,June,2023,4,0,2,2,2.0,0.0,1.0,1.0,1726141036
Greece,Attica,July,2023,3,0,2,1,3.0,0.0,2.0,1.0,1726141036
Greece,Attica,August,2023,2,0,1,1,1.0,0.0,0.0,1.0,1726141036
Greece,Attica,September,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141036
Greece,Attica,October,2023,0,0,0,0,2.0,0.0,1.0,1.0,1726141036
Greece,Attica,November,2023,2,0,1,1,2.0,0.0,2.0,0.0,1726141036
Greece,Attica,December,2023,3,0,2,1,2.0,0.0,1.0,1.0,1726141036
Greece,Attica,January,2024,2,0,1,1,2.0,0.0,2.0,0.0,1726141036
Greece,Attica,February,2024,2,0,2,0,2.0,0.0,2.0,0.0,1726141036
Greece,Attica,March,2024,3,0,2,1,2.0,0.0,1.0,1.0,1726141036
Greece,Attica,April,2024,2,0,1,1,4.0,0.0,1.0,3.0,1726141036
Greece,Attica,May,2024,4,0,1,3,4.0,0.0,1.0,3.0,1726141036
Greece,Attica,June,2024,4,0,1,3,2.0,0.0,0.0,2.0,1726141036
Greece,Attica,July,2024,2,0,0,2,3.0,0.0,0.0,3.0,1726141036
Greece,Attica,August,2024,3,0,0,3,1.0,0.0,1.0,0.0,1726141036
Greece,Crete,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Crete,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Crete,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Crete,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Crete,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Crete,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141036
Greece,Crete,September,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141036
Greece,Crete,October,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141036
