country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Guinea,Boke,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Boke,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Boke,May,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141038
Guinea,Boke,June,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141038
Guinea,Boke,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Boke,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Boke,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Boke,October,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141038
Guinea,Boke,November,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141038
Guinea,Boke,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Boke,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Boke,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Boke,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Boke,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Boke,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Boke,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Boke,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Boke,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Conakry,March,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141038
Guinea,Conakry,April,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141038
Guinea,Conakry,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Conakry,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Conakry,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Conakry,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Conakry,September,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141038
Guinea,Conakry,October,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141038
Guinea,Conakry,November,2023,0,0,0,0,2.0,1.0,0.0,1.0,1726141038
Guinea,Conakry,December,2023,2,1,0,1,1.0,0.0,0.0,1.0,1726141038
Guinea,Conakry,January,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141038
Guinea,Conakry,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Conakry,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Conakry,April,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141038
Guinea,Conakry,May,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141038
Guinea,Conakry,June,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141038
Guinea,Conakry,July,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141038
Guinea,Conakry,August,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Faranah,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Kankan,March,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141038
Guinea,Kankan,April,2023,1,0,0,1,2.0,1.0,0.0,1.0,1726141038
Guinea,Kankan,May,2023,2,1,0,1,1.0,1.0,0.0,0.0,1726141038
Guinea,Kankan,June,2023,1,1,0,0,1.0,1.0,0.0,0.0,1726141038
Guinea,Kankan,July,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Kankan,August,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141038
Guinea,Kankan,September,2023,1,1,0,0,1.0,0.0,0.0,1.0,1726141038
Guinea,Kankan,October,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141038
Guinea,Kankan,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Kankan,December,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141038
Guinea,Kankan,January,2024,1,0,0,1,4.0,0.0,0.0,4.0,1726141038
Guinea,Kankan,February,2024,2,0,0,2,2.0,0.0,0.0,2.0,1726141038
Guinea,Kankan,March,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141038
Guinea,Kankan,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Kankan,May,2024,0,0,0,0,2.0,1.0,0.0,1.0,1726141038
Guinea,Kankan,June,2024,2,1,0,1,0.0,0.0,0.0,0.0,1726141038
Guinea,Kankan,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Kankan,August,2024,0,0,0,0,2.0,0.0,0.0,2.0,1726141038
Guinea,Kindia,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141038
Guinea,Kindia,April,2023,0,0,0,0,3.0,0.0,0.0,3.0,1726141038
Guinea,Kindia,May,2023,2,0,0,2,0.0,0.0,0.0,0.0,1726141038
Guinea,Kindia,June,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141038
