country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Haiti,Artibonite,March,2023,5,1,0,4,5.0,0.0,0.0,5.0,1726141040
Haiti,Artibonite,April,2023,6,1,0,5,7.0,2.0,0.0,5.0,1726141040
Haiti,Artibonite,May,2023,5,1,0,4,9.0,3.0,0.0,6.0,1726141040
Haiti,Artibonite,June,2023,8,2,0,6,1.0,1.0,0.0,0.0,1726141040
Haiti,Artibonite,July,2023,2,2,0,0,9.0,4.0,0.0,5.0,1726141040
Haiti,Artibonite,August,2023,2,1,0,1,8.0,2.0,0.0,6.0,1726141040
Haiti,Artibonite,September,2023,6,1,0,5,8.0,6.0,0.0,2.0,1726141040
Haiti,Artibonite,October,2023,5,4,0,1,6.0,2.0,0.0,4.0,1726141040
Haiti,Artibonite,November,2023,2,1,0,1,8.0,0.0,0.0,8.0,1726141040
Haiti,Artibonite,December,2023,4,1,0,3,6.0,1.0,0.0,5.0,1726141040
Haiti,Artibonite,January,2024,5,1,0,4,5.0,0.0,0.0,5.0,1726141040
Haiti,Artibonite,February,2024,6,1,0,5,4.0,1.0,0.0,3.0,1726141040
Haiti,Artibonite,March,2024,4,1,0,3,2.0,1.0,0.0,1.0,1726141040
Haiti,Artibonite,April,2024,2,1,0,1,4.0,0.0,0.0,4.0,1726141040
Haiti,Artibonite,May,2024,4,1,0,3,4.0,1.0,0.0,3.0,1726141040
Haiti,Artibonite,June,2024,4,1,0,3,4.0,1.0,0.0,3.0,1726141040
Haiti,Artibonite,July,2024,4,1,0,3,9.0,4.0,0.0,5.0,1726141040
Haiti,Artibonite,August,2024,7,3,0,4,6.0,4.0,0.0,2.0,1726141040
Haiti,Centre,March,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141040
Haiti,Centre,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Haiti,Centre,May,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141040
Haiti,Centre,June,2023,2,0,0,1,0.0,0.0,0.0,0.0,1726141040
Haiti,Centre,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Haiti,Centre,August,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141040
Haiti,Centre,September,2023,1,1,0,0,6.0,4.0,0.0,2.0,1726141040
Haiti,Centre,October,2023,3,2,0,1,1.0,1.0,0.0,0.0,1726141040
Haiti,Centre,November,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141040
Haiti,Centre,December,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141040
Haiti,Centre,January,2024,2,1,0,1,0.0,0.0,0.0,0.0,1726141040
Haiti,Centre,February,2024,0,0,0,0,7.0,3.0,0.0,4.0,1726141040
Haiti,Centre,March,2024,5,2,0,3,0.0,0.0,0.0,0.0,1726141040
Haiti,Centre,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Haiti,Centre,May,2024,1,1,0,0,0.0,0.0,0.0,0.0,1726141040
Haiti,Centre,June,2024,0,0,0,0,2.0,0.0,0.0,2.0,1726141040
Haiti,Centre,July,2024,3,1,0,2,2.0,1.0,0.0,1.0,1726141040
Haiti,Centre,August,2024,2,1,0,1,0.0,0.0,0.0,0.0,1726141040
Haiti,Grande-Anse,March,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141040
Haiti,Grande-Anse,April,2023,0,0,0,0,3.0,3.0,0.0,0.0,1726141040
Haiti,Grande-Anse,May,2023,2,1,0,0,1.0,1.0,0.0,0.0,1726141040
Haiti,Grande-Anse,June,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141040
Haiti,Grande-Anse,July,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141040
Haiti,Grande-Anse,August,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141040
Haiti,Grande-Anse,September,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141040
Haiti,Grande-Anse,October,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141040
Haiti,Grande-Anse,November,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141040
Haiti,Grande-Anse,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141040
Haiti,Grande-Anse,January,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141040
Haiti,Grande-Anse,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Haiti,Grande-Anse,March,2024,2,2,0,0,1.0,0.0,0.0,1.0,1726141040
Haiti,Grande-Anse,April,2024,2,1,0,1,0.0,0.0,0.0,0.0,1726141040
Haiti,Grande-Anse,May,2024,1,1,0,0,0.0,0.0,0.0,0.0,1726141040
Haiti,Grande-Anse,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Haiti,Grande-Anse,July,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141040
Haiti,Grande-Anse,August,2024,1,0,0,1,7.0,6.0,0.0,1.0,1726141040
Haiti,Nippes,March,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141040
Haiti,Nippes,April,2023,0,0,0,0,2.0,1.0,0.0,1.0,1726141040
Haiti,Nippes,May,2023,1,1,0,1,1.0,1.0,0.0,0.0,1726141040
Haiti,Nippes,June,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141040
Haiti,Nippes,July,2023,1,1,0,0,1.0,1.0,0.0,0.0,1726141040
Haiti,Nippes,August,2023,2,1,0,1,2.0,1.0,0.0,1.0,1726141040
Haiti,Nippes,September,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141040
Haiti,Nippes,October,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141040
Haiti,Nippes,November,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141040
Haiti,Nippes,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141040
Haiti,Nippes,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Haiti,Nippes,February,2024,0,0,0,0,1.0,1.0,0.0,0.0,1726141040
Haiti,Nippes,March,2024,1,1,0,0,1.0,1.0,0.0,0.0,1726141040
Haiti,Nippes,April,2024,1,1,0,0,0.0,0.0,0.0,0.0,1726141040
