country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
India,Andaman and Nicobar Islands,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andaman and Nicobar Islands,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andaman and Nicobar Islands,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andaman and Nicobar Islands,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andaman and Nicobar Islands,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andaman and Nicobar Islands,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andaman and Nicobar Islands,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andaman and Nicobar Islands,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andaman and Nicobar Islands,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andaman and Nicobar Islands,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andaman and Nicobar Islands,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andaman and Nicobar Islands,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andaman and Nicobar Islands,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andaman and Nicobar Islands,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andaman and Nicobar Islands,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andaman and Nicobar Islands,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andaman and Nicobar Islands,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andaman and Nicobar Islands,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Andhra Pradesh,March,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141043
India,Andhra Pradesh,April,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141043
India,Andhra Pradesh,May,2023,2,0,0,1,0.0,0.0,0.0,0.0,1726141043
India,Andhra Pradesh,June,2023,0,0,0,0,4.0,0.0,0.0,4.0,1726141043
India,Andhra Pradesh,July,2023,3,0,0,3,1.0,0.0,0.0,1.0,1726141043
India,Andhra Pradesh,August,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141043
India,Andhra Pradesh,September,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141043
India,Andhra Pradesh,October,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141043
India,Andhra Pradesh,November,2023,2,0,0,2,2.0,0.0,0.0,2.0,1726141043
India,Andhra Pradesh,December,2023,2,0,0,2,2.0,0.0,0.0,2.0,1726141043
India,Andhra Pradesh,January,2024,2,0,0,2,2.0,0.0,0.0,2.0,1726141043
India,Andhra Pradesh,February,2024,3,0,0,3,2.0,0.0,0.0,2.0,1726141043
India,Andhra Pradesh,March,2024,2,0,0,2,3.0,0.0,0.0,3.0,1726141043
India,Andhra Pradesh,April,2024,3,0,0,3,5.0,0.0,0.0,5.0,1726141043
India,Andhra Pradesh,May,2024,4,0,0,4,4.0,0.0,0.0,4.0,1726141043
India,Andhra Pradesh,June,2024,4,0,0,4,13.0,0.0,0.0,13.0,1726141043
India,Andhra Pradesh,July,2024,12,0,0,12,5.0,0.0,0.0,5.0,1726141043
India,Andhra Pradesh,August,2024,6,0,0,6,6.0,0.0,0.0,6.0,1726141043
India,Arunachal Pradesh,March,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141043
India,Arunachal Pradesh,April,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141043
India,Arunachal Pradesh,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Arunachal Pradesh,June,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141043
India,Arunachal Pradesh,July,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141043
India,Arunachal Pradesh,August,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141043
India,Arunachal Pradesh,September,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141043
India,Arunachal Pradesh,October,2023,1,1,0,0,1.0,0.0,0.0,1.0,1726141043
India,Arunachal Pradesh,November,2023,2,1,0,1,5.0,1.0,0.0,4.0,1726141043
India,Arunachal Pradesh,December,2023,4,1,0,3,3.0,0.0,0.0,3.0,1726141043
India,Arunachal Pradesh,January,2024,3,1,0,2,1.0,0.0,1.0,0.0,1726141043
India,Arunachal Pradesh,February,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141043
India,Arunachal Pradesh,March,2024,4,3,0,1,0.0,0.0,0.0,0.0,1726141043
India,Arunachal Pradesh,April,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141043
India,Arunachal Pradesh,May,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141043
India,Arunachal Pradesh,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141043
India,Arunachal Pradesh,July,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141043
India,Arunachal Pradesh,August,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141043
India,Assam,March,2023,3,1,0,2,1.0,0.0,0.0,1.0,1726141043
India,Assam,April,2023,1,0,0,1,1.0,1.0,0.0,0.0,1726141043
India,Assam,May,2023,2,1,0,1,1.0,0.0,0.0,1.0,1726141043
India,Assam,June,2023,2,0,0,2,1.0,0.0,0.0,1.0,1726141043
India,Assam,July,2023,1,0,0,1,2.0,0.0,0.0,2.0,1726141043
India,Assam,August,2023,2,0,0,2,0.0,0.0,0.0,0.0,1726141043
India,Assam,September,2023,0,0,0,0,3.0,1.0,0.0,2.0,1726141043
India,Assam,October,2023,3,1,0,2,4.0,0.0,0.0,4.0,1726141043
India,Assam,November,2023,4,0,0,4,4.0,1.0,1.0,2.0,1726141043
India,Assam,December,2023,4,1,1,2,12.0,4.0,3.0,5.0,1726141043
India,Assam,January,2024,7,2,2,3,4.0,0.0,2.0,2.0,1726141043
India,Assam,February,2024,3,0,1,2,4.0,0.0,2.0,2.0,1726141043
India,Assam,March,2024,3,0,1,2,1.0,0.0,0.0,1.0,1726141043
India,Assam,April,2024,1,0,0,1,3.0,1.0,0.0,2.0,1726141043
India,Assam,May,2024,4,2,0,2,1.0,0.0,0.0,1.0,1726141043
India,Assam,June,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141043
India,Assam,July,2024,1,0,0,1,3.0,1.0,0.0,2.0,1726141043
India,Assam,August,2024,2,0,0,2,3.0,0.0,0.0,3.0,1726141043
India,Bihar,March,2023,3,0,0,3,4.0,1.0,0.0,3.0,1726141043
India,Bihar,April,2023,3,1,0,2,3.0,0.0,0.0,3.0,1726141043
India,Bihar,May,2023,3,0,0,3,4.0,0.0,0.0,4.0,1726141043
India,Bihar,June,2023,3,0,0,3,1.0,0.0,0.0,1.0,1726141043
India,Bihar,July,2023,2,0,0,1,2.0,0.0,0.0,2.0,1726141043
India,Bihar,August,2023,2,0,0,2,1.0,0.0,0.0,1.0,1726141043
India,Bihar,September,2023,1,0,0,1,6.0,0.0,0.0,6.0,1726141043
India,Bihar,October,2023,5,0,0,5,1.0,0.0,0.0,1.0,1726141043
India,Bihar,November,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141043
India,Bihar,December,2023,1,0,0,1,10.0,0.0,1.0,9.0,1726141043
India,Bihar,January,2024,4,0,0,4,4.0,0.0,0.0,4.0,1726141043
India,Bihar,February,2024,5,0,0,5,4.0,0.0,0.0,4.0,1726141043
India,Bihar,March,2024,4,0,0,4,2.0,0.0,0.0,2.0,1726141043
India,Bihar,April,2024,2,0,0,2,3.0,0.0,1.0,2.0,1726141043
India,Bihar,May,2024,3,0,0,3,4.0,0.0,1.0,3.0,1726141043
