country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Indonesia,Aceh,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Aceh,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Aceh,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Aceh,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Aceh,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Aceh,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Aceh,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Aceh,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Aceh,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Aceh,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Aceh,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Aceh,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Aceh,March,2024,0,0,0,0,2.0,0.0,0.0,2.0,1726141040
Indonesia,Aceh,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141040
Indonesia,Aceh,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Aceh,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Aceh,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Aceh,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bali,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bangka-Belitung,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bangka-Belitung,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bangka-Belitung,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bangka-Belitung,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bangka-Belitung,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bangka-Belitung,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bangka-Belitung,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bangka-Belitung,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bangka-Belitung,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141040
Indonesia,Bangka-Belitung,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bangka-Belitung,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bangka-Belitung,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bangka-Belitung,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bangka-Belitung,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bangka-Belitung,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bangka-Belitung,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bangka-Belitung,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bangka-Belitung,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Banten,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Banten,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Banten,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Banten,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Banten,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Banten,August,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141040
Indonesia,Banten,September,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141040
Indonesia,Banten,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Banten,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Banten,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Banten,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Banten,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Banten,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Banten,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Banten,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Banten,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Banten,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Banten,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141040
Indonesia,Bengkulu,March,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141041
Indonesia,Bengkulu,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Bengkulu,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Bengkulu,June,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141041
Indonesia,Bengkulu,July,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141041
Indonesia,Bengkulu,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Bengkulu,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Bengkulu,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Bengkulu,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Bengkulu,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Bengkulu,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Bengkulu,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Bengkulu,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Bengkulu,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Bengkulu,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Bengkulu,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Bengkulu,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Bengkulu,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Java,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Java,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Java,May,2023,0,0,0,0,3.0,0.0,0.0,3.0,1726141041
Indonesia,Central Java,June,2023,2,0,0,2,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Java,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Java,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Java,September,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141041
Indonesia,Central Java,October,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Java,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Java,December,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141041
Indonesia,Central Java,January,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141041
Indonesia,Central Java,February,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141041
Indonesia,Central Java,March,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Java,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Java,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Java,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Java,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Java,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Kalimantan,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Kalimantan,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Kalimantan,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Kalimantan,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Kalimantan,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Kalimantan,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
Indonesia,Central Kalimantan,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141041
