country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Iran,Alborz,March,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141045
Iran,Alborz,April,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141045
Iran,Alborz,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Alborz,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Alborz,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Alborz,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Alborz,September,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141045
Iran,Alborz,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Alborz,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Alborz,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Alborz,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Alborz,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Alborz,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Alborz,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Alborz,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Alborz,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Alborz,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Alborz,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Ardabil,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141045
Iran,Bushehr,March,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141045
