country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Israel,HaDarom,March,2023,3,0,2,1,3.0,0.0,3.0,0.0,1726141048
Israel,HaDarom,April,2023,2,0,1,0,7.0,0.0,5.0,2.0,1726141048
Israel,HaDarom,May,2023,6,0,5,1,34.0,0.0,34.0,0.0,1726141048
Israel,HaDarom,June,2023,25,0,24,0,1.0,1.0,0.0,0.0,1726141048
Israel,HaDarom,July,2023,3,1,2,0,0.0,0.0,0.0,0.0,1726141048
Israel,HaDarom,August,2023,2,0,2,0,0.0,0.0,0.0,0.0,1726141048
Israel,HaDarom,September,2023,0,0,0,0,5.0,0.0,5.0,0.0,1726141048
Israel,HaDarom,October,2023,3,0,2,1,253.0,81.0,149.0,23.0,1726141048
Israel,HaDarom,November,2023,122,41,71,10,27.0,1.0,26.0,0.0,1726141048
Israel,HaDarom,December,2023,32,6,25,1,19.0,0.0,19.0,0.0,1726141048
Israel,HaDarom,January,2024,24,3,21,0,12.0,0.0,12.0,0.0,1726141048
Israel,HaDarom,February,2024,13,0,12,1,9.0,0.0,9.0,0.0,1726141048
Israel,HaDarom,March,2024,13,4,8,1,11.0,2.0,9.0,0.0,1726141048
Israel,HaDarom,April,2024,18,3,14,1,23.0,0.0,23.0,0.0,1726141048
Israel,HaDarom,May,2024,23,2,21,0,33.0,0.0,33.0,0.0,1726141048
Israel,HaDarom,June,2024,27,0,26,1,22.0,0.0,22.0,0.0,1726141048
Israel,HaDarom,July,2024,21,0,21,0,17.0,3.0,14.0,0.0,1726141048
Israel,HaDarom,August,2024,17,2,15,0,18.0,0.0,18.0,0.0,1726141048
Israel,HaMerkaz,March,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141048
Israel,HaMerkaz,April,2023,1,0,0,1,1.0,1.0,0.0,0.0,1726141048
Israel,HaMerkaz,May,2023,2,1,0,1,5.0,0.0,4.0,1.0,1726141048
Israel,HaMerkaz,June,2023,3,0,3,1,1.0,0.0,0.0,1.0,1726141048
Israel,HaMerkaz,July,2023,2,0,1,1,1.0,1.0,0.0,0.0,1726141048
Israel,HaMerkaz,August,2023,2,1,1,0,2.0,0.0,0.0,2.0,1726141048
Israel,HaMerkaz,September,2023,2,0,0,2,2.0,0.0,0.0,2.0,1726141048
Israel,HaMerkaz,October,2023,2,0,1,1,61.0,1.0,58.0,2.0,1726141048
Israel,HaMerkaz,November,2023,46,2,40,4,24.0,5.0,19.0,0.0,1726141048
Israel,HaMerkaz,December,2023,23,3,19,1,5.0,0.0,5.0,0.0,1726141048
Israel,HaMerkaz,January,2024,11,1,10,0,7.0,0.0,6.0,1.0,1726141048
Israel,HaMerkaz,February,2024,6,0,6,0,1.0,0.0,0.0,1.0,1726141048
Israel,HaMerkaz,March,2024,3,1,2,0,2.0,0.0,0.0,2.0,1726141048
Israel,HaMerkaz,April,2024,3,0,2,1,3.0,1.0,0.0,2.0,1726141048
Israel,HaMerkaz,May,2024,3,1,1,1,8.0,0.0,4.0,4.0,1726141048
Israel,HaMerkaz,June,2024,4,0,3,1,4.0,0.0,2.0,2.0,1726141048
Israel,HaMerkaz,July,2024,3,0,2,1,2.0,1.0,0.0,1.0,1726141048
Israel,HaMerkaz,August,2024,3,1,0,2,7.0,2.0,2.0,3.0,1726141048
Israel,HaZafon,March,2023,0,0,0,0,3.0,0.0,2.0,1.0,1726141048
Israel,HaZafon,April,2023,2,0,1,1,3.0,0.0,2.0,1.0,1726141048
Israel,HaZafon,May,2023,3,0,2,1,2.0,0.0,0.0,2.0,1726141048
Israel,HaZafon,June,2023,2,0,0,1,0.0,0.0,0.0,0.0,1726141048
Israel,HaZafon,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141048
Israel,HaZafon,August,2023,2,0,1,1,1.0,1.0,0.0,0.0,1726141048
Israel,HaZafon,September,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141048
Israel,HaZafon,October,2023,0,0,0,0,101.0,22.0,70.0,9.0,1726141048
Israel,HaZafon,November,2023,52,7,40,5,107.0,3.0,104.0,0.0,1726141048
Israel,HaZafon,December,2023,105,3,101,1,153.0,45.0,108.0,0.0,1726141048
Israel,HaZafon,January,2024,122,19,103,0,130.0,58.0,72.0,0.0,1726141048
Israel,HaZafon,February,2024,127,57,70,0,135.0,52.0,82.0,1.0,1726141048
Israel,HaZafon,March,2024,122,43,79,0,139.0,67.0,71.0,1.0,1726141048
Israel,HaZafon,April,2024,133,63,69,1,131.0,45.0,79.0,7.0,1726141048
Israel,HaZafon,May,2024,129,50,78,1,148.0,48.0,95.0,5.0,1726141048
