country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Ivory Coast,Abidjan,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Abidjan,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Abidjan,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Abidjan,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Abidjan,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Abidjan,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Abidjan,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Abidjan,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Abidjan,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Abidjan,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Abidjan,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Abidjan,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Abidjan,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Abidjan,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Abidjan,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Abidjan,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Abidjan,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Abidjan,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560760
Ivory Coast,Bas-Sassandra,March,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560761
Ivory Coast,Bas-Sassandra,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560761
Ivory Coast,Bas-Sassandra,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560761
Ivory Coast,Bas-Sassandra,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560761
Ivory Coast,Bas-Sassandra,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560761
Ivory Coast,Bas-Sassandra,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560761
Ivory Coast,Bas-Sassandra,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560761
