country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Jamaica,Clarendon,March,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141048
Jamaica,Clarendon,April,2023,1,0,0,1,3.0,1.0,0.0,2.0,1726141048
Jamaica,Clarendon,May,2023,2,0,0,2,1.0,1.0,0.0,0.0,1726141048
Jamaica,Clarendon,June,2023,1,1,0,1,1.0,0.0,0.0,1.0,1726141048
Jamaica,Clarendon,July,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141048
Jamaica,Clarendon,August,2023,1,0,0,1,1.0,1.0,0.0,0.0,1726141048
Jamaica,Clarendon,September,2023,1,0,0,1,2.0,0.0,0.0,2.0,1726141048
Jamaica,Clarendon,October,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141048
Jamaica,Clarendon,November,2023,0,0,0,0,3.0,2.0,0.0,1.0,1726141048
Jamaica,Clarendon,December,2023,2,1,0,1,2.0,0.0,0.0,2.0,1726141048
Jamaica,Clarendon,January,2024,2,0,0,2,0.0,0.0,0.0,0.0,1726141048
Jamaica,Clarendon,February,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141048
Jamaica,Clarendon,March,2024,1,0,0,1,2.0,0.0,0.0,2.0,1726141048
Jamaica,Clarendon,April,2024,1,0,0,1,2.0,1.0,0.0,1.0,1726141048
Jamaica,Clarendon,May,2024,2,1,0,1,1.0,0.0,0.0,1.0,1726141048
Jamaica,Clarendon,June,2024,1,0,0,1,3.0,2.0,0.0,1.0,1726141048
Jamaica,Clarendon,July,2024,2,1,0,1,2.0,1.0,0.0,1.0,1726141049
Jamaica,Clarendon,August,2024,2,1,0,1,2.0,1.0,0.0,1.0,1726141049
Jamaica,Hanover,March,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141049
Jamaica,Hanover,April,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141049
Jamaica,Hanover,May,2023,1,0,0,1,3.0,0.0,0.0,3.0,1726141049
Jamaica,Hanover,June,2023,3,0,0,3,0.0,0.0,0.0,0.0,1726141049
Jamaica,Hanover,July,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141049
Jamaica,Hanover,August,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141049
Jamaica,Hanover,September,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141049
Jamaica,Hanover,October,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141049
Jamaica,Hanover,November,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141049
Jamaica,Hanover,December,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141049
Jamaica,Hanover,January,2024,1,0,0,1,2.0,1.0,0.0,1.0,1726141049
Jamaica,Hanover,February,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141049
Jamaica,Hanover,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Hanover,April,2024,0,0,0,0,2.0,0.0,0.0,2.0,1726141049
Jamaica,Hanover,May,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141049
Jamaica,Hanover,June,2024,1,0,0,1,2.0,0.0,0.0,2.0,1726141049
Jamaica,Hanover,July,2024,1,0,0,1,3.0,2.0,0.0,1.0,1726141049
Jamaica,Hanover,August,2024,2,1,0,1,1.0,0.0,0.0,1.0,1726141049
Jamaica,Kingston,March,2023,9,3,0,6,11.0,1.0,0.0,10.0,1726141049
Jamaica,Kingston,April,2023,10,1,0,8,12.0,6.0,0.0,6.0,1726141049
Jamaica,Kingston,May,2023,10,4,0,7,4.0,1.0,0.0,3.0,1726141049
Jamaica,Kingston,June,2023,6,1,0,4,10.0,5.0,0.0,5.0,1726141049
Jamaica,Kingston,July,2023,10,4,0,6,6.0,1.0,0.0,5.0,1726141049
Jamaica,Kingston,August,2023,8,2,0,6,7.0,0.0,0.0,7.0,1726141049
Jamaica,Kingston,September,2023,9,2,0,7,11.0,2.0,0.0,9.0,1726141049
Jamaica,Kingston,October,2023,9,2,0,7,10.0,2.0,0.0,8.0,1726141049
Jamaica,Kingston,November,2023,8,1,0,7,7.0,2.0,0.0,5.0,1726141049
Jamaica,Kingston,December,2023,9,2,0,7,5.0,1.0,0.0,4.0,1726141049
Jamaica,Kingston,January,2024,7,1,0,6,9.0,3.0,0.0,6.0,1726141049
Jamaica,Kingston,February,2024,8,2,0,6,10.0,4.0,0.0,6.0,1726141049
Jamaica,Kingston,March,2024,10,3,0,7,5.0,1.0,0.0,4.0,1726141049
Jamaica,Kingston,April,2024,8,2,0,6,6.0,1.0,0.0,5.0,1726141049
Jamaica,Kingston,May,2024,7,1,0,6,14.0,7.0,0.0,7.0,1726141049
Jamaica,Kingston,June,2024,12,6,0,6,4.0,2.0,0.0,2.0,1726141049
Jamaica,Kingston,July,2024,6,1,0,5,3.0,1.0,0.0,2.0,1726141049
Jamaica,Kingston,August,2024,3,1,0,2,12.0,4.0,0.0,8.0,1726141049
Jamaica,Manchester,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Manchester,April,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141049
Jamaica,Manchester,May,2023,2,0,0,2,0.0,0.0,0.0,0.0,1726141049
Jamaica,Manchester,June,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141049
Jamaica,Manchester,July,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141049
Jamaica,Manchester,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Manchester,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Manchester,October,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141049
Jamaica,Manchester,November,2023,1,0,0,1,1.0,1.0,0.0,0.0,1726141049
Jamaica,Manchester,December,2023,2,1,0,1,1.0,0.0,0.0,1.0,1726141049
Jamaica,Manchester,January,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141049
Jamaica,Manchester,February,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141049
Jamaica,Manchester,March,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141049
Jamaica,Manchester,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141049
Jamaica,Manchester,May,2024,0,0,0,0,2.0,1.0,0.0,1.0,1726141049
Jamaica,Manchester,June,2024,2,1,0,1,5.0,2.0,0.0,3.0,1726141049
Jamaica,Manchester,July,2024,2,1,0,1,1.0,0.0,0.0,1.0,1726141049
Jamaica,Manchester,August,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141049
Jamaica,Portland,March,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141049
Jamaica,Portland,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Portland,May,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141049
Jamaica,Portland,June,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141049
Jamaica,Portland,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Portland,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Portland,September,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141049
Jamaica,Portland,October,2023,2,0,0,2,1.0,0.0,0.0,1.0,1726141049
Jamaica,Portland,November,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141049
Jamaica,Portland,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Portland,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Portland,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Portland,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Portland,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Portland,May,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141049
Jamaica,Portland,June,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141049
Jamaica,Portland,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Portland,August,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141049
Jamaica,Saint Andrew,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Saint Andrew,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Saint Andrew,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Saint Andrew,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Saint Andrew,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Saint Andrew,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Saint Andrew,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
Jamaica,Saint Andrew,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141049
