country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Kenya,Baringo,March,2023,3,2,0,1,14.0,4.0,2.0,8.0,1726141051
Kenya,Baringo,April,2023,11,4,1,6,6.0,3.0,0.0,3.0,1726141051
Kenya,Baringo,May,2023,6,3,0,4,1.0,1.0,0.0,0.0,1726141051
Kenya,Baringo,June,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141051
Kenya,Baringo,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141051
Kenya,Baringo,August,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141051
Kenya,Baringo,September,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141051
Kenya,Baringo,October,2023,1,1,0,0,12.0,7.0,1.0,4.0,1726141051
Kenya,Baringo,November,2023,9,4,1,4,4.0,2.0,0.0,2.0,1726141051
Kenya,Baringo,December,2023,4,2,0,2,3.0,2.0,0.0,1.0,1726141051
Kenya,Baringo,January,2024,4,2,0,2,5.0,1.0,0.0,4.0,1726141051
Kenya,Baringo,February,2024,5,2,0,3,8.0,3.0,0.0,5.0,1726141051
Kenya,Baringo,March,2024,8,3,0,5,9.0,4.0,0.0,5.0,1726141051
Kenya,Baringo,April,2024,7,3,0,4,0.0,0.0,0.0,0.0,1726141051
Kenya,Baringo,May,2024,0,0,0,0,4.0,3.0,0.0,1.0,1726141051
Kenya,Baringo,June,2024,3,2,0,1,0.0,0.0,0.0,0.0,1726141051
Kenya,Baringo,July,2024,0,0,0,0,2.0,0.0,0.0,2.0,1726141051
Kenya,Baringo,August,2024,2,0,0,2,0.0,0.0,0.0,0.0,1726141051
Kenya,Bomet,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bomet,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bomet,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bomet,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bomet,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bomet,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bomet,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bomet,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bomet,November,2023,0,0,0,0,1.0,0.0,1.0,0.0,1726141051
Kenya,Bomet,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bomet,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bomet,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bomet,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bomet,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bomet,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bomet,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bomet,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bomet,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bungoma,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bungoma,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bungoma,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bungoma,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bungoma,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bungoma,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bungoma,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bungoma,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bungoma,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141051
Kenya,Bungoma,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141051
Kenya,Bungoma,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bungoma,February,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141051
Kenya,Bungoma,March,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141051
Kenya,Bungoma,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141051
Kenya,Bungoma,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bungoma,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bungoma,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Bungoma,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Busia,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Busia,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Busia,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Busia,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Busia,July,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141051
Kenya,Busia,August,2023,2,0,0,2,0.0,0.0,0.0,0.0,1726141051
Kenya,Busia,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Busia,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Busia,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Busia,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Busia,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Busia,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Busia,March,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141051
Kenya,Busia,April,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141051
Kenya,Busia,May,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141051
Kenya,Busia,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Busia,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Busia,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Elgeyo Marakwet,March,2023,1,0,0,1,5.0,1.0,0.0,4.0,1726141051
Kenya,Elgeyo Marakwet,April,2023,4,1,0,3,2.0,1.0,0.0,1.0,1726141051
Kenya,Elgeyo Marakwet,May,2023,3,1,0,2,0.0,0.0,0.0,0.0,1726141051
Kenya,Elgeyo Marakwet,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Elgeyo Marakwet,July,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141051
Kenya,Elgeyo Marakwet,August,2023,2,0,0,2,2.0,1.0,0.0,1.0,1726141051
Kenya,Elgeyo Marakwet,September,2023,2,1,0,1,2.0,0.0,0.0,2.0,1726141051
Kenya,Elgeyo Marakwet,October,2023,2,0,0,2,1.0,1.0,0.0,0.0,1726141051
Kenya,Elgeyo Marakwet,November,2023,1,1,0,0,1.0,0.0,0.0,1.0,1726141051
Kenya,Elgeyo Marakwet,December,2023,1,0,0,1,1.0,1.0,0.0,0.0,1726141051
Kenya,Elgeyo Marakwet,January,2024,2,1,0,1,1.0,0.0,0.0,1.0,1726141051
Kenya,Elgeyo Marakwet,February,2024,1,0,0,1,3.0,2.0,0.0,1.0,1726141051
Kenya,Elgeyo Marakwet,March,2024,3,2,0,1,1.0,0.0,0.0,1.0,1726141051
Kenya,Elgeyo Marakwet,April,2024,1,0,0,1,2.0,1.0,0.0,1.0,1726141051
Kenya,Elgeyo Marakwet,May,2024,2,1,0,1,0.0,0.0,0.0,0.0,1726141051
Kenya,Elgeyo Marakwet,June,2024,0,0,0,0,2.0,1.0,0.0,1.0,1726141051
Kenya,Elgeyo Marakwet,July,2024,2,1,0,1,1.0,0.0,0.0,1.0,1726141051
Kenya,Elgeyo Marakwet,August,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141051
Kenya,Embu,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Embu,April,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141051
Kenya,Embu,May,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141051
Kenya,Embu,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Embu,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Embu,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Embu,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Embu,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Embu,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Embu,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Embu,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Embu,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141051
Kenya,Embu,March,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141051
Kenya,Embu,April,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141051
Kenya,Embu,May,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141052
Kenya,Embu,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141052
Kenya,Embu,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141052
Kenya,Embu,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141052
Kenya,Garissa,March,2023,3,2,1,0,0.0,0.0,0.0,0.0,1726141052
Kenya,Garissa,April,2023,0,0,0,0,1.0,0.0,1.0,0.0,1726141052
Kenya,Garissa,May,2023,2,1,1,0,3.0,1.0,1.0,1.0,1726141052
Kenya,Garissa,June,2023,3,1,1,1,3.0,2.0,1.0,0.0,1726141052
Kenya,Garissa,July,2023,3,2,1,0,4.0,2.0,1.0,1.0,1726141052
Kenya,Garissa,August,2023,4,2,1,1,6.0,2.0,0.0,4.0,1726141052
Kenya,Garissa,September,2023,5,2,0,3,5.0,1.0,0.0,4.0,1726141052
Kenya,Garissa,October,2023,5,1,0,4,13.0,5.0,4.0,4.0,1726141052
Kenya,Garissa,November,2023,11,4,3,4,3.0,3.0,0.0,0.0,1726141052
Kenya,Garissa,December,2023,3,3,0,0,6.0,5.0,1.0,0.0,1726141052
Kenya,Garissa,January,2024,6,4,1,1,3.0,1.0,1.0,1.0,1726141052
Kenya,Garissa,February,2024,4,2,1,1,2.0,1.0,0.0,1.0,1726141052
Kenya,Garissa,March,2024,2,1,0,1,4.0,2.0,1.0,1.0,1726141052
Kenya,Garissa,April,2024,3,2,0,1,3.0,2.0,1.0,0.0,1726141052
