country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Lebanon,Akkar,March,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141056
Lebanon,Akkar,April,2023,2,1,0,0,2.0,1.0,0.0,1.0,1726141056
Lebanon,Akkar,May,2023,2,1,0,1,1.0,1.0,0.0,0.0,1726141056
Lebanon,Akkar,June,2023,2,1,0,0,0.0,0.0,0.0,0.0,1726141056
Lebanon,Akkar,July,2023,0,0,0,0,2.0,1.0,0.0,1.0,1726141056
Lebanon,Akkar,August,2023,2,1,0,1,2.0,0.0,2.0,0.0,1726141056
Lebanon,Akkar,September,2023,3,1,2,0,2.0,1.0,1.0,0.0,1726141056
Lebanon,Akkar,October,2023,2,1,1,0,0.0,0.0,0.0,0.0,1726141056
Lebanon,Akkar,November,2023,1,0,1,0,0.0,0.0,0.0,0.0,1726141056
Lebanon,Akkar,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Lebanon,Akkar,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Lebanon,Akkar,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Lebanon,Akkar,March,2024,0,0,0,0,1.0,1.0,0.0,0.0,1726141056
Lebanon,Akkar,April,2024,1,1,0,0,0.0,0.0,0.0,0.0,1726141056
Lebanon,Akkar,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Lebanon,Akkar,June,2024,1,1,0,0,1.0,0.0,1.0,0.0,1726141056
Lebanon,Akkar,July,2024,2,1,1,0,0.0,0.0,0.0,0.0,1726141056
Lebanon,Akkar,August,2024,3,0,3,0,1.0,0.0,1.0,0.0,1726141056
Lebanon,Al Nabatieh,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Lebanon,Al Nabatieh,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Lebanon,Al Nabatieh,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Lebanon,Al Nabatieh,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Lebanon,Al Nabatieh,July,2023,0,0,0,0,3.0,0.0,2.0,1.0,1726141056
Lebanon,Al Nabatieh,August,2023,2,0,1,1,1.0,0.0,0.0,1.0,1726141056
Lebanon,Al Nabatieh,September,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141056
Lebanon,Al Nabatieh,October,2023,0,0,0,0,272.0,12.0,255.0,5.0,1726141056
Lebanon,Al Nabatieh,November,2023,161,9,149,3,443.0,15.0,426.0,2.0,1726141056
Lebanon,Al Nabatieh,December,2023,354,13,339,2,567.0,2.0,563.0,2.0,1726141056
Lebanon,Al Nabatieh,January,2024,381,4,375,2,427.0,0.0,426.0,1.0,1726141056
Lebanon,Al Nabatieh,February,2024,435,2,432,1,538.0,6.0,532.0,0.0,1726141056
Lebanon,Al Nabatieh,March,2024,527,6,521,0,499.0,3.0,495.0,1.0,1726141056
Lebanon,Al Nabatieh,April,2024,490,4,485,1,419.0,10.0,408.0,1.0,1726141056
Lebanon,Al Nabatieh,May,2024,437,8,428,1,409.0,15.0,393.0,1.0,1726141056
Lebanon,Al Nabatieh,June,2024,406,8,397,1,472.0,24.0,447.0,1.0,1726141056
Lebanon,Al Nabatieh,July,2024,467,14,452,1,521.0,17.0,503.0,1.0,1726141056
Lebanon,Al Nabatieh,August,2024,511,17,493,1,529.0,1.0,528.0,0.0,1726141056
Lebanon,Baalbek-Hermel,March,2023,3,2,0,1,2.0,2.0,0.0,0.0,1726141056
Lebanon,Baalbek-Hermel,April,2023,2,1,0,0,4.0,3.0,0.0,1.0,1726141056
Lebanon,Baalbek-Hermel,May,2023,3,3,0,1,2.0,2.0,0.0,0.0,1726141056
Lebanon,Baalbek-Hermel,June,2023,3,2,0,0,2.0,2.0,0.0,0.0,1726141056
Lebanon,Baalbek-Hermel,July,2023,2,1,0,0,2.0,2.0,0.0,0.0,1726141056
