country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Libya,East,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Libya,East,April,2023,1,0,0,0,0.0,0.0,0.0,0.0,1726141056
Libya,East,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Libya,East,June,2023,1,0,0,0,1.0,0.0,1.0,0.0,1726141056
Libya,East,July,2023,1,0,0,1,2.0,0.0,0.0,2.0,1726141056
Libya,East,August,2023,1,0,0,1,5.0,1.0,0.0,4.0,1726141056
Libya,East,September,2023,3,1,0,2,0.0,0.0,0.0,0.0,1726141056
Libya,East,October,2023,1,0,0,1,1.0,1.0,0.0,0.0,1726141056
Libya,East,November,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141056
Libya,East,December,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141056
Libya,East,January,2024,1,0,0,1,2.0,0.0,0.0,2.0,1726141056
Libya,East,February,2024,2,0,0,2,2.0,1.0,0.0,1.0,1726141056
Libya,East,March,2024,2,1,0,1,0.0,0.0,0.0,0.0,1726141056
Libya,East,April,2024,0,0,0,0,2.0,0.0,0.0,2.0,1726141056
Libya,East,May,2024,2,0,0,2,2.0,0.0,0.0,2.0,1726141056
Libya,East,June,2024,2,0,0,2,1.0,1.0,0.0,0.0,1726141056
Libya,East,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Libya,East,August,2024,0,0,0,0,3.0,2.0,0.0,1.0,1726141056
Libya,South,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Libya,South,April,2023,1,0,0,0,0.0,0.0,0.0,0.0,1726141056
Libya,South,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Libya,South,June,2023,1,0,0,0,0.0,0.0,0.0,0.0,1726141056
Libya,South,July,2023,1,0,0,0,0.0,0.0,0.0,0.0,1726141056
Libya,South,August,2023,0,0,0,0,1.0,0.0,1.0,0.0,1726141056
Libya,South,September,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141056
Libya,South,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Libya,South,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Libya,South,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Libya,South,January,2024,0,0,0,0,1.0,1.0,0.0,0.0,1726141056
Libya,South,February,2024,1,1,0,0,0.0,0.0,0.0,0.0,1726141056
Libya,South,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Libya,South,April,2024,0,0,0,0,2.0,0.0,0.0,2.0,1726141056
Libya,South,May,2024,2,0,0,2,2.0,1.0,0.0,1.0,1726141056
Libya,South,June,2024,3,1,0,2,0.0,0.0,0.0,0.0,1726141056
Libya,South,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Libya,South,August,2024,0,0,0,0,2.0,1.0,0.0,1.0,1726141056
Libya,West,March,2023,4,3,0,1,3.0,2.0,0.0,1.0,1726141056
Libya,West,April,2023,4,2,0,2,3.0,2.0,0.0,1.0,1726141056
Libya,West,May,2023,3,1,0,1,5.0,3.0,0.0,2.0,1726141056
Libya,West,June,2023,5,3,0,2,1.0,0.0,0.0,1.0,1726141056
Libya,West,July,2023,2,0,0,1,4.0,2.0,0.0,2.0,1726141056
Libya,West,August,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141056
Libya,West,September,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141056
Libya,West,October,2023,1,0,0,1,3.0,2.0,1.0,0.0,1726141056
Libya,West,November,2023,3,1,1,1,4.0,1.0,1.0,2.0,1726141056
Libya,West,December,2023,4,1,1,2,3.0,1.0,0.0,2.0,1726141056
Libya,West,January,2024,4,2,0,2,3.0,0.0,1.0,2.0,1726141056
Libya,West,February,2024,4,1,1,2,4.0,2.0,0.0,2.0,1726141056
Libya,West,March,2024,3,1,0,2,6.0,4.0,1.0,1.0,1726141056
Libya,West,April,2024,6,4,1,1,14.0,5.0,1.0,8.0,1726141056
Libya,West,May,2024,10,5,1,4,14.0,9.0,1.0,4.0,1726141056
Libya,West,June,2024,12,8,1,3,17.0,9.0,2.0,6.0,1726141056
Libya,West,July,2024,14,8,2,4,27.0,16.0,0.0,11.0,1726141056
Libya,West,August,2024,24,14,1,9,16.0,9.0,2.0,5.0,1726141056
Libya,East,September,2024,2,1,0,1,2.0,1.0,0.0,1.0,1730730994
Libya,South,September,2024,2,1,0,1,0.0,0.0,0.0,0.0,1730730994
Libya,West,September,2024,19,11,2,6,15.0,11.0,0.0,4.0,1730730994
Libya,East,October,2024,2,1,0,1,0.0,0.0,0.0,0.0,1734010292
Libya,East,November,2024,0,0,0,0,2.0,0.0,0.0,2.0,1734010292
Libya,South,October,2024,0,0,0,0,0.0,0.0,0.0,0.0,1734010292
Libya,South,November,2024,0,0,0,0,1.0,1.0,0.0,0.0,1734010292
Libya,West,October,2024,16,10,1,5,7.0,4.0,0.0,3.0,1734010292
Libya,West,November,2024,9,5,1,3,23.0,9.0,2.0,12.0,1734010292
Libya,East,December,2024,2,0,0,2,2.0,0.0,0.0,2.0,1737033354
Libya,South,December,2024,1,1,0,0,0.0,0.0,0.0,0.0,1737033354
Libya,West,December,2024,20,9,1,10,4.0,1.0,1.0,2.0,1737033354
Libya,East,January,2025,2,0,0,2,2.0,0.0,0.0,2.0,1738854858
Libya,South,January,2025,0,0,0,0,0.0,0.0,0.0,0.0,1738854858
Libya,West,January,2025,4,1,1,2,19.0,11.0,0.0,8.0,1738854858
Libya,East,February,2025,2,0,0,2,1.0,0.0,0.0,1.0,1741266628
Libya,South,February,2025,0,0,0,0,1.0,1.0,0.0,0.0,1741266628
Libya,West,February,2025,16,9,0,7,12.0,6.0,0.0,6.0,1741266628
Libya,East,March,2025,1,0,0,1,1.0,0.0,0.0,1.0,1744287545
Libya,South,March,2025,1,1,0,0,0.0,0.0,0.0,0.0,1744287545
Libya,West,March,2025,13,6,1,6,27.0,10.0,0.0,17.0,1744287545
Libya,East,April,2025,1,0,0,1,1.0,0.0,0.0,1.0,1746702915
Libya,South,April,2025,0,0,0,0,0.0,0.0,0.0,0.0,1746702915
Libya,West,April,2025,22,10,0,12,26.0,10.0,1.0,15.0,1746702915
Libya,East,May,2025,1,0,0,1,2.0,2.0,0.0,0.0,1749732018
Libya,South,May,2025,0,0,0,0,0.0,0.0,0.0,0.0,1749732018
Libya,West,May,2025,26,10,1,15,47.0,38.0,2.0,7.0,1749732018
Libya,East,June,2025,0,0,0,0,4.0,0.0,1.0,3.0,1754429217
Libya,East,July,2025,4,0,1,3,2.0,2.0,0.0,0.0,1754429217
Libya,East,August,2025,3,2,0,1,4.0,1.0,0.0,3.0,1757596698
Libya,East,September,2025,4,1,0,3,1.0,0.0,0.0,1.0,1760036046
Libya,East,October,2025,1,0,0,1,1.0,0.0,0.0,1.0,1762435626
Libya,East,November,2025,1,0,0,1,0.0,0.0,0.0,0.0,1765375966
Libya,East,December,2025,0,0,0,0,,,,,1765375966
Libya,South,June,2025,0,0,0,0,0.0,0.0,0.0,0.0,1754429217
Libya,South,July,2025,0,0,0,0,0.0,0.0,0.0,0.0,1754429217
Libya,South,August,2025,0,0,0,0,1.0,0.0,0.0,1.0,1757596698
Libya,South,September,2025,1,0,0,1,0.0,0.0,0.0,0.0,1760036046
Libya,South,October,2025,0,0,0,0,0.0,0.0,0.0,0.0,1762435626
Libya,South,November,2025,0,0,0,0,1.0,0.0,0.0,1.0,1765375966
Libya,South,December,2025,1,0,0,1,,,,,1765375966
Libya,West,June,2025,46,38,1,7,13.0,9.0,1.0,3.0,1754429217
Libya,West,July,2025,13,9,1,3,26.0,15.0,0.0,11.0,1754429217
Libya,West,August,2025,25,15,0,10,32.0,11.0,13.0,8.0,1757596698
Libya,West,September,2025,31,11,13,7,32.0,15.0,3.0,14.0,1760036046
Libya,West,October,2025,33,15,4,14,23.0,11.0,2.0,10.0,1762435626
Libya,West,November,2025,25,12,3,10,24.0,7.0,11.0,6.0,1765375966
Libya,West,December,2025,23,6,11,6,,,,,1765375966
Libya,East,January,2026,0,0,0,0,,,,,1765375966
Libya,South,January,2026,1,0,0,1,,,,,1765375966
Libya,West,January,2026,24,7,11,6,,,,,1765375966
Libya,East,February,2026,0,0,0,0,,,,,1765375966
Libya,South,February,2026,1,0,0,1,,,,,1765375966
Libya,West,February,2026,24,7,11,6,,,,,1765375966
Libya,East,March,2026,0,0,0,0,,,,,1765375966
Libya,South,March,2026,1,0,0,1,,,,,1765375966
Libya,West,March,2026,25,7,11,7,,,,,1765375966
Libya,East,April,2026,0,0,0,0,,,,,1765375966
Libya,South,April,2026,1,0,0,1,,,,,1765375966
Libya,West,April,2026,24,7,11,6,,,,,1765375966
Libya,East,May,2026,0,0,0,0,,,,,1765375966
Libya,South,May,2026,1,0,0,1,,,,,1765375966
Libya,West,May,2026,24,7,11,6,,,,,1765375966
