country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Madagascar,Alaotra Mangoro,March,2023,1,0,0,1,5.0,4.0,0.0,1.0,1726141056
Madagascar,Alaotra Mangoro,April,2023,5,4,0,1,0.0,0.0,0.0,0.0,1726141056
Madagascar,Alaotra Mangoro,May,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141056
Madagascar,Alaotra Mangoro,June,2023,1,0,0,1,3.0,1.0,0.0,2.0,1726141056
Madagascar,Alaotra Mangoro,July,2023,3,1,0,2,2.0,1.0,0.0,1.0,1726141056
Madagascar,Alaotra Mangoro,August,2023,2,1,0,1,1.0,1.0,0.0,0.0,1726141056
Madagascar,Alaotra Mangoro,September,2023,1,1,0,0,2.0,0.0,0.0,2.0,1726141056
Madagascar,Alaotra Mangoro,October,2023,3,1,0,2,0.0,0.0,0.0,0.0,1726141056
Madagascar,Alaotra Mangoro,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Alaotra Mangoro,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Alaotra Mangoro,January,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141056
Madagascar,Alaotra Mangoro,February,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141056
Madagascar,Alaotra Mangoro,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Alaotra Mangoro,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Alaotra Mangoro,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Alaotra Mangoro,June,2024,0,0,0,0,5.0,1.0,0.0,4.0,1726141056
Madagascar,Alaotra Mangoro,July,2024,3,1,0,2,3.0,3.0,0.0,0.0,1726141056
Madagascar,Alaotra Mangoro,August,2024,3,2,0,1,0.0,0.0,0.0,0.0,1726141056
Madagascar,Amoron I Mania,March,2023,2,1,0,1,1.0,1.0,0.0,0.0,1726141056
Madagascar,Amoron I Mania,April,2023,2,1,0,1,5.0,2.0,0.0,3.0,1726141056
Madagascar,Amoron I Mania,May,2023,3,2,0,2,0.0,0.0,0.0,0.0,1726141056
Madagascar,Amoron I Mania,June,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141056
Madagascar,Amoron I Mania,July,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141056
Madagascar,Amoron I Mania,August,2023,0,0,0,0,2.0,1.0,0.0,1.0,1726141056
Madagascar,Amoron I Mania,September,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141056
Madagascar,Amoron I Mania,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Amoron I Mania,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Amoron I Mania,December,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141056
Madagascar,Amoron I Mania,January,2024,2,1,0,1,2.0,1.0,0.0,1.0,1726141056
Madagascar,Amoron I Mania,February,2024,2,1,0,1,0.0,0.0,0.0,0.0,1726141056
Madagascar,Amoron I Mania,March,2024,0,0,0,0,3.0,2.0,0.0,1.0,1726141056
Madagascar,Amoron I Mania,April,2024,3,2,0,1,0.0,0.0,0.0,0.0,1726141056
Madagascar,Amoron I Mania,May,2024,0,0,0,0,1.0,1.0,0.0,0.0,1726141056
Madagascar,Amoron I Mania,June,2024,1,1,0,0,1.0,0.0,0.0,1.0,1726141056
Madagascar,Amoron I Mania,July,2024,2,1,0,1,0.0,0.0,0.0,0.0,1726141056
Madagascar,Amoron I Mania,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Analamanga,March,2023,3,3,0,0,4.0,2.0,0.0,2.0,1726141056
Madagascar,Analamanga,April,2023,4,2,0,2,3.0,2.0,0.0,1.0,1726141056
Madagascar,Analamanga,May,2023,4,2,0,1,3.0,2.0,0.0,1.0,1726141056
Madagascar,Analamanga,June,2023,3,2,0,1,5.0,5.0,0.0,0.0,1726141056
Madagascar,Analamanga,July,2023,5,4,0,0,1.0,1.0,0.0,0.0,1726141056
Madagascar,Analamanga,August,2023,1,1,0,0,6.0,4.0,0.0,2.0,1726141056
Madagascar,Analamanga,September,2023,6,4,0,2,16.0,10.0,0.0,6.0,1726141056
Madagascar,Analamanga,October,2023,13,8,0,5,1.0,0.0,0.0,1.0,1726141056
Madagascar,Analamanga,November,2023,3,2,0,1,13.0,5.0,2.0,6.0,1726141056
Madagascar,Analamanga,December,2023,13,5,2,6,13.0,9.0,0.0,4.0,1726141056
Madagascar,Analamanga,January,2024,12,8,0,4,8.0,4.0,1.0,3.0,1726141056
Madagascar,Analamanga,February,2024,9,5,1,3,2.0,1.0,0.0,1.0,1726141056
Madagascar,Analamanga,March,2024,3,2,0,1,2.0,0.0,0.0,2.0,1726141056
Madagascar,Analamanga,April,2024,2,0,0,2,9.0,4.0,0.0,5.0,1726141056
Madagascar,Analamanga,May,2024,9,4,0,5,9.0,3.0,0.0,6.0,1726141056
Madagascar,Analamanga,June,2024,9,3,0,6,2.0,1.0,0.0,1.0,1726141056
Madagascar,Analamanga,July,2024,3,2,0,1,5.0,1.0,0.0,4.0,1726141056
Madagascar,Analamanga,August,2024,4,1,0,3,6.0,2.0,0.0,4.0,1726141056
Madagascar,Analanjirofo,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Analanjirofo,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Analanjirofo,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Analanjirofo,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Analanjirofo,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Analanjirofo,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Analanjirofo,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Analanjirofo,October,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141056
Madagascar,Analanjirofo,November,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141056
Madagascar,Analanjirofo,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Analanjirofo,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Analanjirofo,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Analanjirofo,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Analanjirofo,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Analanjirofo,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Analanjirofo,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Analanjirofo,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Analanjirofo,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Androy,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Androy,April,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141056
Madagascar,Androy,May,2023,1,0,0,1,4.0,3.0,0.0,1.0,1726141056
Madagascar,Androy,June,2023,3,3,0,1,0.0,0.0,0.0,0.0,1726141056
Madagascar,Androy,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Androy,August,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141056
Madagascar,Androy,September,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Androy,October,2023,0,0,0,0,4.0,1.0,0.0,3.0,1726141056
Madagascar,Androy,November,2023,3,1,0,2,0.0,0.0,0.0,0.0,1726141056
Madagascar,Androy,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Androy,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Androy,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Androy,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141056
Madagascar,Androy,April,2024,0,0,0,0,1.0,1.0,0.0,0.0,1726141056
Madagascar,Androy,May,2024,1,1,0,0,0.0,0.0,0.0,0.0,1726141057
Madagascar,Androy,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141057
Madagascar,Androy,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141057
Madagascar,Androy,August,2024,0,0,0,0,3.0,1.0,0.0,2.0,1726141057
Madagascar,Anosy,March,2023,2,1,0,1,1.0,1.0,0.0,0.0,1726141057
Madagascar,Anosy,April,2023,2,1,0,0,1.0,0.0,0.0,1.0,1726141057
Madagascar,Anosy,May,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141057
Madagascar,Anosy,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141057
Madagascar,Anosy,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141057
Madagascar,Anosy,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141057
Madagascar,Anosy,September,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141057
Madagascar,Anosy,October,2023,2,0,0,2,0.0,0.0,0.0,0.0,1726141057
Madagascar,Anosy,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141057
Madagascar,Anosy,December,2023,1,0,0,1,2.0,2.0,0.0,0.0,1726141057
Madagascar,Anosy,January,2024,2,1,0,1,0.0,0.0,0.0,0.0,1726141057
Madagascar,Anosy,February,2024,0,0,0,0,1.0,1.0,0.0,0.0,1726141057
Madagascar,Anosy,March,2024,1,1,0,0,0.0,0.0,0.0,0.0,1726141057
Madagascar,Anosy,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141057
Madagascar,Anosy,May,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141057
