country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Mali,Bamako,March,2023,2,0,1,1,2.0,0.0,0.0,2.0,1726141060
Mali,Bamako,April,2023,2,0,0,2,1.0,0.0,0.0,1.0,1726141060
Mali,Bamako,May,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141060
Mali,Bamako,June,2023,1,0,0,0,0.0,0.0,0.0,0.0,1726141060
Mali,Bamako,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141060
Mali,Bamako,August,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141060
Mali,Bamako,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141060
Mali,Bamako,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141060
Mali,Bamako,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141060
Mali,Bamako,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141060
Mali,Bamako,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141060
Mali,Bamako,February,2024,2,0,1,1,0.0,0.0,0.0,0.0,1726141060
Mali,Bamako,March,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141060
Mali,Bamako,April,2024,2,0,1,1,0.0,0.0,0.0,0.0,1726141060
Mali,Bamako,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141060
Mali,Bamako,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141060
Mali,Bamako,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141060
Mali,Bamako,August,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141060
Mali,Gao,March,2023,19,5,1,13,23.0,5.0,6.0,12.0,1726141060
Mali,Gao,April,2023,23,5,6,12,27.0,5.0,1.0,21.0,1726141060
Mali,Gao,May,2023,27,5,1,21,18.0,3.0,0.0,15.0,1726141060
Mali,Gao,June,2023,20,4,1,15,17.0,4.0,0.0,13.0,1726141060
Mali,Gao,July,2023,18,5,1,13,18.0,6.0,1.0,11.0,1726141060
Mali,Gao,August,2023,18,6,1,11,13.0,3.0,0.0,10.0,1726141060
Mali,Gao,September,2023,15,4,0,11,26.0,10.0,4.0,12.0,1726141060
Mali,Gao,October,2023,24,9,4,11,24.0,9.0,6.0,9.0,1726141060
Mali,Gao,November,2023,23,8,5,10,14.0,3.0,2.0,9.0,1726141060
Mali,Gao,December,2023,15,4,2,9,20.0,3.0,8.0,9.0,1726141060
