country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Mexico,Aguascalientes,March,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141058
Mexico,Aguascalientes,April,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141058
Mexico,Aguascalientes,May,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141058
Mexico,Aguascalientes,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141058
Mexico,Aguascalientes,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141058
Mexico,Aguascalientes,August,2023,1,0,0,1,3.0,1.0,0.0,2.0,1726141058
Mexico,Aguascalientes,September,2023,2,0,0,2,0.0,0.0,0.0,0.0,1726141058
Mexico,Aguascalientes,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141058
Mexico,Aguascalientes,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141058
Mexico,Aguascalientes,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141058
Mexico,Aguascalientes,January,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141058
Mexico,Aguascalientes,February,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141058
Mexico,Aguascalientes,March,2024,1,0,0,1,2.0,1.0,0.0,1.0,1726141058
Mexico,Aguascalientes,April,2024,2,1,0,1,0.0,0.0,0.0,0.0,1726141058
Mexico,Aguascalientes,May,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141058
Mexico,Aguascalientes,June,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141058
Mexico,Aguascalientes,July,2024,1,0,0,1,4.0,0.0,0.0,4.0,1726141058
Mexico,Aguascalientes,August,2024,3,0,0,3,0.0,0.0,0.0,0.0,1726141058
Mexico,Baja California,March,2023,28,6,0,22,18.0,1.0,0.0,17.0,1726141058
Mexico,Baja California,April,2023,24,4,0,19,22.0,1.0,0.0,21.0,1726141058
Mexico,Baja California,May,2023,23,2,0,21,25.0,7.0,0.0,18.0,1726141058
Mexico,Baja California,June,2023,21,3,0,18,17.0,2.0,0.0,15.0,1726141058
Mexico,Baja California,July,2023,18,3,0,15,39.0,7.0,0.0,32.0,1726141058
Mexico,Baja California,August,2023,33,6,0,27,23.0,0.0,0.0,23.0,1726141058
Mexico,Baja California,September,2023,25,2,0,23,27.0,6.0,0.0,21.0,1726141058
Mexico,Baja California,October,2023,26,4,0,22,24.0,5.0,0.0,19.0,1726141058
Mexico,Baja California,November,2023,24,5,0,19,25.0,4.0,0.0,21.0,1726141058
Mexico,Baja California,December,2023,25,4,0,21,22.0,6.0,0.0,16.0,1726141058
Mexico,Baja California,January,2024,20,5,0,15,19.0,5.0,0.0,14.0,1726141058
Mexico,Baja California,February,2024,18,5,0,13,37.0,5.0,0.0,32.0,1726141058
Mexico,Baja California,March,2024,33,5,0,28,27.0,3.0,0.0,24.0,1726141058
Mexico,Baja California,April,2024,27,3,0,24,40.0,3.0,0.0,37.0,1726141058
Mexico,Baja California,May,2024,35,3,0,32,37.0,3.0,0.0,34.0,1726141058
Mexico,Baja California,June,2024,37,3,0,34,30.0,7.0,0.0,23.0,1726141058
Mexico,Baja California,July,2024,30,6,0,24,36.0,5.0,0.0,31.0,1726141058
Mexico,Baja California,August,2024,35,5,0,30,40.0,6.0,0.0,34.0,1726141058
Mexico,Baja California Sur,March,2023,2,1,0,1,2.0,0.0,0.0,2.0,1726141058
Mexico,Baja California Sur,April,2023,2,0,0,2,4.0,0.0,0.0,4.0,1726141058
Mexico,Baja California Sur,May,2023,4,0,0,3,1.0,0.0,0.0,1.0,1726141058
Mexico,Baja California Sur,June,2023,2,0,0,1,1.0,0.0,0.0,1.0,1726141058
Mexico,Baja California Sur,July,2023,2,0,0,1,1.0,0.0,0.0,1.0,1726141058
Mexico,Baja California Sur,August,2023,1,0,0,1,2.0,0.0,0.0,2.0,1726141058
Mexico,Baja California Sur,September,2023,2,0,0,2,1.0,0.0,0.0,1.0,1726141058
Mexico,Baja California Sur,October,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141058
Mexico,Baja California Sur,November,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141058
Mexico,Baja California Sur,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141058
Mexico,Baja California Sur,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141058
Mexico,Baja California Sur,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141058
Mexico,Baja California Sur,March,2024,0,0,0,0,2.0,0.0,0.0,2.0,1726141058
Mexico,Baja California Sur,April,2024,2,0,0,2,2.0,0.0,0.0,2.0,1726141058
Mexico,Baja California Sur,May,2024,2,0,0,2,3.0,2.0,0.0,1.0,1726141058
Mexico,Baja California Sur,June,2024,3,1,0,2,1.0,0.0,0.0,1.0,1726141058
Mexico,Baja California Sur,July,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141058
Mexico,Baja California Sur,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141058
Mexico,Campeche,March,2023,7,1,0,6,7.0,0.0,0.0,7.0,1726141058
Mexico,Campeche,April,2023,7,1,0,6,3.0,0.0,0.0,3.0,1726141058
Mexico,Campeche,May,2023,4,1,0,4,7.0,0.0,0.0,7.0,1726141058
Mexico,Campeche,June,2023,8,1,0,7,4.0,0.0,0.0,4.0,1726141058
Mexico,Campeche,July,2023,5,1,0,4,5.0,3.0,0.0,2.0,1726141058
Mexico,Campeche,August,2023,5,2,0,3,5.0,0.0,0.0,5.0,1726141058
Mexico,Campeche,September,2023,6,1,0,5,6.0,1.0,0.0,5.0,1726141058
Mexico,Campeche,October,2023,6,1,0,5,5.0,0.0,0.0,5.0,1726141058
Mexico,Campeche,November,2023,5,0,0,5,7.0,0.0,0.0,7.0,1726141058
Mexico,Campeche,December,2023,6,0,0,6,6.0,0.0,0.0,6.0,1726141058
Mexico,Campeche,January,2024,6,1,0,5,3.0,0.0,0.0,3.0,1726141058
Mexico,Campeche,February,2024,3,0,0,3,2.0,0.0,0.0,2.0,1726141058
Mexico,Campeche,March,2024,3,0,0,3,1.0,0.0,0.0,1.0,1726141058
Mexico,Campeche,April,2024,2,0,0,2,7.0,0.0,0.0,7.0,1726141058
Mexico,Campeche,May,2024,6,0,0,6,2.0,0.0,0.0,2.0,1726141058
Mexico,Campeche,June,2024,3,0,0,3,5.0,3.0,0.0,2.0,1726141058
Mexico,Campeche,July,2024,4,2,0,2,4.0,2.0,0.0,2.0,1726141058
Mexico,Campeche,August,2024,4,2,0,2,4.0,1.0,0.0,3.0,1726141058
Mexico,Chiapas,March,2023,8,1,0,7,5.0,2.0,0.0,3.0,1726141058
Mexico,Chiapas,April,2023,7,3,0,4,2.0,2.0,0.0,0.0,1726141058
Mexico,Chiapas,May,2023,3,2,0,1,12.0,8.0,0.0,4.0,1726141058
Mexico,Chiapas,June,2023,7,3,0,4,14.0,7.0,0.0,7.0,1726141058
Mexico,Chiapas,July,2023,11,5,0,7,12.0,6.0,0.0,6.0,1726141058
Mexico,Chiapas,August,2023,12,6,0,6,16.0,11.0,0.0,5.0,1726141058
Mexico,Chiapas,September,2023,12,7,0,5,15.0,4.0,1.0,10.0,1726141058
Mexico,Chiapas,October,2023,16,5,1,10,12.0,4.0,0.0,8.0,1726141058
Mexico,Chiapas,November,2023,11,4,0,7,15.0,7.0,0.0,8.0,1726141058
Mexico,Chiapas,December,2023,15,6,0,9,14.0,3.0,1.0,10.0,1726141058
Mexico,Chiapas,January,2024,15,4,1,10,20.0,11.0,0.0,9.0,1726141058
Mexico,Chiapas,February,2024,16,8,0,8,17.0,9.0,0.0,8.0,1726141058
Mexico,Chiapas,March,2024,17,8,0,9,22.0,8.0,0.0,14.0,1726141058
Mexico,Chiapas,April,2024,20,7,0,13,28.0,4.0,0.0,24.0,1726141058
Mexico,Chiapas,May,2024,27,4,0,23,31.0,13.0,0.0,18.0,1726141058
Mexico,Chiapas,June,2024,30,12,0,18,27.0,7.0,0.0,20.0,1726141058
Mexico,Chiapas,July,2024,28,7,0,21,30.0,16.0,0.0,14.0,1726141058
Mexico,Chiapas,August,2024,29,14,0,15,27.0,14.0,2.0,11.0,1726141058
Mexico,Chihuahua,March,2023,20,4,0,16,14.0,1.0,0.0,13.0,1726141058
Mexico,Chihuahua,April,2023,16,2,0,14,12.0,1.0,0.0,11.0,1726141058
Mexico,Chihuahua,May,2023,14,2,0,12,17.0,2.0,0.0,15.0,1726141058
Mexico,Chihuahua,June,2023,17,2,0,15,13.0,5.0,0.0,8.0,1726141058
Mexico,Chihuahua,July,2023,11,2,0,9,16.0,7.0,0.0,9.0,1726141058
Mexico,Chihuahua,August,2023,16,6,0,10,19.0,6.0,0.0,13.0,1726141058
Mexico,Chihuahua,September,2023,17,5,0,12,11.0,2.0,0.0,9.0,1726141058
Mexico,Chihuahua,October,2023,14,4,0,10,10.0,1.0,0.0,9.0,1726141058
Mexico,Chihuahua,November,2023,10,1,0,9,14.0,5.0,0.0,9.0,1726141058
Mexico,Chihuahua,December,2023,13,4,0,9,11.0,2.0,0.0,9.0,1726141058
Mexico,Chihuahua,January,2024,13,3,0,10,15.0,3.0,0.0,12.0,1726141058
Mexico,Chihuahua,February,2024,12,3,0,9,13.0,2.0,0.0,11.0,1726141058
Mexico,Chihuahua,March,2024,13,2,0,11,9.0,1.0,0.0,8.0,1726141058
Mexico,Chihuahua,April,2024,11,2,0,9,10.0,1.0,0.0,9.0,1726141058
Mexico,Chihuahua,May,2024,11,1,0,10,14.0,2.0,0.0,12.0,1726141058
Mexico,Chihuahua,June,2024,14,2,0,12,21.0,3.0,0.0,18.0,1726141058
Mexico,Chihuahua,July,2024,19,3,0,16,13.0,3.0,0.0,10.0,1726141058
Mexico,Chihuahua,August,2024,13,3,0,10,24.0,3.0,0.0,21.0,1726141058
Mexico,Ciudad de Mexico,March,2023,9,2,0,7,5.0,0.0,0.0,5.0,1726141058
Mexico,Ciudad de Mexico,April,2023,8,2,0,6,10.0,1.0,0.0,9.0,1726141058
Mexico,Ciudad de Mexico,May,2023,10,1,0,9,11.0,2.0,0.0,9.0,1726141058
Mexico,Ciudad de Mexico,June,2023,11,2,0,9,11.0,2.0,0.0,9.0,1726141058
Mexico,Ciudad de Mexico,July,2023,10,2,0,9,10.0,1.0,0.0,9.0,1726141058
Mexico,Ciudad de Mexico,August,2023,10,1,0,9,14.0,2.0,0.0,12.0,1726141058
Mexico,Ciudad de Mexico,September,2023,12,1,0,11,6.0,3.0,0.0,3.0,1726141058
Mexico,Ciudad de Mexico,October,2023,7,2,0,5,18.0,1.0,0.0,17.0,1726141058
Mexico,Ciudad de Mexico,November,2023,15,1,0,14,8.0,1.0,0.0,7.0,1726141058
Mexico,Ciudad de Mexico,December,2023,7,1,0,6,6.0,2.0,0.0,4.0,1726141058
Mexico,Ciudad de Mexico,January,2024,5,1,0,4,11.0,3.0,0.0,8.0,1726141058
Mexico,Ciudad de Mexico,February,2024,10,3,0,7,11.0,1.0,0.0,10.0,1726141058
Mexico,Ciudad de Mexico,March,2024,12,2,0,10,9.0,1.0,0.0,8.0,1726141058
Mexico,Ciudad de Mexico,April,2024,10,2,0,8,12.0,3.0,0.0,9.0,1726141058
Mexico,Ciudad de Mexico,May,2024,12,3,0,9,26.0,3.0,0.0,23.0,1726141058
Mexico,Ciudad de Mexico,June,2024,21,3,0,18,10.0,2.0,0.0,8.0,1726141058
Mexico,Ciudad de Mexico,July,2024,11,2,0,9,18.0,2.0,0.0,16.0,1726141058
Mexico,Ciudad de Mexico,August,2024,18,2,0,16,7.0,0.0,0.0,7.0,1726141058
Mexico,Coahuila de Zaragoza,March,2023,3,1,0,2,4.0,2.0,0.0,2.0,1726141058
Mexico,Coahuila de Zaragoza,April,2023,3,1,0,2,1.0,0.0,0.0,1.0,1726141058
Mexico,Coahuila de Zaragoza,May,2023,2,1,0,1,2.0,1.0,0.0,1.0,1726141058
Mexico,Coahuila de Zaragoza,June,2023,2,1,0,1,2.0,1.0,0.0,1.0,1726141059
Mexico,Coahuila de Zaragoza,July,2023,2,1,0,1,6.0,3.0,0.0,3.0,1726141059
Mexico,Coahuila de Zaragoza,August,2023,5,2,0,3,3.0,0.0,0.0,3.0,1726141059
Mexico,Coahuila de Zaragoza,September,2023,5,2,0,3,2.0,0.0,0.0,2.0,1726141059
Mexico,Coahuila de Zaragoza,October,2023,3,1,0,2,1.0,1.0,0.0,0.0,1726141059
Mexico,Coahuila de Zaragoza,November,2023,1,1,0,0,1.0,0.0,0.0,1.0,1726141059
