country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Morocco,Fez-Meknes,February,2024,0,0,0,0,,,,,1704898567
Morocco,Fez-Meknes,March,2024,0,0,0,0,,,,,1704898567
Morocco,Fez-Meknes,April,2024,0,0,0,0,,,,,1704898567
Morocco,Fez-Meknes,May,2024,0,0,0,0,,,,,1704898567
Morocco,Fez-Meknes,June,2024,0,0,0,0,,,,,1704898567
Morocco,Tangier-Tetouan-Al Hoceima,February,2024,0,0,0,0,,,,,1704898568
Morocco,Tangier-Tetouan-Al Hoceima,March,2024,0,0,0,0,,,,,1704898568
Morocco,Tangier-Tetouan-Al Hoceima,April,2024,0,0,0,0,,,,,1704898568
Morocco,Tangier-Tetouan-Al Hoceima,May,2024,0,0,0,0,,,,,1704898568
Morocco,Tangier-Tetouan-Al Hoceima,June,2024,0,0,0,0,,,,,1704898568
Morocco,Beni Mellal-Khenifra,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141062
Morocco,Beni Mellal-Khenifra,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141062
Morocco,Beni Mellal-Khenifra,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141062
Morocco,Beni Mellal-Khenifra,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141062
Morocco,Beni Mellal-Khenifra,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141062
Morocco,Beni Mellal-Khenifra,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141062
Morocco,Beni Mellal-Khenifra,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141062
Morocco,Béni Mellal-Khénifra,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141062
Morocco,Béni Mellal-Khénifra,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141062
Morocco,Béni Mellal-Khénifra,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141062
Morocco,Béni Mellal-Khénifra,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141062
Morocco,Béni Mellal-Khénifra,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141062
Morocco,Béni Mellal-Khénifra,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141062
Morocco,Béni Mellal-Khénifra,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141062
Morocco,Béni Mellal-Khénifra,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141062
Morocco,Béni Mellal-Khénifra,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141062
Morocco,Béni Mellal-Khénifra,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141062
Morocco,Béni Mellal-Khénifra,January,2024,0,0,0,0,,,,,1726141062
Morocco,Casablanca-Settat,March,2023,0,0,0,0,2.0,1.0,0.0,1.0,1726141062
Morocco,Casablanca-Settat,April,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141062
Morocco,Casablanca-Settat,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Casablanca-Settat,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Casablanca-Settat,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Casablanca-Settat,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Casablanca-Settat,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Casablanca-Settat,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Casablanca-Settat,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Casablanca-Settat,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Casablanca-Settat,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Casablanca-Settat,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Casablanca-Settat,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Casablanca-Settat,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Casablanca-Settat,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Casablanca-Settat,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Casablanca-Settat,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Casablanca-Settat,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Draa-Tafilalet,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Draa-Tafilalet,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Draa-Tafilalet,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Draa-Tafilalet,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Draa-Tafilalet,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Draa-Tafilalet,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Draa-Tafilalet,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Drâa-Tafilalet,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Drâa-Tafilalet,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Drâa-Tafilalet,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Drâa-Tafilalet,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Morocco,Drâa-Tafilalet,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
