country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Mozambique,Cabo Delgado,March,2023,21,8,0,13,10.0,5.0,2.0,3.0,1726141063
Mozambique,Cabo Delgado,April,2023,12,7,1,4,4.0,3.0,0.0,1.0,1726141063
Mozambique,Cabo Delgado,May,2023,5,2,0,3,18.0,10.0,2.0,6.0,1726141063
Mozambique,Cabo Delgado,June,2023,15,8,1,6,7.0,0.0,0.0,7.0,1726141063
Mozambique,Cabo Delgado,July,2023,7,2,1,4,14.0,7.0,1.0,6.0,1726141063
Mozambique,Cabo Delgado,August,2023,13,6,1,6,4.0,2.0,1.0,1.0,1726141063
Mozambique,Cabo Delgado,September,2023,3,1,1,1,15.0,1.0,4.0,10.0,1726141063
Mozambique,Cabo Delgado,October,2023,9,1,2,6,10.0,1.0,4.0,5.0,1726141063
Mozambique,Cabo Delgado,November,2023,9,2,3,4,8.0,3.0,0.0,5.0,1726141063
Mozambique,Cabo Delgado,December,2023,6,3,0,3,7.0,5.0,0.0,2.0,1726141063
Mozambique,Cabo Delgado,January,2024,5,4,0,1,24.0,4.0,0.0,20.0,1726141063
Mozambique,Cabo Delgado,February,2024,11,2,0,9,23.0,6.0,0.0,17.0,1726141063
Mozambique,Cabo Delgado,March,2024,12,5,0,7,8.0,4.0,0.0,4.0,1726141063
Mozambique,Cabo Delgado,April,2024,14,3,0,11,21.0,9.0,2.0,10.0,1726141063
Mozambique,Cabo Delgado,May,2024,20,8,2,10,31.0,15.0,4.0,12.0,1726141063
Mozambique,Cabo Delgado,June,2024,25,9,4,12,18.0,5.0,2.0,11.0,1726141063
Mozambique,Cabo Delgado,July,2024,19,6,2,11,21.0,11.0,1.0,9.0,1726141063
Mozambique,Cabo Delgado,August,2024,18,8,1,9,15.0,4.0,5.0,6.0,1726141063
Mozambique,Gaza,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Gaza,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Gaza,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Gaza,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Gaza,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Gaza,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Gaza,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Gaza,October,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141063
Mozambique,Gaza,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Gaza,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Gaza,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Gaza,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Gaza,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Gaza,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Gaza,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Gaza,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Gaza,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Gaza,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Inhambane,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Manica,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Manica,April,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141063
Mozambique,Manica,May,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141063
Mozambique,Manica,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Manica,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Manica,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Manica,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Manica,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Manica,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Manica,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Manica,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Manica,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Manica,March,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141063
Mozambique,Manica,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Manica,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Manica,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Manica,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Manica,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Maputo,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
Mozambique,Maputo,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141063
