country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Myanmar,Ayeyarwady,March,2023,5,2,2,1,5.0,0.0,2.0,3.0,1726141061
Myanmar,Ayeyarwady,April,2023,6,1,3,2,10.0,1.0,6.0,3.0,1726141061
Myanmar,Ayeyarwady,May,2023,10,1,6,3,5.0,3.0,2.0,0.0,1726141061
Myanmar,Ayeyarwady,June,2023,8,3,4,1,2.0,0.0,0.0,2.0,1726141061
Myanmar,Ayeyarwady,July,2023,8,2,2,4,1.0,0.0,0.0,1.0,1726141061
Myanmar,Ayeyarwady,August,2023,7,5,1,1,1.0,1.0,0.0,0.0,1726141061
Myanmar,Ayeyarwady,September,2023,3,1,1,1,2.0,1.0,0.0,1.0,1726141061
Myanmar,Ayeyarwady,October,2023,4,1,1,2,1.0,0.0,1.0,0.0,1726141061
Myanmar,Ayeyarwady,November,2023,4,2,2,0,0.0,0.0,0.0,0.0,1726141061
Myanmar,Ayeyarwady,December,2023,8,4,3,1,2.0,0.0,0.0,2.0,1726141061
Myanmar,Ayeyarwady,January,2024,12,4,6,2,4.0,1.0,1.0,2.0,1726141061
Myanmar,Ayeyarwady,February,2024,4,1,1,2,3.0,0.0,0.0,3.0,1726141061
Myanmar,Ayeyarwady,March,2024,6,0,3,3,3.0,0.0,0.0,3.0,1726141061
Myanmar,Ayeyarwady,April,2024,7,4,0,3,4.0,0.0,0.0,4.0,1726141061
Myanmar,Ayeyarwady,May,2024,6,3,1,2,6.0,0.0,1.0,5.0,1726141061
Myanmar,Ayeyarwady,June,2024,10,5,1,4,2.0,1.0,0.0,1.0,1726141061
Myanmar,Ayeyarwady,July,2024,7,5,0,2,5.0,0.0,1.0,4.0,1726141061
Myanmar,Ayeyarwady,August,2024,7,2,2,3,3.0,0.0,0.0,3.0,1726141061
Myanmar,Bago-East,March,2023,27,10,13,4,28.0,6.0,18.0,4.0,1726141061
Myanmar,Bago-East,April,2023,28,8,15,4,11.0,6.0,5.0,0.0,1726141061
Myanmar,Bago-East,May,2023,18,6,10,2,35.0,5.0,16.0,14.0,1726141061
Myanmar,Bago-East,June,2023,27,6,12,10,34.0,9.0,21.0,4.0,1726141061
Myanmar,Bago-East,July,2023,32,8,19,5,68.0,34.0,28.0,6.0,1726141061
Myanmar,Bago-East,August,2023,51,22,23,6,57.0,14.0,38.0,5.0,1726141061
Myanmar,Bago-East,September,2023,57,19,33,5,32.0,9.0,21.0,2.0,1726141061
Myanmar,Bago-East,October,2023,37,13,21,3,48.0,6.0,41.0,1.0,1726141061
Myanmar,Bago-East,November,2023,50,17,31,2,49.0,14.0,35.0,0.0,1726141061
Myanmar,Bago-East,December,2023,49,17,30,2,58.0,22.0,32.0,4.0,1726141061
Myanmar,Bago-East,January,2024,46,16,26,4,49.0,15.0,29.0,5.0,1726141061
Myanmar,Bago-East,February,2024,52,18,29,5,40.0,12.0,24.0,4.0,1726141061
Myanmar,Bago-East,March,2024,34,12,18,4,32.0,5.0,25.0,2.0,1726141061
Myanmar,Bago-East,April,2024,41,12,27,2,26.0,3.0,13.0,10.0,1726141061
Myanmar,Bago-East,May,2024,28,10,14,4,21.0,3.0,13.0,5.0,1726141061
Myanmar,Bago-East,June,2024,26,5,15,6,26.0,8.0,15.0,3.0,1726141061
Myanmar,Bago-East,July,2024,26,9,14,3,12.0,3.0,8.0,1.0,1726141061
Myanmar,Bago-East,August,2024,24,9,13,2,34.0,10.0,22.0,2.0,1726141061
Myanmar,Bago-West,March,2023,9,3,4,2,10.0,3.0,4.0,3.0,1726141061
Myanmar,Bago-West,April,2023,10,3,4,3,10.0,7.0,3.0,0.0,1726141061
Myanmar,Bago-West,May,2023,12,7,4,1,8.0,5.0,0.0,3.0,1726141061
Myanmar,Bago-West,June,2023,10,5,2,3,13.0,11.0,0.0,2.0,1726141061
Myanmar,Bago-West,July,2023,10,6,2,2,17.0,9.0,3.0,5.0,1726141061
Myanmar,Bago-West,August,2023,22,15,3,4,7.0,3.0,1.0,3.0,1726141061
Myanmar,Bago-West,September,2023,18,13,2,3,16.0,9.0,2.0,5.0,1726141061
Myanmar,Bago-West,October,2023,12,6,2,4,20.0,14.0,2.0,4.0,1726141061
Myanmar,Bago-West,November,2023,18,12,3,3,14.0,8.0,2.0,4.0,1726141061
Myanmar,Bago-West,December,2023,17,11,3,3,19.0,7.0,4.0,8.0,1726141061
Myanmar,Bago-West,January,2024,24,11,6,7,17.0,13.0,1.0,3.0,1726141061
Myanmar,Bago-West,February,2024,13,10,1,2,12.0,8.0,4.0,0.0,1726141061
Myanmar,Bago-West,March,2024,14,9,4,1,33.0,19.0,7.0,7.0,1726141061
Myanmar,Bago-West,April,2024,26,12,7,7,25.0,4.0,3.0,18.0,1726141061
Myanmar,Bago-West,May,2024,28,17,4,7,25.0,6.0,4.0,15.0,1726141061
Myanmar,Bago-West,June,2024,25,7,4,14,6.0,3.0,1.0,2.0,1726141061
Myanmar,Bago-West,July,2024,15,9,1,5,4.0,4.0,0.0,0.0,1726141061
Myanmar,Bago-West,August,2024,7,4,2,1,23.0,5.0,2.0,16.0,1726141061
Myanmar,Chin,March,2023,23,13,9,1,16.0,7.0,8.0,1.0,1726141061
Myanmar,Chin,April,2023,17,8,7,1,14.0,8.0,6.0,0.0,1726141061
Myanmar,Chin,May,2023,16,8,7,1,19.0,8.0,11.0,0.0,1726141061
Myanmar,Chin,June,2023,18,8,9,1,17.0,11.0,4.0,2.0,1726141061
Myanmar,Chin,July,2023,21,12,7,2,42.0,34.0,5.0,3.0,1726141061
Myanmar,Chin,August,2023,29,20,6,3,17.0,8.0,8.0,1.0,1726141061
Myanmar,Chin,September,2023,27,18,8,1,10.0,7.0,3.0,0.0,1726141061
Myanmar,Chin,October,2023,19,10,7,2,6.0,4.0,1.0,1.0,1726141061
Myanmar,Chin,November,2023,10,6,3,1,40.0,29.0,11.0,0.0,1726141061
Myanmar,Chin,December,2023,21,12,8,1,41.0,28.0,11.0,2.0,1726141061
Myanmar,Chin,January,2024,40,21,17,2,46.0,34.0,9.0,3.0,1726141061
Myanmar,Chin,February,2024,39,27,9,3,15.0,6.0,9.0,0.0,1726141061
Myanmar,Chin,March,2024,17,6,11,0,24.0,9.0,12.0,3.0,1726141061
Myanmar,Chin,April,2024,24,10,11,3,26.0,5.0,18.0,3.0,1726141061
Myanmar,Chin,May,2024,33,14,16,3,39.0,22.0,13.0,4.0,1726141061
Myanmar,Chin,June,2024,28,10,14,4,24.0,14.0,8.0,2.0,1726141061
