country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Nepal,Bagmati,March,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141064
Nepal,Bagmati,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nepal,Bagmati,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nepal,Bagmati,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nepal,Bagmati,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141064
Nepal,Bagmati,August,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141064
Nepal,Bagmati,September,2023,1,0,0,1,2.0,0.0,0.0,2.0,1726141064
Nepal,Bagmati,October,2023,2,0,0,2,0.0,0.0,0.0,0.0,1726141064
Nepal,Bagmati,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141064
Nepal,Bagmati,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141064
Nepal,Bagmati,January,2024,0,0,0,0,2.0,0.0,0.0,2.0,1726141064
Nepal,Bagmati,February,2024,2,0,0,2,0.0,0.0,0.0,0.0,1726141064
Nepal,Bagmati,March,2024,0,0,0,0,1.0,0.0,1.0,0.0,1726141064
Nepal,Bagmati,April,2024,2,0,1,1,1.0,0.0,1.0,0.0,1726141064
Nepal,Bagmati,May,2024,1,0,1,0,1.0,0.0,0.0,1.0,1726141064
Nepal,Bagmati,June,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141064
Nepal,Bagmati,July,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141064
Nepal,Bagmati,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nepal,Gandaki,March,2023,1,0,1,0,0.0,0.0,0.0,0.0,1726141064
Nepal,Gandaki,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nepal,Gandaki,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nepal,Gandaki,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nepal,Gandaki,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nepal,Gandaki,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nepal,Gandaki,September,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141064
Nepal,Gandaki,October,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141064
Nepal,Gandaki,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141064
Nepal,Gandaki,December,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141064
Nepal,Gandaki,January,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141064
Nepal,Gandaki,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nepal,Gandaki,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nepal,Gandaki,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
