country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Nicaragua,Boaco,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Boaco,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Boaco,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Boaco,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Boaco,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Boaco,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Boaco,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Boaco,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Boaco,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Boaco,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Boaco,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Boaco,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Boaco,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Boaco,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Boaco,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Boaco,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Boaco,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Boaco,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Carazo,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Carazo,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Carazo,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Carazo,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Carazo,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
Nicaragua,Carazo,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141064
