country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Niger,Agadez,March,2023,0,0,0,0,3.0,1.0,0.0,2.0,1726141067
Niger,Agadez,April,2023,4,1,0,2,4.0,3.0,0.0,1.0,1726141067
Niger,Agadez,May,2023,4,2,0,2,4.0,1.0,1.0,2.0,1726141067
Niger,Agadez,June,2023,4,1,1,2,1.0,1.0,0.0,0.0,1726141067
Niger,Agadez,July,2023,3,1,0,2,2.0,2.0,0.0,0.0,1726141067
Niger,Agadez,August,2023,2,2,0,0,2.0,2.0,0.0,0.0,1726141067
Niger,Agadez,September,2023,2,2,0,0,1.0,0.0,0.0,1.0,1726141067
Niger,Agadez,October,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141067
Niger,Agadez,November,2023,0,0,0,0,3.0,0.0,0.0,3.0,1726141067
Niger,Agadez,December,2023,4,1,0,3,2.0,2.0,0.0,0.0,1726141067
Niger,Agadez,January,2024,2,2,0,0,1.0,0.0,0.0,1.0,1726141067
Niger,Agadez,February,2024,3,1,0,2,1.0,1.0,0.0,0.0,1726141067
Niger,Agadez,March,2024,1,1,0,0,0.0,0.0,0.0,0.0,1726141067
Niger,Agadez,April,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141067
Niger,Agadez,May,2024,1,0,0,1,1.0,1.0,0.0,0.0,1726141067
Niger,Agadez,June,2024,1,1,0,0,1.0,0.0,0.0,1.0,1726141067
Niger,Agadez,July,2024,1,0,0,1,1.0,1.0,0.0,0.0,1726141067
Niger,Agadez,August,2024,1,1,0,0,1.0,0.0,0.0,1.0,1726141067
Niger,Diffa,March,2023,7,1,0,6,16.0,7.0,0.0,9.0,1726141067
Niger,Diffa,April,2023,14,5,0,8,9.0,0.0,5.0,4.0,1726141067
Niger,Diffa,May,2023,9,0,3,5,8.0,0.0,0.0,8.0,1726141067
Niger,Diffa,June,2023,9,1,0,8,13.0,1.0,1.0,11.0,1726141067
Niger,Diffa,July,2023,11,1,1,9,2.0,1.0,0.0,1.0,1726141067
Niger,Diffa,August,2023,3,1,0,2,3.0,0.0,1.0,2.0,1726141067
Niger,Diffa,September,2023,4,0,1,3,1.0,1.0,0.0,0.0,1726141067
Niger,Diffa,October,2023,2,1,0,1,2.0,2.0,0.0,0.0,1726141067
Niger,Diffa,November,2023,4,2,0,2,6.0,4.0,0.0,2.0,1726141067
Niger,Diffa,December,2023,6,4,0,2,7.0,3.0,2.0,2.0,1726141067
Niger,Diffa,January,2024,7,3,2,2,10.0,4.0,4.0,2.0,1726141067
Niger,Diffa,February,2024,7,4,1,2,4.0,2.0,0.0,2.0,1726141067
Niger,Diffa,March,2024,5,2,1,2,7.0,1.0,5.0,1.0,1726141067
Niger,Diffa,April,2024,5,1,3,1,8.0,2.0,2.0,4.0,1726141067
Niger,Diffa,May,2024,8,2,2,4,15.0,4.0,3.0,8.0,1726141067
Niger,Diffa,June,2024,13,4,3,6,5.0,4.0,1.0,0.0,1726141067
Niger,Diffa,July,2024,5,4,1,0,6.0,1.0,1.0,4.0,1726141067
Niger,Diffa,August,2024,6,1,1,4,6.0,2.0,3.0,1.0,1726141067
