country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Nigeria,Abia,March,2023,5,2,0,3,1.0,0.0,0.0,1.0,1726141065
Nigeria,Abia,April,2023,2,1,0,2,0.0,0.0,0.0,0.0,1726141065
Nigeria,Abia,May,2023,2,0,0,1,4.0,2.0,0.0,2.0,1726141065
Nigeria,Abia,June,2023,3,1,0,2,2.0,1.0,0.0,1.0,1726141065
Nigeria,Abia,July,2023,3,1,0,2,3.0,1.0,0.0,2.0,1726141065
Nigeria,Abia,August,2023,3,1,0,2,0.0,0.0,0.0,0.0,1726141065
Nigeria,Abia,September,2023,0,0,0,0,4.0,2.0,0.0,2.0,1726141065
Nigeria,Abia,October,2023,3,1,0,2,1.0,1.0,0.0,0.0,1726141065
Nigeria,Abia,November,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141065
Nigeria,Abia,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141065
Nigeria,Abia,January,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141065
Nigeria,Abia,February,2024,2,1,0,1,1.0,0.0,0.0,1.0,1726141065
Nigeria,Abia,March,2024,1,0,0,1,2.0,2.0,0.0,0.0,1726141065
Nigeria,Abia,April,2024,3,1,0,2,2.0,0.0,0.0,2.0,1726141065
Nigeria,Abia,May,2024,4,2,0,2,7.0,5.0,0.0,2.0,1726141065
Nigeria,Abia,June,2024,6,4,0,2,8.0,5.0,3.0,0.0,1726141065
Nigeria,Abia,July,2024,8,4,2,2,9.0,5.0,2.0,2.0,1726141065
Nigeria,Abia,August,2024,8,5,1,2,0.0,0.0,0.0,0.0,1726141065
Nigeria,Adamawa,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141065
Nigeria,Adamawa,April,2023,0,0,0,0,3.0,1.0,0.0,2.0,1726141065
Nigeria,Adamawa,May,2023,4,1,0,2,3.0,2.0,0.0,1.0,1726141065
Nigeria,Adamawa,June,2023,2,1,0,1,2.0,0.0,0.0,2.0,1726141065
Nigeria,Adamawa,July,2023,3,1,0,2,1.0,0.0,0.0,1.0,1726141065
Nigeria,Adamawa,August,2023,1,0,0,1,3.0,0.0,0.0,3.0,1726141065
Nigeria,Adamawa,September,2023,2,0,0,2,3.0,3.0,0.0,0.0,1726141065
Nigeria,Adamawa,October,2023,2,1,0,1,3.0,2.0,0.0,1.0,1726141065
Nigeria,Adamawa,November,2023,3,1,0,2,5.0,2.0,0.0,3.0,1726141065
Nigeria,Adamawa,December,2023,4,2,0,2,4.0,1.0,0.0,3.0,1726141065
Nigeria,Adamawa,January,2024,3,1,0,2,4.0,3.0,0.0,1.0,1726141065
Nigeria,Adamawa,February,2024,2,1,0,1,4.0,2.0,0.0,2.0,1726141065
Nigeria,Adamawa,March,2024,4,2,0,2,5.0,3.0,0.0,2.0,1726141065
Nigeria,Adamawa,April,2024,4,2,0,2,0.0,0.0,0.0,0.0,1726141065
Nigeria,Adamawa,May,2024,2,1,0,1,4.0,1.0,0.0,3.0,1726141065
Nigeria,Adamawa,June,2024,3,1,0,2,1.0,0.0,0.0,1.0,1726141065
Nigeria,Adamawa,July,2024,3,1,0,2,1.0,0.0,0.0,1.0,1726141065
Nigeria,Adamawa,August,2024,2,1,0,1,1.0,1.0,0.0,0.0,1726141065
Nigeria,Akwa Ibom,March,2023,1,0,0,1,2.0,0.0,0.0,2.0,1726141065
Nigeria,Akwa Ibom,April,2023,2,0,0,2,5.0,1.0,0.0,4.0,1726141065
Nigeria,Akwa Ibom,May,2023,3,1,0,2,4.0,3.0,0.0,1.0,1726141065
Nigeria,Akwa Ibom,June,2023,3,1,0,1,2.0,0.0,0.0,2.0,1726141065
Nigeria,Akwa Ibom,July,2023,3,0,0,2,0.0,0.0,0.0,0.0,1726141065
Nigeria,Akwa Ibom,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141065
Nigeria,Akwa Ibom,September,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141065
Nigeria,Akwa Ibom,October,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141065
Nigeria,Akwa Ibom,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141065
Nigeria,Akwa Ibom,December,2023,0,0,0,0,2.0,2.0,0.0,0.0,1726141065
Nigeria,Akwa Ibom,January,2024,2,1,0,1,4.0,1.0,0.0,3.0,1726141065
Nigeria,Akwa Ibom,February,2024,4,1,0,3,2.0,2.0,0.0,0.0,1726141065
Nigeria,Akwa Ibom,March,2024,3,2,0,1,2.0,0.0,0.0,2.0,1726141065
Nigeria,Akwa Ibom,April,2024,3,1,0,2,2.0,1.0,0.0,1.0,1726141065
Nigeria,Akwa Ibom,May,2024,3,1,0,2,8.0,4.0,0.0,4.0,1726141065
Nigeria,Akwa Ibom,June,2024,5,3,0,2,4.0,2.0,0.0,2.0,1726141065
Nigeria,Akwa Ibom,July,2024,4,2,0,2,3.0,1.0,0.0,2.0,1726141065
Nigeria,Akwa Ibom,August,2024,4,2,0,2,0.0,0.0,0.0,0.0,1726141065
Nigeria,Anambra,March,2023,18,12,0,6,4.0,2.0,0.0,2.0,1726141065
Nigeria,Anambra,April,2023,8,4,0,4,1.0,0.0,0.0,1.0,1726141065
Nigeria,Anambra,May,2023,6,1,0,5,9.0,6.0,0.0,3.0,1726141065
Nigeria,Anambra,June,2023,6,2,0,4,4.0,3.0,0.0,1.0,1726141065
Nigeria,Anambra,July,2023,6,3,0,3,11.0,7.0,0.0,4.0,1726141065
Nigeria,Anambra,August,2023,10,6,0,4,6.0,1.0,1.0,4.0,1726141065
Nigeria,Anambra,September,2023,6,2,0,4,10.0,4.0,1.0,5.0,1726141065
Nigeria,Anambra,October,2023,9,4,0,5,8.0,5.0,0.0,3.0,1726141065
Nigeria,Anambra,November,2023,9,5,0,4,3.0,1.0,0.0,2.0,1726141065
Nigeria,Anambra,December,2023,4,1,0,3,8.0,4.0,0.0,4.0,1726141065
Nigeria,Anambra,January,2024,8,4,0,4,0.0,0.0,0.0,0.0,1726141065
Nigeria,Anambra,February,2024,2,2,0,0,4.0,1.0,0.0,3.0,1726141065
Nigeria,Anambra,March,2024,4,1,0,3,11.0,7.0,0.0,4.0,1726141065
Nigeria,Anambra,April,2024,7,3,0,4,12.0,5.0,0.0,7.0,1726141065
Nigeria,Anambra,May,2024,8,4,0,4,13.0,5.0,0.0,8.0,1726141065
Nigeria,Anambra,June,2024,11,5,0,6,12.0,5.0,0.0,7.0,1726141065
Nigeria,Anambra,July,2024,10,5,0,5,12.0,5.0,0.0,7.0,1726141065
Nigeria,Anambra,August,2024,12,5,0,7,10.0,6.0,0.0,4.0,1726141065
Nigeria,Bauchi,March,2023,3,1,0,2,5.0,3.0,0.0,2.0,1726141065
Nigeria,Bauchi,April,2023,5,2,0,3,0.0,0.0,0.0,0.0,1726141065
Nigeria,Bauchi,May,2023,2,0,0,2,0.0,0.0,0.0,0.0,1726141065
Nigeria,Bauchi,June,2023,0,0,0,0,8.0,0.0,0.0,8.0,1726141065
Nigeria,Bauchi,July,2023,6,0,0,5,8.0,4.0,0.0,4.0,1726141065
Nigeria,Bauchi,August,2023,8,4,0,4,5.0,0.0,0.0,5.0,1726141065
Nigeria,Bauchi,September,2023,5,0,0,5,4.0,2.0,0.0,2.0,1726141065
Nigeria,Bauchi,October,2023,5,2,0,3,11.0,6.0,0.0,5.0,1726141065
Nigeria,Bauchi,November,2023,10,5,0,5,2.0,1.0,0.0,1.0,1726141066
Nigeria,Bauchi,December,2023,4,1,0,3,2.0,2.0,0.0,0.0,1726141066
Nigeria,Bauchi,January,2024,3,2,0,1,0.0,0.0,0.0,0.0,1726141066
Nigeria,Bauchi,February,2024,0,0,0,0,3.0,0.0,1.0,2.0,1726141066
Nigeria,Bauchi,March,2024,2,0,0,2,5.0,0.0,0.0,5.0,1726141066
Nigeria,Bauchi,April,2024,4,1,0,3,3.0,2.0,0.0,1.0,1726141066
Nigeria,Bauchi,May,2024,5,2,0,3,0.0,0.0,0.0,0.0,1726141066
Nigeria,Bauchi,June,2024,0,0,0,0,3.0,1.0,0.0,2.0,1726141066
Nigeria,Bauchi,July,2024,3,1,0,2,2.0,1.0,0.0,1.0,1726141066
Nigeria,Bauchi,August,2024,3,2,0,1,1.0,0.0,0.0,1.0,1726141066
