country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
North Korea,Chagang-do,February,2024,0,0,0,0,,,,,1704898574
North Korea,Chagang-do,March,2024,0,0,0,0,,,,,1704898574
North Korea,Chagang-do,April,2024,0,0,0,0,,,,,1704898574
North Korea,Chagang-do,May,2024,0,0,0,0,,,,,1704898574
North Korea,Chagang-do,June,2024,0,0,0,0,,,,,1704898574
North Korea,Hamgyŏng-bukto,February,2024,0,0,0,0,,,,,1704898574
North Korea,Hamgyŏng-bukto,March,2024,0,0,0,0,,,,,1704898574
North Korea,Hamgyŏng-bukto,April,2024,0,0,0,0,,,,,1704898574
North Korea,Hamgyŏng-bukto,May,2024,0,0,0,0,,,,,1704898574
North Korea,Hamgyŏng-bukto,June,2024,0,0,0,0,,,,,1704898574
North Korea,Hamgyŏng-namdo,February,2024,0,0,0,0,,,,,1704898574
North Korea,Hamgyŏng-namdo,March,2024,0,0,0,0,,,,,1704898574
North Korea,Hamgyŏng-namdo,April,2024,0,0,0,0,,,,,1704898574
North Korea,Hamgyŏng-namdo,May,2024,0,0,0,0,,,,,1704898574
North Korea,Hamgyŏng-namdo,June,2024,0,0,0,0,,,,,1704898574
North Korea,Hwanghae-bukto,February,2024,0,0,0,0,,,,,1704898574
North Korea,Hwanghae-bukto,March,2024,0,0,0,0,,,,,1704898574
North Korea,Hwanghae-bukto,April,2024,0,0,0,0,,,,,1704898574
North Korea,Hwanghae-bukto,May,2024,0,0,0,0,,,,,1704898574
North Korea,Hwanghae-bukto,June,2024,0,0,0,0,,,,,1704898574
North Korea,Hwanghae-namdo,February,2024,0,0,0,0,,,,,1704898574
North Korea,Hwanghae-namdo,March,2024,0,0,0,0,,,,,1704898574
North Korea,Hwanghae-namdo,April,2024,0,0,0,0,,,,,1704898574
North Korea,Hwanghae-namdo,May,2024,0,0,0,0,,,,,1704898574
North Korea,Hwanghae-namdo,June,2024,0,0,0,0,,,,,1704898574
North Korea,Kangwŏn-do,February,2024,0,0,0,0,,,,,1704898574
North Korea,Kangwŏn-do,March,2024,0,0,0,0,,,,,1704898574
North Korea,Kangwŏn-do,April,2024,0,0,0,0,,,,,1704898574
North Korea,Kangwŏn-do,May,2024,0,0,0,0,,,,,1704898574
North Korea,Kangwŏn-do,June,2024,0,0,0,0,,,,,1704898574
North Korea,P'yŏngan-bukto,February,2024,0,0,0,0,,,,,1704898574
North Korea,P'yŏngan-bukto,March,2024,0,0,0,0,,,,,1704898574
North Korea,P'yŏngan-bukto,April,2024,0,0,0,0,,,,,1704898574
North Korea,P'yŏngan-bukto,May,2024,0,0,0,0,,,,,1704898574
North Korea,P'yŏngan-bukto,June,2024,0,0,0,0,,,,,1704898574
North Korea,P'yŏngan-namdo,February,2024,0,0,0,0,,,,,1704898574
North Korea,P'yŏngan-namdo,March,2024,0,0,0,0,,,,,1704898574
North Korea,P'yŏngan-namdo,April,2024,0,0,0,0,,,,,1704898574
North Korea,P'yŏngan-namdo,May,2024,0,0,0,0,,,,,1704898574
North Korea,P'yŏngan-namdo,June,2024,0,0,0,0,,,,,1704898574
North Korea,P'yŏngyang,February,2024,0,0,0,0,,,,,1704898574
North Korea,P'yŏngyang,March,2024,0,0,0,0,,,,,1704898574
North Korea,P'yŏngyang,April,2024,0,0,0,0,,,,,1704898574
North Korea,P'yŏngyang,May,2024,0,0,0,0,,,,,1704898574
North Korea,P'yŏngyang,June,2024,0,0,0,0,,,,,1704898574
North Korea,Sinŭiju,February,2024,0,0,0,0,,,,,1704898574
North Korea,Sinŭiju,March,2024,0,0,0,0,,,,,1704898574
North Korea,Sinŭiju,April,2024,0,0,0,0,,,,,1704898574
North Korea,Sinŭiju,May,2024,0,0,0,0,,,,,1704898574
North Korea,Sinŭiju,June,2024,0,0,0,0,,,,,1704898574
North Korea,Chagang,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141072
North Korea,Chagang,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141072
North Korea,Chagang,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141072
North Korea,Chagang,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141072
North Korea,Chagang,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141072
North Korea,Chagang,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141072
North Korea,Chagang,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141072
North Korea,Chagang-do,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Chagang-do,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Chagang-do,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Chagang-do,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Chagang-do,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Chagang-do,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Chagang-do,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Chagang-do,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Chagang-do,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Chagang-do,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Chagang-do,January,2024,0,0,0,0,,,,,1726141073
North Korea,Hamgyŏng-bukto,March,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141073
North Korea,Hamgyŏng-bukto,April,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-bukto,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-bukto,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-bukto,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-bukto,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-bukto,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-bukto,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-bukto,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-bukto,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-bukto,January,2024,0,0,0,0,,,,,1726141073
North Korea,Hamgyŏng-namdo,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-namdo,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-namdo,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-namdo,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-namdo,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-namdo,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-namdo,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-namdo,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-namdo,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-namdo,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hamgyŏng-namdo,January,2024,0,0,0,0,,,,,1726141073
North Korea,Hwanghae-bukto,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-bukto,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-bukto,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-bukto,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-bukto,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-bukto,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-bukto,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-bukto,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-bukto,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-bukto,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-bukto,January,2024,0,0,0,0,,,,,1726141073
North Korea,Hwanghae-namdo,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-namdo,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-namdo,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-namdo,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-namdo,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-namdo,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-namdo,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-namdo,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-namdo,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-namdo,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Hwanghae-namdo,January,2024,0,0,0,0,,,,,1726141073
North Korea,Kangwon,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Kangwon,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Kangwon,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Kangwon,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Kangwon,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Kangwon,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Kangwon,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Kangwŏn-do,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Kangwŏn-do,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Kangwŏn-do,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Kangwŏn-do,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Kangwŏn-do,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Kangwŏn-do,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Kangwŏn-do,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Kangwŏn-do,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Kangwŏn-do,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Kangwŏn-do,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Kangwŏn-do,January,2024,0,0,0,0,,,,,1726141073
North Korea,Nampo,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Nampo,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Nampo,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Nampo,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Nampo,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Nampo,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,Nampo,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,North Hamgyong,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,North Hamgyong,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,North Hamgyong,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,North Hamgyong,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,North Hamgyong,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,North Hamgyong,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,North Hamgyong,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,North Hwanghae,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,North Hwanghae,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,North Hwanghae,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,North Hwanghae,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
North Korea,North Hwanghae,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
