country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Pakistan,Azad Jammu and Kashmir,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Pakistan,Azad Jammu and Kashmir,April,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141068
Pakistan,Azad Jammu and Kashmir,May,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141068
Pakistan,Azad Jammu and Kashmir,June,2023,1,0,0,0,1.0,1.0,0.0,0.0,1726141068
Pakistan,Azad Jammu and Kashmir,July,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141068
Pakistan,Azad Jammu and Kashmir,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Pakistan,Azad Jammu and Kashmir,September,2023,1,0,0,1,1.0,1.0,0.0,0.0,1726141068
Pakistan,Azad Jammu and Kashmir,October,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141068
Pakistan,Azad Jammu and Kashmir,November,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141068
Pakistan,Azad Jammu and Kashmir,December,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141068
Pakistan,Azad Jammu and Kashmir,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Pakistan,Azad Jammu and Kashmir,February,2024,2,0,0,2,0.0,0.0,0.0,0.0,1726141068
Pakistan,Azad Jammu and Kashmir,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Pakistan,Azad Jammu and Kashmir,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141068
Pakistan,Azad Jammu and Kashmir,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Pakistan,Azad Jammu and Kashmir,June,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141068
Pakistan,Azad Jammu and Kashmir,July,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141068
Pakistan,Azad Jammu and Kashmir,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
