country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Palestine,Gaza Strip,March,2023,7,6,1,0,4.0,0.0,2.0,2.0,1726141078
Palestine,Gaza Strip,April,2023,5,2,1,2,21.0,14.0,6.0,1.0,1726141078
Palestine,Gaza Strip,May,2023,18,14,3,1,119.0,15.0,102.0,2.0,1726141078
Palestine,Gaza Strip,June,2023,93,13,78,2,1.0,0.0,0.0,1.0,1726141078
Palestine,Gaza Strip,July,2023,1,0,0,1,4.0,0.0,3.0,1.0,1726141078
Palestine,Gaza Strip,August,2023,13,2,10,1,3.0,1.0,0.0,2.0,1726141079
Palestine,Gaza Strip,September,2023,4,2,0,2,25.0,4.0,17.0,4.0,1726141079
Palestine,Gaza Strip,October,2023,11,4,4,3,946.0,40.0,902.0,4.0,1726141079
Palestine,Gaza Strip,November,2023,703,31,668,4,1187.0,156.0,994.0,37.0,1726141079
Palestine,Gaza Strip,December,2023,1124,154,931,39,1416.0,234.0,1152.0,30.0,1726141079
Palestine,Gaza Strip,January,2024,1329,206,1086,37,1337.0,215.0,1103.0,19.0,1726141079
Palestine,Gaza Strip,February,2024,702,213,465,24,1058.0,100.0,925.0,33.0,1726141079
Palestine,Gaza Strip,March,2024,1063,98,937,28,1114.0,73.0,1008.0,33.0,1726141079
Palestine,Gaza Strip,April,2024,1058,53,982,23,889.0,45.0,836.0,8.0,1726141079
Palestine,Gaza Strip,May,2024,890,44,831,15,1130.0,117.0,1005.0,8.0,1726141079
Palestine,Gaza Strip,June,2024,1085,94,983,8,926.0,73.0,848.0,5.0,1726141079
Palestine,Gaza Strip,July,2024,952,80,864,8,969.0,60.0,887.0,22.0,1726141079
Palestine,Gaza Strip,August,2024,969,67,883,19,1079.0,79.0,989.0,11.0,1726141079
Palestine,West Bank,March,2023,89,59,1,29,123.0,79.0,4.0,40.0,1726141079
Palestine,West Bank,April,2023,115,72,2,40,108.0,60.0,2.0,46.0,1726141079
Palestine,West Bank,May,2023,107,59,1,46,91.0,57.0,2.0,32.0,1726141079
Palestine,West Bank,June,2023,89,50,3,37,113.0,88.0,4.0,21.0,1726141079
Palestine,West Bank,July,2023,115,89,4,22,147.0,87.0,15.0,45.0,1726141079
Palestine,West Bank,August,2023,143,85,17,41,133.0,85.0,14.0,34.0,1726141079
Palestine,West Bank,September,2023,122,84,3,35,144.0,88.0,18.0,38.0,1726141079
Palestine,West Bank,October,2023,131,90,4,37,461.0,216.0,28.0,217.0,1726141079
Palestine,West Bank,November,2023,420,188,47,185,375.0,207.0,39.0,129.0,1726141079
Palestine,West Bank,December,2023,373,204,35,134,312.0,189.0,44.0,79.0,1726141079
Palestine,West Bank,January,2024,316,194,38,84,265.0,152.0,24.0,89.0,1726141079
Palestine,West Bank,February,2024,262,155,13,94,207.0,109.0,34.0,64.0,1726141079
Palestine,West Bank,March,2024,227,107,44,76,242.0,124.0,30.0,88.0,1726141079
Palestine,West Bank,April,2024,203,101,30,72,219.0,122.0,21.0,76.0,1726141079
Palestine,West Bank,May,2024,222,119,23,80,225.0,133.0,25.0,67.0,1726141079
Palestine,West Bank,June,2024,214,119,26,69,192.0,120.0,17.0,55.0,1726141079
Palestine,West Bank,July,2024,189,115,18,56,259.0,139.0,33.0,87.0,1726141079
Palestine,West Bank,August,2024,206,93,31,82,226.0,114.0,27.0,85.0,1726141079
Palestine,Gaza Strip,September,2024,1054,76,964,14,747.0,18.0,726.0,3.0,1730731000
