country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Paraguay,Alto Paraguay,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Paraguay,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Paraguay,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Paraguay,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Paraguay,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Paraguay,August,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141068
Paraguay,Alto Paraguay,September,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Paraguay,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Paraguay,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Paraguay,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Paraguay,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Paraguay,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Paraguay,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Paraguay,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Paraguay,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Paraguay,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Paraguay,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Paraguay,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Parana,March,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Parana,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Parana,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Parana,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Parana,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Parana,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Parana,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Parana,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Parana,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Parana,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Parana,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Parana,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Parana,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Parana,April,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141068
Paraguay,Alto Parana,May,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Parana,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Parana,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Alto Parana,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Amambay,March,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141068
Paraguay,Amambay,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Amambay,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Amambay,June,2023,0,0,0,0,2.0,2.0,0.0,0.0,1726141068
Paraguay,Amambay,July,2023,2,2,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Amambay,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Amambay,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Amambay,October,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141068
Paraguay,Amambay,November,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141068
Paraguay,Amambay,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Amambay,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Amambay,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Amambay,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Amambay,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Amambay,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Amambay,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Amambay,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Amambay,August,2024,0,0,0,0,1.0,1.0,0.0,0.0,1726141068
Paraguay,Asuncion,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Asuncion,April,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141068
Paraguay,Asuncion,May,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141068
Paraguay,Asuncion,June,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141068
Paraguay,Asuncion,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Asuncion,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Asuncion,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Asuncion,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Asuncion,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Asuncion,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Asuncion,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Asuncion,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Asuncion,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Asuncion,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Asuncion,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Asuncion,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Asuncion,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Asuncion,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Boqueron,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caaguazu,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141068
Paraguay,Caazapa,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Caazapa,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Caazapa,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Caazapa,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Caazapa,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Caazapa,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Caazapa,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Caazapa,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Caazapa,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Caazapa,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Caazapa,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Caazapa,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Caazapa,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Caazapa,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Caazapa,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Caazapa,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Caazapa,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Caazapa,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Canindeyu,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Canindeyu,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Canindeyu,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Canindeyu,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Canindeyu,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Canindeyu,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Canindeyu,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Canindeyu,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Canindeyu,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Canindeyu,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Canindeyu,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Canindeyu,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Canindeyu,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Canindeyu,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Canindeyu,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Paraguay,Canindeyu,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
