country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Peru,Amazonas,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Amazonas,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Amazonas,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Amazonas,July,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141069
Peru,Amazonas,August,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141069
Peru,Ancash,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141069
Peru,Ancash,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Ancash,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Ancash,July,2024,0,0,0,0,2.0,0.0,0.0,2.0,1726141069
Peru,Ancash,August,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141069
Peru,Apurimac,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Apurimac,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Apurimac,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Apurimac,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Apurimac,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Arequipa,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141069
Peru,Arequipa,May,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141069
Peru,Arequipa,June,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141069
Peru,Arequipa,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Arequipa,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Ayacucho,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Ayacucho,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Ayacucho,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Ayacucho,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Ayacucho,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Cajamarca,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Cajamarca,May,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141069
Peru,Cajamarca,June,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141069
Peru,Cajamarca,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Cajamarca,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Callao,April,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141069
Peru,Callao,May,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141069
Peru,Callao,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Callao,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Callao,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141069
Peru,Cusco,April,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141070
Peru,Cusco,May,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141070
Peru,Cusco,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141070
Peru,Cusco,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141070
Peru,Cusco,August,2024,0,0,0,0,2.0,1.0,0.0,1.0,1726141070
Peru,Huancavelica,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141070
Peru,Huancavelica,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141070
Peru,Huancavelica,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141070
Peru,Huancavelica,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141070
Peru,Huancavelica,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141070
Peru,Huanuco,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141070
Peru,Huanuco,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141070
