country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,March,2023,8,6,1,1,20.0,15.0,1.0,4.0,1726141070
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,April,2023,16,11,1,4,19.0,13.0,0.0,6.0,1726141070
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,May,2023,20,12,1,8,5.0,3.0,1.0,1.0,1726141070
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,June,2023,5,4,1,1,10.0,8.0,0.0,2.0,1726141070
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,July,2023,10,7,1,2,3.0,1.0,1.0,1.0,1726141070
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,August,2023,6,4,1,1,10.0,5.0,2.0,3.0,1726141070
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,September,2023,9,5,1,3,11.0,6.0,1.0,4.0,1726141070
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,October,2023,12,7,1,4,10.0,2.0,0.0,8.0,1726141070
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,November,2023,11,4,0,7,9.0,1.0,2.0,6.0,1726141070
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,December,2023,8,2,1,5,12.0,9.0,2.0,1.0,1726141070
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,January,2024,10,6,1,3,7.0,4.0,0.0,3.0,1726141070
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,February,2024,8,5,0,3,3.0,0.0,1.0,2.0,1726141070
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,March,2024,4,1,1,2,11.0,5.0,1.0,5.0,1726141070
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,April,2024,10,4,1,5,13.0,8.0,0.0,5.0,1726141070
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,May,2024,11,6,1,4,10.0,3.0,1.0,6.0,1726141070
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,June,2024,11,4,1,6,5.0,2.0,1.0,2.0,1726141070
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,July,2024,5,2,1,2,7.0,6.0,0.0,1.0,1726141070
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,August,2024,8,6,1,1,4.0,1.0,0.0,3.0,1726141070
Philippines,Bicol Region,March,2023,6,5,0,1,9.0,5.0,1.0,3.0,1726141070
Philippines,Bicol Region,April,2023,8,5,1,3,5.0,3.0,0.0,2.0,1726141070
Philippines,Bicol Region,May,2023,6,3,0,3,5.0,2.0,0.0,3.0,1726141070
Philippines,Bicol Region,June,2023,5,2,0,3,4.0,2.0,0.0,2.0,1726141070
Philippines,Bicol Region,July,2023,5,2,0,2,2.0,2.0,0.0,0.0,1726141070
Philippines,Bicol Region,August,2023,4,3,0,1,6.0,3.0,0.0,3.0,1726141070
Philippines,Bicol Region,September,2023,6,3,0,3,2.0,0.0,0.0,2.0,1726141070
Philippines,Bicol Region,October,2023,2,0,0,2,4.0,1.0,0.0,3.0,1726141070
Philippines,Bicol Region,November,2023,4,1,0,3,1.0,1.0,0.0,0.0,1726141070
Philippines,Bicol Region,December,2023,1,1,0,0,2.0,1.0,0.0,1.0,1726141070
Philippines,Bicol Region,January,2024,3,2,0,1,3.0,3.0,0.0,0.0,1726141070
Philippines,Bicol Region,February,2024,4,3,0,1,5.0,4.0,0.0,1.0,1726141070
Philippines,Bicol Region,March,2024,5,4,0,1,5.0,2.0,0.0,3.0,1726141070
Philippines,Bicol Region,April,2024,5,2,0,3,5.0,2.0,0.0,3.0,1726141070
Philippines,Bicol Region,May,2024,2,1,0,1,1.0,1.0,0.0,0.0,1726141070
Philippines,Bicol Region,June,2024,2,2,0,0,2.0,1.0,0.0,1.0,1726141070
Philippines,Bicol Region,July,2024,2,1,0,1,5.0,4.0,0.0,1.0,1726141070
Philippines,Bicol Region,August,2024,4,3,0,1,8.0,4.0,0.0,4.0,1726141070
Philippines,Cagayan Valley,March,2023,2,1,0,1,2.0,2.0,0.0,0.0,1726141070
Philippines,Cagayan Valley,April,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141070
Philippines,Cagayan Valley,May,2023,1,0,1,0,1.0,1.0,0.0,0.0,1726141070
Philippines,Cagayan Valley,June,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141070
Philippines,Cagayan Valley,July,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141070
Philippines,Cagayan Valley,August,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141070
Philippines,Cagayan Valley,September,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141070
Philippines,Cagayan Valley,October,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141070
Philippines,Cagayan Valley,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141070
Philippines,Cagayan Valley,December,2023,1,0,0,1,1.0,1.0,0.0,0.0,1726141070
Philippines,Cagayan Valley,January,2024,2,1,0,1,0.0,0.0,0.0,0.0,1726141070
Philippines,Cagayan Valley,February,2024,0,0,0,0,1.0,1.0,0.0,0.0,1726141070
Philippines,Cagayan Valley,March,2024,1,1,0,0,0.0,0.0,0.0,0.0,1726141070
Philippines,Cagayan Valley,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141070
Philippines,Cagayan Valley,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141070
Philippines,Cagayan Valley,June,2024,0,0,0,0,1.0,0.0,1.0,0.0,1726141070
Philippines,Cagayan Valley,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141070
Philippines,Cagayan Valley,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141070
Philippines,Calabarzon,March,2023,7,1,0,6,4.0,2.0,0.0,2.0,1726141070
Philippines,Calabarzon,April,2023,5,2,0,2,7.0,0.0,0.0,7.0,1726141070
Philippines,Calabarzon,May,2023,8,1,1,6,3.0,0.0,0.0,3.0,1726141070
Philippines,Calabarzon,June,2023,4,0,0,3,4.0,1.0,0.0,3.0,1726141070
Philippines,Calabarzon,July,2023,4,1,0,3,3.0,1.0,0.0,2.0,1726141070
Philippines,Calabarzon,August,2023,3,1,0,2,6.0,0.0,0.0,6.0,1726141070
Philippines,Calabarzon,September,2023,6,1,0,5,7.0,2.0,0.0,5.0,1726141070
Philippines,Calabarzon,October,2023,5,1,0,4,6.0,2.0,0.0,4.0,1726141070
Philippines,Calabarzon,November,2023,5,1,0,4,6.0,1.0,0.0,5.0,1726141070
Philippines,Calabarzon,December,2023,6,1,0,5,5.0,4.0,0.0,1.0,1726141070
Philippines,Calabarzon,January,2024,4,2,0,2,6.0,0.0,0.0,6.0,1726141070
Philippines,Calabarzon,February,2024,6,1,0,5,5.0,4.0,0.0,1.0,1726141070
Philippines,Calabarzon,March,2024,5,4,0,1,8.0,3.0,0.0,5.0,1726141070
Philippines,Calabarzon,April,2024,7,2,0,5,5.0,1.0,0.0,4.0,1726141070
Philippines,Calabarzon,May,2024,4,1,0,3,7.0,0.0,0.0,7.0,1726141070
Philippines,Calabarzon,June,2024,8,1,0,7,3.0,2.0,0.0,1.0,1726141070
Philippines,Calabarzon,July,2024,4,2,0,2,5.0,2.0,0.0,3.0,1726141071
Philippines,Calabarzon,August,2024,5,2,0,3,4.0,0.0,0.0,4.0,1726141071
Philippines,Caraga,March,2023,0,0,0,0,5.0,4.0,0.0,1.0,1726141071
Philippines,Caraga,April,2023,4,3,0,1,2.0,1.0,0.0,1.0,1726141071
Philippines,Caraga,May,2023,3,2,0,1,4.0,4.0,0.0,0.0,1726141071
Philippines,Caraga,June,2023,4,3,0,0,1.0,1.0,0.0,0.0,1726141071
Philippines,Caraga,July,2023,2,2,0,0,2.0,2.0,0.0,0.0,1726141071
Philippines,Caraga,August,2023,2,2,0,0,2.0,1.0,0.0,1.0,1726141071
Philippines,Caraga,September,2023,2,1,0,1,4.0,4.0,0.0,0.0,1726141071
Philippines,Caraga,October,2023,4,3,0,1,0.0,0.0,0.0,0.0,1726141071
Philippines,Caraga,November,2023,0,0,0,0,2.0,2.0,0.0,0.0,1726141071
Philippines,Caraga,December,2023,2,2,0,0,2.0,2.0,0.0,0.0,1726141071
Philippines,Caraga,January,2024,2,2,0,0,3.0,3.0,0.0,0.0,1726141071
Philippines,Caraga,February,2024,2,2,0,0,3.0,2.0,0.0,1.0,1726141071
Philippines,Caraga,March,2024,3,2,0,1,3.0,1.0,0.0,2.0,1726141071
Philippines,Caraga,April,2024,3,1,0,2,0.0,0.0,0.0,0.0,1726141071
Philippines,Caraga,May,2024,0,0,0,0,2.0,2.0,0.0,0.0,1726141071
Philippines,Caraga,June,2024,2,2,0,0,0.0,0.0,0.0,0.0,1726141071
Philippines,Caraga,July,2024,0,0,0,0,1.0,1.0,0.0,0.0,1726141071
Philippines,Caraga,August,2024,1,1,0,0,3.0,3.0,0.0,0.0,1726141071
Philippines,Central Luzon,March,2023,3,0,0,3,2.0,0.0,0.0,2.0,1726141071
Philippines,Central Luzon,April,2023,3,0,0,2,2.0,1.0,0.0,1.0,1726141071
Philippines,Central Luzon,May,2023,3,1,0,1,2.0,1.0,0.0,1.0,1726141071
Philippines,Central Luzon,June,2023,2,1,0,1,5.0,3.0,0.0,2.0,1726141071
Philippines,Central Luzon,July,2023,3,1,0,2,0.0,0.0,0.0,0.0,1726141071
Philippines,Central Luzon,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141071
Philippines,Central Luzon,September,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141071
Philippines,Central Luzon,October,2023,1,0,0,1,2.0,1.0,0.0,1.0,1726141071
Philippines,Central Luzon,November,2023,2,1,0,1,1.0,0.0,0.0,1.0,1726141071
Philippines,Central Luzon,December,2023,2,1,0,1,1.0,0.0,0.0,1.0,1726141071
Philippines,Central Luzon,January,2024,3,1,0,2,2.0,1.0,0.0,1.0,1726141071
Philippines,Central Luzon,February,2024,2,1,0,1,2.0,1.0,0.0,1.0,1726141071
Philippines,Central Luzon,March,2024,2,1,0,1,0.0,0.0,0.0,0.0,1726141071
Philippines,Central Luzon,April,2024,0,0,0,0,1.0,1.0,0.0,0.0,1726141071
Philippines,Central Luzon,May,2024,1,1,0,0,12.0,3.0,8.0,1.0,1726141071
Philippines,Central Luzon,June,2024,3,2,0,1,2.0,1.0,0.0,1.0,1726141071
Philippines,Central Luzon,July,2024,2,1,0,1,2.0,1.0,0.0,1.0,1726141071
Philippines,Central Luzon,August,2024,2,1,0,1,4.0,0.0,0.0,4.0,1726141071
Philippines,Central Visayas,March,2023,5,1,0,4,7.0,2.0,0.0,5.0,1726141071
Philippines,Central Visayas,April,2023,8,2,0,5,8.0,1.0,0.0,7.0,1726141071
Philippines,Central Visayas,May,2023,9,1,0,8,7.0,2.0,0.0,5.0,1726141071
Philippines,Central Visayas,June,2023,7,2,0,5,4.0,0.0,0.0,4.0,1726141071
Philippines,Central Visayas,July,2023,6,1,0,4,6.0,1.0,0.0,5.0,1726141071
Philippines,Central Visayas,August,2023,6,1,0,5,10.0,3.0,1.0,6.0,1726141071
Philippines,Central Visayas,September,2023,8,2,0,6,4.0,1.0,0.0,3.0,1726141071
Philippines,Central Visayas,October,2023,5,1,0,4,7.0,0.0,0.0,7.0,1726141071
Philippines,Central Visayas,November,2023,6,0,0,6,4.0,1.0,0.0,3.0,1726141071
Philippines,Central Visayas,December,2023,4,1,0,3,2.0,1.0,0.0,1.0,1726141071
Philippines,Central Visayas,January,2024,3,1,0,2,5.0,3.0,0.0,2.0,1726141071
Philippines,Central Visayas,February,2024,4,2,0,2,6.0,1.0,0.0,5.0,1726141071
Philippines,Central Visayas,March,2024,7,2,0,5,4.0,0.0,0.0,4.0,1726141071
Philippines,Central Visayas,April,2024,4,0,0,4,1.0,0.0,0.0,1.0,1726141071
Philippines,Central Visayas,May,2024,1,0,0,1,2.0,0.0,0.0,2.0,1726141071
Philippines,Central Visayas,June,2024,3,1,0,2,7.0,0.0,0.0,7.0,1726141071
Philippines,Central Visayas,July,2024,6,0,0,6,7.0,1.0,0.0,6.0,1726141071
Philippines,Central Visayas,August,2024,7,1,0,6,12.0,0.0,0.0,12.0,1726141071
Philippines,Cordillera Administrative Region,March,2023,0,0,0,0,4.0,3.0,1.0,0.0,1726141071
Philippines,Cordillera Administrative Region,April,2023,3,2,0,0,1.0,0.0,0.0,1.0,1726141071
Philippines,Cordillera Administrative Region,May,2023,2,1,0,1,1.0,1.0,0.0,0.0,1726141071
Philippines,Cordillera Administrative Region,June,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141071
Philippines,Cordillera Administrative Region,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141071
Philippines,Cordillera Administrative Region,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141071
Philippines,Cordillera Administrative Region,September,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141071
Philippines,Cordillera Administrative Region,October,2023,1,0,0,1,5.0,3.0,0.0,2.0,1726141071
Philippines,Cordillera Administrative Region,November,2023,4,2,0,2,0.0,0.0,0.0,0.0,1726141071
Philippines,Cordillera Administrative Region,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141071
Philippines,Cordillera Administrative Region,January,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141071
Philippines,Cordillera Administrative Region,February,2024,1,0,0,1,1.0,1.0,0.0,0.0,1726141071
Philippines,Cordillera Administrative Region,March,2024,1,1,0,0,2.0,1.0,0.0,1.0,1726141071
Philippines,Cordillera Administrative Region,April,2024,2,1,0,1,2.0,1.0,0.0,1.0,1726141071
Philippines,Cordillera Administrative Region,May,2024,2,1,0,1,3.0,2.0,0.0,1.0,1726141071
Philippines,Cordillera Administrative Region,June,2024,3,2,0,1,2.0,1.0,0.0,1.0,1726141071
Philippines,Cordillera Administrative Region,July,2024,2,1,0,1,1.0,0.0,1.0,0.0,1726141071
Philippines,Cordillera Administrative Region,August,2024,1,1,0,0,2.0,0.0,0.0,2.0,1726141071
Philippines,Davao Region,March,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141071
Philippines,Davao Region,April,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141071
Philippines,Davao Region,May,2023,2,1,0,1,3.0,0.0,0.0,3.0,1726141071
