country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Puerto Rico,Adjuntas,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Adjuntas,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Adjuntas,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Adjuntas,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Adjuntas,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Adjuntas,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Adjuntas,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Adjuntas,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Adjuntas,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Adjuntas,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Adjuntas,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Adjuntas,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Adjuntas,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Adjuntas,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Adjuntas,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Adjuntas,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Adjuntas,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
Puerto Rico,Aguada,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141073
