country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Russia,Altai,March,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141079
Russia,Altai,April,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141079
Russia,Altai,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Altai,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Altai,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Altai,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Altai,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Altai,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Altai,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Altai,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Altai,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Altai,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Altai,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Altai,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Altai,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Altai,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Altai,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Altai,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Amur,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Arkhangelsk,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
Russia,Astrakhan,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141079
