country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Saudi Arabia,Al Bahah,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Bahah,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Bahah,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Bahah,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Bahah,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Bahah,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Bahah,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Bahah,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Bahah,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Bahah,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Bahah,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Bahah,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Bahah,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Bahah,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Bahah,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Bahah,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Bahah,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Bahah,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Madinah,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Madinah,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Madinah,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Madinah,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Madinah,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Madinah,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Madinah,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Madinah,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Madinah,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Madinah,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Madinah,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Madinah,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Madinah,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Madinah,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
Saudi Arabia,Al Madinah,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141088
