country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Senegal,Dakar,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Dakar,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Dakar,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Dakar,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Dakar,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Dakar,August,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141089
Senegal,Dakar,September,2023,1,0,0,1,2.0,0.0,0.0,2.0,1726141089
Senegal,Dakar,October,2023,2,0,0,2,0.0,0.0,0.0,0.0,1726141089
Senegal,Dakar,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Dakar,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Dakar,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Dakar,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Dakar,March,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141089
Senegal,Dakar,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141089
Senegal,Dakar,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Dakar,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Dakar,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Dakar,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Diourbel,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Diourbel,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Diourbel,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Diourbel,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Diourbel,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Diourbel,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Diourbel,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Diourbel,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Diourbel,November,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141089
Senegal,Diourbel,December,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Diourbel,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Diourbel,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Diourbel,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Diourbel,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Diourbel,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Diourbel,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Diourbel,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Diourbel,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Fatick,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaffrine,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaolack,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaolack,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaolack,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaolack,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaolack,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaolack,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaolack,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141089
Senegal,Kaolack,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kaolack,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kaolack,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kaolack,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kaolack,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kaolack,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kaolack,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kaolack,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kaolack,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kaolack,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kaolack,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kedougou,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kedougou,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kedougou,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kedougou,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kedougou,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kedougou,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kedougou,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kedougou,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kedougou,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kedougou,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kedougou,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kedougou,February,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141090
Senegal,Kedougou,March,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141090
Senegal,Kedougou,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kedougou,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kedougou,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kedougou,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kedougou,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Kolda,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Louga,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Matam,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Matam,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Matam,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Matam,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Matam,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Matam,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Matam,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
Senegal,Matam,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141090
