country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Serbia,Belgrade,June,2025,2,0,0,2,1.0,0.0,0.0,1.0,1754429217
Serbia,Belgrade,July,2025,1,0,0,1,0.0,0.0,0.0,0.0,1754429217
Serbia,Belgrade,August,2025,0,0,0,0,5.0,0.0,0.0,5.0,1757596698
Serbia,Belgrade,September,2025,4,0,0,4,1.0,0.0,0.0,1.0,1760036046
Serbia,Belgrade,October,2025,2,0,0,2,4.0,0.0,1.0,3.0,1762435626
Serbia,Belgrade,November,2025,4,0,1,3,4.0,1.0,0.0,3.0,1765375966
Serbia,Belgrade,December,2025,3,0,0,3,,,,,1765375966
Serbia,Bor,June,2025,0,0,0,0,0.0,0.0,0.0,0.0,1754429217
Serbia,Bor,July,2025,0,0,0,0,0.0,0.0,0.0,0.0,1754429217
Serbia,Bor,August,2025,0,0,0,0,0.0,0.0,0.0,0.0,1757596698
Serbia,Bor,September,2025,0,0,0,0,0.0,0.0,0.0,0.0,1760036046
Serbia,Bor,October,2025,0,0,0,0,0.0,0.0,0.0,0.0,1762435626
Serbia,Bor,November,2025,0,0,0,0,1.0,0.0,0.0,1.0,1765375966
Serbia,Bor,December,2025,1,0,0,1,,,,,1765375966
Serbia,Branicevo,June,2025,0,0,0,0,0.0,0.0,0.0,0.0,1754429217
Serbia,Branicevo,July,2025,0,0,0,0,0.0,0.0,0.0,0.0,1754429217
Serbia,Branicevo,August,2025,0,0,0,0,0.0,0.0,0.0,0.0,1757596698
Serbia,Branicevo,September,2025,0,0,0,0,0.0,0.0,0.0,0.0,1760036046
Serbia,Branicevo,October,2025,0,0,0,0,0.0,0.0,0.0,0.0,1762435626
Serbia,Branicevo,November,2025,0,0,0,0,0.0,0.0,0.0,0.0,1765375966
Serbia,Branicevo,December,2025,0,0,0,0,,,,,1765375966
Serbia,Central Banat,June,2025,0,0,0,0,1.0,0.0,0.0,1.0,1754429217
Serbia,Central Banat,July,2025,1,0,0,1,0.0,0.0,0.0,0.0,1754429217
Serbia,Central Banat,August,2025,0,0,0,0,0.0,0.0,0.0,0.0,1757596698
Serbia,Central Banat,September,2025,0,0,0,0,1.0,0.0,0.0,1.0,1760036046
Serbia,Central Banat,October,2025,1,0,0,1,0.0,0.0,0.0,0.0,1762435626
Serbia,Central Banat,November,2025,0,0,0,0,0.0,0.0,0.0,0.0,1765375966
Serbia,Central Banat,December,2025,0,0,0,0,,,,,1765375966
Serbia,Jablanica,June,2025,1,0,0,1,0.0,0.0,0.0,0.0,1754429217
Serbia,Jablanica,July,2025,0,0,0,0,0.0,0.0,0.0,0.0,1754429217
Serbia,Jablanica,August,2025,0,0,0,0,0.0,0.0,0.0,0.0,1757596698
Serbia,Jablanica,September,2025,0,0,0,0,0.0,0.0,0.0,0.0,1760036046
Serbia,Jablanica,October,2025,0,0,0,0,0.0,0.0,0.0,0.0,1762435626
Serbia,Jablanica,November,2025,0,0,0,0,0.0,0.0,0.0,0.0,1765375966
Serbia,Jablanica,December,2025,0,0,0,0,,,,,1765375966
Serbia,Kolubara,June,2025,0,0,0,0,0.0,0.0,0.0,0.0,1754429217
Serbia,Kolubara,July,2025,0,0,0,0,0.0,0.0,0.0,0.0,1754429217
Serbia,Kolubara,August,2025,0,0,0,0,1.0,0.0,0.0,1.0,1757596698
