country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Somalia,Awdal,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141092
Somalia,Awdal,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141092
Somalia,Awdal,May,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141092
Somalia,Awdal,June,2023,1,0,0,0,0.0,0.0,0.0,0.0,1726141092
Somalia,Awdal,July,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141092
Somalia,Awdal,August,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141092
Somalia,Awdal,September,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141092
Somalia,Awdal,October,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141092
Somalia,Awdal,November,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141092
Somalia,Awdal,December,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141092
Somalia,Awdal,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141092
Somalia,Awdal,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141092
Somalia,Awdal,March,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141092
Somalia,Awdal,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141092
Somalia,Awdal,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141092
Somalia,Awdal,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141092
Somalia,Awdal,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141092
Somalia,Awdal,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141092
Somalia,Bakool,March,2023,9,5,2,2,5.0,3.0,2.0,0.0,1726141092
Somalia,Bakool,April,2023,6,4,2,1,7.0,7.0,0.0,0.0,1726141092
Somalia,Bakool,May,2023,8,7,1,0,9.0,7.0,2.0,0.0,1726141092
Somalia,Bakool,June,2023,9,7,2,1,6.0,5.0,0.0,1.0,1726141092
Somalia,Bakool,July,2023,8,6,2,1,15.0,14.0,1.0,0.0,1726141092
Somalia,Bakool,August,2023,13,10,2,1,11.0,9.0,2.0,0.0,1726141092
Somalia,Bakool,September,2023,13,9,3,1,16.0,8.0,7.0,1.0,1726141092
Somalia,Bakool,October,2023,14,7,5,2,9.0,8.0,1.0,0.0,1726141092
Somalia,Bakool,November,2023,10,8,2,0,9.0,9.0,0.0,0.0,1726141092
Somalia,Bakool,December,2023,6,5,1,0,15.0,14.0,1.0,0.0,1726141092
Somalia,Bakool,January,2024,13,11,2,0,7.0,5.0,2.0,0.0,1726141092
Somalia,Bakool,February,2024,9,7,2,0,5.0,5.0,0.0,0.0,1726141092
Somalia,Bakool,March,2024,7,5,1,1,18.0,14.0,3.0,1.0,1726141092
Somalia,Bakool,April,2024,15,12,2,1,6.0,5.0,0.0,1.0,1726141092
Somalia,Bakool,May,2024,6,5,0,1,7.0,7.0,0.0,0.0,1726141092
Somalia,Bakool,June,2024,9,8,1,0,9.0,5.0,4.0,0.0,1726141092
Somalia,Bakool,July,2024,10,6,4,0,16.0,11.0,4.0,1.0,1726141092
Somalia,Bakool,August,2024,15,10,4,1,12.0,12.0,0.0,0.0,1726141092
Somalia,Banadir,March,2023,55,29,10,16,59.0,27.0,16.0,16.0,1726141092
Somalia,Banadir,April,2023,57,29,13,14,48.0,17.0,26.0,5.0,1726141092
Somalia,Banadir,May,2023,43,16,21,6,35.0,23.0,8.0,4.0,1726141092
Somalia,Banadir,June,2023,38,24,8,5,29.0,10.0,14.0,5.0,1726141092
Somalia,Banadir,July,2023,33,16,12,5,40.0,14.0,18.0,8.0,1726141092
Somalia,Banadir,August,2023,41,18,14,9,39.0,26.0,7.0,6.0,1726141092
Somalia,Banadir,September,2023,42,25,10,7,43.0,22.0,10.0,11.0,1726141092
Somalia,Banadir,October,2023,41,23,10,8,40.0,18.0,17.0,5.0,1726141092
Somalia,Banadir,November,2023,42,19,16,7,35.0,16.0,14.0,5.0,1726141092
Somalia,Banadir,December,2023,31,12,14,5,33.0,8.0,17.0,8.0,1726141092
Somalia,Banadir,January,2024,37,15,14,8,37.0,14.0,16.0,7.0,1726141092
Somalia,Banadir,February,2024,38,15,15,8,32.0,17.0,11.0,4.0,1726141092
Somalia,Banadir,March,2024,30,16,11,3,37.0,17.0,15.0,5.0,1726141092
Somalia,Banadir,April,2024,37,17,16,4,25.0,6.0,9.0,10.0,1726141092
