country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
South Africa,Eastern Cape,March,2023,3,0,0,3,0.0,0.0,0.0,0.0,1726141087
South Africa,Eastern Cape,April,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141087
South Africa,Eastern Cape,May,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141087
South Africa,Eastern Cape,June,2023,2,0,0,2,0.0,0.0,0.0,0.0,1726141087
South Africa,Eastern Cape,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141087
South Africa,Eastern Cape,August,2023,2,0,0,2,2.0,0.0,0.0,2.0,1726141087
South Africa,Eastern Cape,September,2023,2,0,0,2,2.0,0.0,0.0,2.0,1726141087
South Africa,Eastern Cape,October,2023,2,0,0,2,1.0,0.0,0.0,1.0,1726141087
South Africa,Eastern Cape,November,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141087
South Africa,Eastern Cape,December,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141087
South Africa,Eastern Cape,January,2024,1,0,0,1,2.0,0.0,0.0,2.0,1726141087
South Africa,Eastern Cape,February,2024,2,0,0,2,3.0,0.0,0.0,3.0,1726141087
South Africa,Eastern Cape,March,2024,2,0,0,2,2.0,0.0,0.0,2.0,1726141087
South Africa,Eastern Cape,April,2024,2,0,0,2,1.0,0.0,0.0,1.0,1726141087
South Africa,Eastern Cape,May,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141087
South Africa,Eastern Cape,June,2024,1,0,0,1,3.0,0.0,0.0,3.0,1726141087
South Africa,Eastern Cape,July,2024,3,0,0,3,1.0,0.0,0.0,1.0,1726141087
South Africa,Eastern Cape,August,2024,1,0,0,1,5.0,0.0,0.0,5.0,1726141087
South Africa,Free State,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141087
South Africa,Free State,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141087
South Africa,Free State,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141087
South Africa,Free State,June,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141087
South Africa,Free State,July,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141087
South Africa,Free State,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141087
South Africa,Free State,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141087
South Africa,Free State,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141087
South Africa,Free State,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141087
South Africa,Free State,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141087
South Africa,Free State,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141087
South Africa,Free State,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141087
South Africa,Free State,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141087
