country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
South Sudan,Central Equatoria,March,2023,9,3,0,6,6.0,3.0,0.0,3.0,1726141094
South Sudan,Central Equatoria,April,2023,7,2,0,4,7.0,1.0,0.0,6.0,1726141094
South Sudan,Central Equatoria,May,2023,6,2,0,4,3.0,3.0,0.0,0.0,1726141094
South Sudan,Central Equatoria,June,2023,3,2,0,1,2.0,0.0,0.0,2.0,1726141094
South Sudan,Central Equatoria,July,2023,4,2,0,2,9.0,2.0,0.0,7.0,1726141094
South Sudan,Central Equatoria,August,2023,7,2,0,5,10.0,0.0,0.0,10.0,1726141094
South Sudan,Central Equatoria,September,2023,10,1,0,9,7.0,0.0,0.0,7.0,1726141094
South Sudan,Central Equatoria,October,2023,7,1,0,6,6.0,1.0,0.0,5.0,1726141094
South Sudan,Central Equatoria,November,2023,5,1,0,4,1.0,1.0,0.0,0.0,1726141094
South Sudan,Central Equatoria,December,2023,4,2,0,2,2.0,0.0,0.0,2.0,1726141094
South Sudan,Central Equatoria,January,2024,3,1,0,2,3.0,1.0,0.0,2.0,1726141094
South Sudan,Central Equatoria,February,2024,3,1,0,2,6.0,4.0,0.0,2.0,1726141094
South Sudan,Central Equatoria,March,2024,6,3,0,3,2.0,0.0,0.0,2.0,1726141094
South Sudan,Central Equatoria,April,2024,3,1,0,2,1.0,1.0,0.0,0.0,1726141094
South Sudan,Central Equatoria,May,2024,1,1,0,0,2.0,2.0,0.0,0.0,1726141094
South Sudan,Central Equatoria,June,2024,1,1,0,0,5.0,1.0,0.0,4.0,1726141094
South Sudan,Central Equatoria,July,2024,3,1,0,2,10.0,5.0,0.0,5.0,1726141094
South Sudan,Central Equatoria,August,2024,8,4,0,4,3.0,0.0,0.0,3.0,1726141094
South Sudan,Eastern Equatoria,March,2023,6,3,0,3,5.0,1.0,0.0,4.0,1726141094
South Sudan,Eastern Equatoria,April,2023,5,2,0,3,7.0,2.0,0.0,5.0,1726141094
South Sudan,Eastern Equatoria,May,2023,6,2,0,4,1.0,0.0,0.0,1.0,1726141094
South Sudan,Eastern Equatoria,June,2023,3,2,0,1,7.0,2.0,0.0,5.0,1726141094
South Sudan,Eastern Equatoria,July,2023,5,1,0,4,9.0,2.0,0.0,7.0,1726141094
South Sudan,Eastern Equatoria,August,2023,6,1,0,5,3.0,0.0,0.0,3.0,1726141094
South Sudan,Eastern Equatoria,September,2023,5,1,0,4,4.0,1.0,0.0,3.0,1726141094
South Sudan,Eastern Equatoria,October,2023,5,1,0,4,11.0,3.0,0.0,8.0,1726141094
South Sudan,Eastern Equatoria,November,2023,8,3,0,5,2.0,0.0,0.0,2.0,1726141094
South Sudan,Eastern Equatoria,December,2023,5,2,0,3,1.0,0.0,0.0,1.0,1726141094
South Sudan,Eastern Equatoria,January,2024,3,1,0,2,2.0,0.0,0.0,2.0,1726141094
South Sudan,Eastern Equatoria,February,2024,2,0,0,2,5.0,1.0,0.0,4.0,1726141094
South Sudan,Eastern Equatoria,March,2024,5,1,0,4,1.0,0.0,0.0,1.0,1726141094
South Sudan,Eastern Equatoria,April,2024,2,1,0,1,10.0,6.0,0.0,4.0,1726141094
South Sudan,Eastern Equatoria,May,2024,8,4,0,4,6.0,4.0,0.0,2.0,1726141094
South Sudan,Eastern Equatoria,June,2024,5,3,0,2,3.0,3.0,0.0,0.0,1726141094
South Sudan,Eastern Equatoria,July,2024,6,3,0,3,2.0,1.0,0.0,1.0,1726141094
South Sudan,Eastern Equatoria,August,2024,4,2,0,2,6.0,3.0,0.0,3.0,1726141094
South Sudan,Jonglei,March,2023,8,3,0,5,6.0,0.0,0.0,6.0,1726141094
South Sudan,Jonglei,April,2023,6,2,0,4,17.0,4.0,0.0,13.0,1726141094
South Sudan,Jonglei,May,2023,10,2,0,7,9.0,1.0,0.0,8.0,1726141094
South Sudan,Jonglei,June,2023,10,2,0,8,3.0,3.0,0.0,0.0,1726141094
South Sudan,Jonglei,July,2023,5,2,0,3,5.0,3.0,0.0,2.0,1726141094
South Sudan,Jonglei,August,2023,6,2,0,4,10.0,1.0,0.0,9.0,1726141094
South Sudan,Jonglei,September,2023,9,1,0,8,6.0,2.0,0.0,4.0,1726141094
South Sudan,Jonglei,October,2023,7,2,0,5,8.0,4.0,0.0,4.0,1726141094
South Sudan,Jonglei,November,2023,9,4,0,5,6.0,2.0,0.0,4.0,1726141094
South Sudan,Jonglei,December,2023,7,2,0,5,7.0,1.0,0.0,6.0,1726141094
South Sudan,Jonglei,January,2024,6,1,0,5,10.0,2.0,0.0,8.0,1726141094
South Sudan,Jonglei,February,2024,8,1,0,7,18.0,5.0,0.0,13.0,1726141094
South Sudan,Jonglei,March,2024,16,4,0,12,13.0,6.0,0.0,7.0,1726141094
South Sudan,Jonglei,April,2024,10,5,0,5,12.0,3.0,0.0,9.0,1726141094
South Sudan,Jonglei,May,2024,12,4,0,8,12.0,7.0,0.0,5.0,1726141094
South Sudan,Jonglei,June,2024,11,5,0,6,16.0,10.0,0.0,6.0,1726141094
South Sudan,Jonglei,July,2024,14,8,0,6,9.0,4.0,0.0,5.0,1726141094
South Sudan,Jonglei,August,2024,9,4,0,5,8.0,2.0,0.0,6.0,1726141094
South Sudan,Lakes,March,2023,2,1,0,1,1.0,1.0,0.0,0.0,1726141094
South Sudan,Lakes,April,2023,3,2,0,1,3.0,0.0,0.0,3.0,1726141094
South Sudan,Lakes,May,2023,3,1,0,2,1.0,0.0,0.0,1.0,1726141094
South Sudan,Lakes,June,2023,2,1,0,1,3.0,3.0,0.0,0.0,1726141094
