country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Sri Lanka,Central,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Central,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Central,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Central,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Central,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Central,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Central,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Central,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Central,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Central,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Central,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Central,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Central,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Central,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Central,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Eastern,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Eastern,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Eastern,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Eastern,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Eastern,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Eastern,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Eastern,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Eastern,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141093
Sri Lanka,Eastern,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,Eastern,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,Eastern,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,Eastern,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,Eastern,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,Eastern,July,2024,0,0,0,0,1.0,0.0,1.0,0.0,1726141094
Sri Lanka,Eastern,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Central,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Central,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Central,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Central,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Central,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Central,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Central,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Central,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Central,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Central,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Central,April,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141094
Sri Lanka,North Central,May,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Central,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Central,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Central,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Western,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Western,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Western,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Western,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Western,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Western,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Western,December,2023,0,0,0,0,1.0,0.0,1.0,0.0,1726141094
Sri Lanka,North Western,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Western,February,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141094
Sri Lanka,North Western,March,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141094
Sri Lanka,North Western,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Western,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Western,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Western,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,North Western,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,Northern,June,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141094
Sri Lanka,Northern,July,2023,2,0,0,2,1.0,0.0,0.0,1.0,1726141094
Sri Lanka,Northern,August,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,Northern,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,Northern,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,Northern,November,2023,0,0,0,0,3.0,0.0,0.0,3.0,1726141094
Sri Lanka,Northern,December,2023,3,0,0,3,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,Northern,January,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141094
Sri Lanka,Northern,February,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141094
Sri Lanka,Northern,March,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141094
Sri Lanka,Northern,April,2024,1,0,0,1,2.0,0.0,0.0,2.0,1726141094
Sri Lanka,Northern,May,2024,2,0,0,2,0.0,0.0,0.0,0.0,1726141094
Sri Lanka,Northern,June,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141094
Sri Lanka,Northern,July,2024,1,0,0,1,3.0,0.0,0.0,3.0,1726141094
Sri Lanka,Northern,August,2024,3,0,0,3,1.0,0.0,0.0,1.0,1726141094
