country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Sudan,Abyei PCA,March,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141095
Sudan,Abyei PCA,April,2023,3,1,0,2,2.0,1.0,0.0,1.0,1726141095
Sudan,Abyei PCA,May,2023,3,1,0,2,2.0,0.0,0.0,2.0,1726141095
Sudan,Abyei PCA,June,2023,3,1,0,2,1.0,1.0,0.0,0.0,1726141095
Sudan,Abyei PCA,July,2023,3,2,0,1,0.0,0.0,0.0,0.0,1726141095
Sudan,Abyei PCA,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141095
Sudan,Abyei PCA,September,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141095
Sudan,Abyei PCA,October,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141095
Sudan,Abyei PCA,November,2023,7,2,3,2,6.0,0.0,0.0,6.0,1726141095
Sudan,Abyei PCA,December,2023,4,0,0,4,11.0,8.0,0.0,3.0,1726141095
Sudan,Abyei PCA,January,2024,8,5,0,3,11.0,4.0,0.0,7.0,1726141095
Sudan,Abyei PCA,February,2024,10,4,0,6,11.0,2.0,0.0,9.0,1726141095
Sudan,Abyei PCA,March,2024,7,3,1,3,0.0,0.0,0.0,0.0,1726141095
Sudan,Abyei PCA,April,2024,2,2,0,0,4.0,1.0,0.0,3.0,1726141095
Sudan,Abyei PCA,May,2024,3,1,1,1,1.0,1.0,0.0,0.0,1726141095
Sudan,Abyei PCA,June,2024,2,2,0,0,2.0,0.0,0.0,2.0,1726141095
Sudan,Abyei PCA,July,2024,3,1,0,2,0.0,0.0,0.0,0.0,1726141095
Sudan,Abyei PCA,August,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141095
Sudan,Aj Jazirah,March,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141095
Sudan,Aj Jazirah,April,2023,1,0,0,1,3.0,3.0,0.0,0.0,1726141095
Sudan,Aj Jazirah,May,2023,3,3,0,0,1.0,1.0,0.0,0.0,1726141095
Sudan,Aj Jazirah,June,2023,2,2,0,0,1.0,0.0,0.0,1.0,1726141095
Sudan,Aj Jazirah,July,2023,2,1,0,1,8.0,3.0,4.0,1.0,1726141095
Sudan,Aj Jazirah,August,2023,6,3,2,1,11.0,2.0,5.0,4.0,1726141095
Sudan,Aj Jazirah,September,2023,10,2,4,4,4.0,0.0,2.0,2.0,1726141095
Sudan,Aj Jazirah,October,2023,6,1,2,3,3.0,0.0,0.0,3.0,1726141095
Sudan,Aj Jazirah,November,2023,3,0,1,2,1.0,1.0,0.0,0.0,1726141095
Sudan,Aj Jazirah,December,2023,4,1,1,2,67.0,28.0,5.0,34.0,1726141095
Sudan,Aj Jazirah,January,2024,34,15,3,16,46.0,9.0,22.0,15.0,1726141095
Sudan,Aj Jazirah,February,2024,53,16,22,15,81.0,6.0,25.0,50.0,1726141095
Sudan,Aj Jazirah,March,2024,46,13,11,22,77.0,11.0,17.0,49.0,1726141095
Sudan,Aj Jazirah,April,2024,61,5,17,39,93.0,20.0,14.0,59.0,1726141095
Sudan,Aj Jazirah,May,2024,88,19,11,58,76.0,9.0,10.0,57.0,1726141095
Sudan,Aj Jazirah,June,2024,84,15,13,56,60.0,9.0,20.0,31.0,1726141095
Sudan,Aj Jazirah,July,2024,67,15,20,32,29.0,4.0,7.0,18.0,1726141095
Sudan,Aj Jazirah,August,2024,37,16,3,18,39.0,8.0,14.0,17.0,1726141095
Sudan,Blue Nile,March,2023,3,1,0,2,0.0,0.0,0.0,0.0,1726141095
Sudan,Blue Nile,April,2023,0,0,0,0,2.0,2.0,0.0,0.0,1726141095
Sudan,Blue Nile,May,2023,3,2,0,1,0.0,0.0,0.0,0.0,1726141095
Sudan,Blue Nile,June,2023,1,0,0,0,2.0,2.0,0.0,0.0,1726141095
Sudan,Blue Nile,July,2023,3,2,0,1,1.0,1.0,0.0,0.0,1726141095
Sudan,Blue Nile,August,2023,3,1,1,1,4.0,3.0,0.0,1.0,1726141095
Sudan,Blue Nile,September,2023,3,2,0,1,0.0,0.0,0.0,0.0,1726141095
Sudan,Blue Nile,October,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141095
Sudan,Blue Nile,November,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141095
Sudan,Blue Nile,December,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141095
Sudan,Blue Nile,January,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141095
Sudan,Blue Nile,February,2024,2,1,0,1,0.0,0.0,0.0,0.0,1726141095
Sudan,Blue Nile,March,2024,3,0,1,2,0.0,0.0,0.0,0.0,1726141095
Sudan,Blue Nile,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141095
Sudan,Blue Nile,May,2024,1,0,1,0,0.0,0.0,0.0,0.0,1726141095
Sudan,Blue Nile,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141095
Sudan,Blue Nile,July,2024,1,0,0,1,2.0,2.0,0.0,0.0,1726141095
Sudan,Blue Nile,August,2024,3,2,0,1,3.0,2.0,0.0,1.0,1726141095
Sudan,Central Darfur,March,2023,12,3,0,9,6.0,2.0,0.0,4.0,1726141095
Sudan,Central Darfur,April,2023,7,2,0,5,14.0,9.0,0.0,5.0,1726141095
Sudan,Central Darfur,May,2023,26,20,0,5,6.0,5.0,0.0,1.0,1726141095
Sudan,Central Darfur,June,2023,9,7,0,2,4.0,4.0,0.0,0.0,1726141095
Sudan,Central Darfur,July,2023,4,4,0,0,17.0,11.0,0.0,6.0,1726141095
Sudan,Central Darfur,August,2023,14,10,0,4,19.0,15.0,0.0,4.0,1726141095
Sudan,Central Darfur,September,2023,18,14,0,4,19.0,12.0,1.0,6.0,1726141095
Sudan,Central Darfur,October,2023,19,13,1,5,35.0,17.0,12.0,6.0,1726141095
Sudan,Central Darfur,November,2023,29,17,6,6,4.0,0.0,0.0,4.0,1726141095
Sudan,Central Darfur,December,2023,9,2,2,5,5.0,3.0,0.0,2.0,1726141095
Sudan,Central Darfur,January,2024,7,4,0,3,1.0,0.0,0.0,1.0,1726141095
Sudan,Central Darfur,February,2024,3,1,0,2,5.0,0.0,0.0,5.0,1726141095
Sudan,Central Darfur,March,2024,4,1,1,2,0.0,0.0,0.0,0.0,1726141095
Sudan,Central Darfur,April,2024,2,2,0,0,2.0,1.0,0.0,1.0,1726141095
Sudan,Central Darfur,May,2024,3,1,1,1,3.0,1.0,0.0,2.0,1726141095
Sudan,Central Darfur,June,2024,3,1,0,2,2.0,0.0,1.0,1.0,1726141095
Sudan,Central Darfur,July,2024,4,2,1,1,6.0,0.0,0.0,6.0,1726141095
Sudan,Central Darfur,August,2024,5,1,0,4,2.0,0.0,1.0,1.0,1726141095
Sudan,East Darfur,March,2023,1,0,0,1,1.0,0.0,1.0,0.0,1726141095
Sudan,East Darfur,April,2023,1,0,1,0,3.0,3.0,0.0,0.0,1726141095
Sudan,East Darfur,May,2023,4,3,0,0,1.0,1.0,0.0,0.0,1726141095
Sudan,East Darfur,June,2023,2,2,0,0,1.0,1.0,0.0,0.0,1726141095
Sudan,East Darfur,July,2023,2,1,0,0,0.0,0.0,0.0,0.0,1726141095
Sudan,East Darfur,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141095
Sudan,East Darfur,September,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141095
Sudan,East Darfur,October,2023,1,0,0,1,4.0,4.0,0.0,0.0,1726141095
Sudan,East Darfur,November,2023,5,4,0,1,8.0,6.0,0.0,2.0,1726141095
Sudan,East Darfur,December,2023,9,5,1,3,0.0,0.0,0.0,0.0,1726141095
Sudan,East Darfur,January,2024,1,0,0,1,3.0,0.0,3.0,0.0,1726141095
Sudan,East Darfur,February,2024,4,1,3,0,3.0,0.0,2.0,1.0,1726141095
Sudan,East Darfur,March,2024,4,1,1,2,3.0,0.0,0.0,3.0,1726141095
Sudan,East Darfur,April,2024,3,1,0,2,4.0,2.0,0.0,2.0,1726141095
Sudan,East Darfur,May,2024,5,2,1,2,1.0,0.0,1.0,0.0,1726141095
Sudan,East Darfur,June,2024,3,1,1,1,0.0,0.0,0.0,0.0,1726141095
Sudan,East Darfur,July,2024,2,1,0,1,3.0,2.0,0.0,1.0,1726141095
Sudan,East Darfur,August,2024,2,2,0,0,11.0,0.0,8.0,3.0,1726141095
Sudan,Gedaref,March,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141095
Sudan,Gedaref,April,2023,0,0,0,0,2.0,2.0,0.0,0.0,1726141095
Sudan,Gedaref,May,2023,3,2,0,1,0.0,0.0,0.0,0.0,1726141095
Sudan,Gedaref,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141095
Sudan,Gedaref,July,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141095
Sudan,Gedaref,August,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141095
Sudan,Gedaref,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141095
Sudan,Gedaref,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141095
Sudan,Gedaref,November,2023,0,0,0,0,3.0,1.0,0.0,2.0,1726141095
Sudan,Gedaref,December,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141095
Sudan,Gedaref,January,2024,1,0,0,1,4.0,3.0,0.0,1.0,1726141095
Sudan,Gedaref,February,2024,3,2,0,1,0.0,0.0,0.0,0.0,1726141095
Sudan,Gedaref,March,2024,4,1,1,2,3.0,2.0,0.0,1.0,1726141095
Sudan,Gedaref,April,2024,2,1,0,1,7.0,2.0,2.0,3.0,1726141095
Sudan,Gedaref,May,2024,5,2,1,2,5.0,3.0,2.0,0.0,1726141095
Sudan,Gedaref,June,2024,6,3,2,1,1.0,0.0,0.0,1.0,1726141095
Sudan,Gedaref,July,2024,3,2,0,1,3.0,0.0,1.0,2.0,1726141095
Sudan,Gedaref,August,2024,4,1,1,2,1.0,1.0,0.0,0.0,1726141095
Sudan,Kassala,March,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141096
Sudan,Kassala,April,2023,0,0,0,0,3.0,2.0,0.0,1.0,1726141096
Sudan,Kassala,May,2023,3,2,0,1,0.0,0.0,0.0,0.0,1726141096
Sudan,Kassala,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141096
Sudan,Kassala,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141096
Sudan,Kassala,August,2023,0,0,0,0,2.0,1.0,0.0,1.0,1726141096
Sudan,Kassala,September,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141096
Sudan,Kassala,October,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141096
Sudan,Kassala,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141096
Sudan,Kassala,December,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141096
Sudan,Kassala,January,2024,1,1,0,0,1.0,1.0,0.0,0.0,1726141096
Sudan,Kassala,February,2024,1,1,0,0,0.0,0.0,0.0,0.0,1726141096
Sudan,Kassala,March,2024,3,0,1,2,1.0,1.0,0.0,0.0,1726141096
Sudan,Kassala,April,2024,1,1,0,0,0.0,0.0,0.0,0.0,1726141096
Sudan,Kassala,May,2024,2,0,1,1,0.0,0.0,0.0,0.0,1726141096
Sudan,Kassala,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141096
Sudan,Kassala,July,2024,1,0,0,1,1.0,1.0,0.0,0.0,1726141096
Sudan,Kassala,August,2024,1,1,0,0,1.0,0.0,0.0,1.0,1726141096
Sudan,Khartoum,March,2023,2,0,0,2,2.0,0.0,0.0,2.0,1726141096
Sudan,Khartoum,April,2023,2,0,0,2,87.0,67.0,8.0,12.0,1726141096
Sudan,Khartoum,May,2023,63,47,6,9,208.0,151.0,10.0,47.0,1726141096
Sudan,Khartoum,June,2023,185,135,9,41,195.0,138.0,36.0,21.0,1726141096
Sudan,Khartoum,July,2023,194,140,31,23,320.0,248.0,21.0,51.0,1726141096
Sudan,Khartoum,August,2023,263,195,25,43,412.0,312.0,58.0,42.0,1726141096
Sudan,Khartoum,September,2023,306,225,39,42,402.0,181.0,184.0,37.0,1726141096
Sudan,Khartoum,October,2023,373,204,132,37,373.0,150.0,193.0,30.0,1726141096
Sudan,Khartoum,November,2023,327,147,148,32,284.0,121.0,140.0,23.0,1726141096
Sudan,Khartoum,December,2023,317,133,153,31,314.0,102.0,201.0,11.0,1726141096
Sudan,Khartoum,January,2024,336,126,194,16,425.0,156.0,249.0,20.0,1726141096
Sudan,Khartoum,February,2024,394,144,230,20,213.0,132.0,68.0,13.0,1726141096
Sudan,Khartoum,March,2024,238,134,82,22,152.0,81.0,62.0,9.0,1726141096
Sudan,Khartoum,April,2024,100,32,61,7,87.0,33.0,45.0,9.0,1726141096
Sudan,Khartoum,May,2024,100,40,50,10,126.0,37.0,69.0,20.0,1726141096
Sudan,Khartoum,June,2024,124,39,65,20,142.0,44.0,85.0,13.0,1726141096
Sudan,Khartoum,July,2024,161,65,83,13,87.0,49.0,29.0,9.0,1726141096
Sudan,Khartoum,August,2024,82,58,13,11,181.0,35.0,132.0,14.0,1726141096
Sudan,North Darfur,March,2023,12,1,0,11,10.0,3.0,0.0,7.0,1726141096
Sudan,North Darfur,April,2023,10,3,0,7,24.0,19.0,0.0,5.0,1726141096
Sudan,North Darfur,May,2023,27,21,0,6,13.0,12.0,0.0,1.0,1726141096
Sudan,North Darfur,June,2023,14,11,0,2,17.0,13.0,0.0,4.0,1726141096
Sudan,North Darfur,July,2023,17,11,0,6,12.0,6.0,1.0,5.0,1726141096
Sudan,North Darfur,August,2023,15,8,1,6,11.0,7.0,0.0,4.0,1726141096
Sudan,North Darfur,September,2023,9,5,0,4,17.0,6.0,0.0,11.0,1726141096
Sudan,North Darfur,October,2023,16,7,0,9,3.0,3.0,0.0,0.0,1726141096
Sudan,North Darfur,November,2023,9,3,1,5,16.0,7.0,5.0,4.0,1726141096
Sudan,North Darfur,December,2023,14,7,3,4,6.0,4.0,0.0,2.0,1726141096
Sudan,North Darfur,January,2024,9,5,0,4,10.0,7.0,3.0,0.0,1726141096
Sudan,North Darfur,February,2024,10,6,3,1,20.0,16.0,2.0,2.0,1726141096
Sudan,North Darfur,March,2024,14,11,1,2,29.0,17.0,8.0,4.0,1726141096
Sudan,North Darfur,April,2024,18,7,8,3,110.0,50.0,18.0,42.0,1726141096
Sudan,North Darfur,May,2024,77,38,1,38,74.0,37.0,22.0,15.0,1726141096
Sudan,North Darfur,June,2024,74,36,23,15,84.0,48.0,17.0,19.0,1726141096
Sudan,North Darfur,July,2024,82,47,17,18,54.0,41.0,4.0,9.0,1726141096
Sudan,North Darfur,August,2024,57,46,2,9,78.0,30.0,33.0,15.0,1726141096
Sudan,North Kordofan,March,2023,0,0,0,0,2.0,2.0,0.0,0.0,1726141096
Sudan,North Kordofan,April,2023,2,1,0,0,9.0,9.0,0.0,0.0,1726141096
Sudan,North Kordofan,May,2023,8,8,0,1,14.0,13.0,0.0,1.0,1726141096
Sudan,North Kordofan,June,2023,12,11,0,1,14.0,13.0,0.0,1.0,1726141096
Sudan,North Kordofan,July,2023,13,11,0,1,23.0,16.0,0.0,7.0,1726141096
Sudan,North Kordofan,August,2023,21,15,1,5,20.0,10.0,3.0,7.0,1726141096
Sudan,North Kordofan,September,2023,16,9,1,6,15.0,6.0,1.0,8.0,1726141096
Sudan,North Kordofan,October,2023,15,7,1,7,14.0,7.0,3.0,4.0,1726141096
Sudan,North Kordofan,November,2023,13,7,2,4,17.0,4.0,9.0,4.0,1726141096
Sudan,North Kordofan,December,2023,15,4,7,4,30.0,14.0,7.0,9.0,1726141096
Sudan,North Kordofan,January,2024,24,11,6,7,8.0,5.0,1.0,2.0,1726141096
Sudan,North Kordofan,February,2024,9,5,1,3,10.0,6.0,3.0,1.0,1726141096
Sudan,North Kordofan,March,2024,8,5,1,2,15.0,8.0,1.0,6.0,1726141096
Sudan,North Kordofan,April,2024,10,4,1,5,27.0,13.0,2.0,12.0,1726141096
Sudan,North Kordofan,May,2024,22,11,1,10,37.0,13.0,8.0,16.0,1726141096
