country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Syria,Al Hasakeh,March,2023,37,6,5,26,34.0,7.0,8.0,19.0,1726141097
Syria,Al Hasakeh,April,2023,30,7,8,15,31.0,12.0,6.0,13.0,1726141097
Syria,Al Hasakeh,May,2023,32,15,4,13,22.0,6.0,8.0,8.0,1726141097
Syria,Al Hasakeh,June,2023,29,9,8,11,46.0,13.0,14.0,19.0,1726141097
Syria,Al Hasakeh,July,2023,39,12,9,19,73.0,16.0,26.0,31.0,1726141097
Syria,Al Hasakeh,August,2023,71,16,26,29,90.0,19.0,48.0,23.0,1726141097
Syria,Al Hasakeh,September,2023,86,18,44,24,109.0,34.0,56.0,19.0,1726141097
Syria,Al Hasakeh,October,2023,97,31,46,20,184.0,22.0,142.0,20.0,1726141097
Syria,Al Hasakeh,November,2023,126,26,80,20,112.0,11.0,64.0,37.0,1726141097
Syria,Al Hasakeh,December,2023,134,11,89,34,104.0,10.0,71.0,23.0,1726141097
Syria,Al Hasakeh,January,2024,100,13,60,27,110.0,9.0,81.0,20.0,1726141097
Syria,Al Hasakeh,February,2024,95,10,65,20,51.0,11.0,19.0,21.0,1726141097
Syria,Al Hasakeh,March,2024,87,10,56,21,39.0,13.0,7.0,19.0,1726141097
Syria,Al Hasakeh,April,2024,58,15,24,19,56.0,13.0,12.0,31.0,1726141097
Syria,Al Hasakeh,May,2024,59,13,17,29,56.0,14.0,20.0,22.0,1726141097
Syria,Al Hasakeh,June,2024,55,13,20,22,56.0,15.0,16.0,25.0,1726141097
Syria,Al Hasakeh,July,2024,59,16,18,25,56.0,9.0,18.0,29.0,1726141097
Syria,Al Hasakeh,August,2024,56,12,18,26,46.0,9.0,19.0,18.0,1726141097
Syria,Aleppo,March,2023,80,20,31,29,130.0,37.0,60.0,33.0,1726141097
Syria,Aleppo,April,2023,117,36,51,30,159.0,43.0,74.0,42.0,1726141097
Syria,Aleppo,May,2023,146,43,62,42,113.0,26.0,55.0,32.0,1726141097
Syria,Aleppo,June,2023,130,33,64,33,171.0,23.0,112.0,36.0,1726141097
Syria,Aleppo,July,2023,138,26,76,36,187.0,42.0,96.0,49.0,1726141097
Syria,Aleppo,August,2023,180,41,95,44,206.0,38.0,105.0,63.0,1726141097
Syria,Aleppo,September,2023,192,39,97,56,340.0,127.0,175.0,38.0,1726141097
Syria,Aleppo,October,2023,284,125,121,38,339.0,35.0,274.0,30.0,1726141097
Syria,Aleppo,November,2023,284,44,209,31,187.0,30.0,112.0,45.0,1726141097
Syria,Aleppo,December,2023,232,30,159,43,253.0,32.0,198.0,23.0,1726141097
Syria,Aleppo,January,2024,176,31,117,28,289.0,24.0,221.0,44.0,1726141097
Syria,Aleppo,February,2024,262,28,191,43,192.0,22.0,132.0,38.0,1726141097
Syria,Aleppo,March,2024,231,21,172,38,260.0,46.0,168.0,46.0,1726141097
Syria,Aleppo,April,2024,221,36,140,45,218.0,31.0,148.0,39.0,1726141097
Syria,Aleppo,May,2024,228,31,158,39,257.0,20.0,184.0,53.0,1726141097
Syria,Aleppo,June,2024,255,20,183,52,233.0,43.0,144.0,46.0,1726141097
Syria,Aleppo,July,2024,231,41,144,46,278.0,64.0,169.0,45.0,1726141097
Syria,Aleppo,August,2024,256,59,156,41,259.0,42.0,175.0,42.0,1726141097
Syria,Ar Raqqa,March,2023,55,4,25,26,54.0,5.0,33.0,16.0,1726141097
Syria,Ar Raqqa,April,2023,50,6,29,15,34.0,8.0,20.0,6.0,1726141097
Syria,Ar Raqqa,May,2023,46,10,30,7,27.0,9.0,9.0,9.0,1726141097
Syria,Ar Raqqa,June,2023,34,9,16,9,43.0,9.0,19.0,15.0,1726141097
Syria,Ar Raqqa,July,2023,38,9,13,15,55.0,14.0,20.0,21.0,1726141097
Syria,Ar Raqqa,August,2023,51,14,19,18,36.0,12.0,14.0,10.0,1726141097
Syria,Ar Raqqa,September,2023,38,13,13,12,83.0,17.0,62.0,4.0,1726141097
Syria,Ar Raqqa,October,2023,46,17,21,8,73.0,5.0,54.0,14.0,1726141097
Syria,Ar Raqqa,November,2023,83,7,62,14,42.0,14.0,20.0,8.0,1726141097
Syria,Ar Raqqa,December,2023,59,12,38,9,32.0,11.0,13.0,8.0,1726141097
Syria,Ar Raqqa,January,2024,39,12,16,11,76.0,19.0,48.0,9.0,1726141097
Syria,Ar Raqqa,February,2024,45,13,23,9,29.0,11.0,13.0,5.0,1726141097
Syria,Ar Raqqa,March,2024,53,19,29,5,43.0,12.0,24.0,7.0,1726141097
Syria,Ar Raqqa,April,2024,38,11,20,7,31.0,5.0,20.0,6.0,1726141097
Syria,Ar Raqqa,May,2024,32,5,20,7,51.0,9.0,28.0,14.0,1726141097
Syria,Ar Raqqa,June,2024,50,8,28,14,42.0,13.0,18.0,11.0,1726141097
Syria,Ar Raqqa,July,2024,43,13,20,10,71.0,13.0,41.0,17.0,1726141097
Syria,Ar Raqqa,August,2024,41,13,18,10,64.0,16.0,17.0,31.0,1726141097
Syria,As Sweida,March,2023,5,1,2,2,10.0,4.0,1.0,5.0,1726141097
Syria,As Sweida,April,2023,12,3,8,2,10.0,3.0,4.0,3.0,1726141097
Syria,As Sweida,May,2023,12,5,4,3,9.0,4.0,1.0,4.0,1726141097
Syria,As Sweida,June,2023,13,4,5,4,4.0,1.0,0.0,3.0,1726141097
Syria,As Sweida,July,2023,11,2,6,3,20.0,9.0,2.0,9.0,1726141097
Syria,As Sweida,August,2023,15,7,2,6,12.0,3.0,4.0,5.0,1726141097
Syria,As Sweida,September,2023,12,4,3,5,7.0,1.0,1.0,5.0,1726141097
Syria,As Sweida,October,2023,12,1,6,5,2.0,0.0,1.0,1.0,1726141097
Syria,As Sweida,November,2023,10,2,7,1,11.0,1.0,4.0,6.0,1726141097
Syria,As Sweida,December,2023,18,1,11,6,16.0,6.0,7.0,3.0,1726141097
Syria,As Sweida,January,2024,14,5,6,3,16.0,3.0,9.0,4.0,1726141097
Syria,As Sweida,February,2024,21,8,9,4,5.0,1.0,2.0,2.0,1726141097
Syria,As Sweida,March,2024,14,5,7,2,6.0,1.0,0.0,5.0,1726141097
Syria,As Sweida,April,2024,13,2,6,5,9.0,3.0,4.0,2.0,1726141097
Syria,As Sweida,May,2024,16,3,11,2,3.0,1.0,0.0,2.0,1726141097
Syria,As Sweida,June,2024,5,3,0,2,12.0,7.0,3.0,2.0,1726141097
Syria,As Sweida,July,2024,10,5,3,2,11.0,7.0,3.0,1.0,1726141097
Syria,As Sweida,August,2024,16,7,6,3,10.0,4.0,1.0,5.0,1726141097
Syria,Damascus,March,2023,6,2,2,2,3.0,2.0,0.0,1.0,1726141097
Syria,Damascus,April,2023,11,2,8,2,8.0,2.0,2.0,4.0,1726141097
Syria,Damascus,May,2023,11,4,4,4,2.0,0.0,1.0,1.0,1726141097
Syria,Damascus,June,2023,8,1,5,2,2.0,0.0,1.0,1.0,1726141097
Syria,Damascus,July,2023,8,1,6,1,3.0,2.0,0.0,1.0,1726141097
Syria,Damascus,August,2023,5,2,1,2,4.0,2.0,0.0,2.0,1726141097
Syria,Damascus,September,2023,5,2,1,2,1.0,0.0,1.0,0.0,1726141097
Syria,Damascus,October,2023,7,0,6,1,2.0,1.0,0.0,1.0,1726141097
Syria,Damascus,November,2023,9,1,7,1,3.0,0.0,1.0,2.0,1726141097
Syria,Damascus,December,2023,13,0,11,2,3.0,1.0,1.0,1.0,1726141097
Syria,Damascus,January,2024,8,1,6,1,3.0,2.0,1.0,0.0,1726141097
Syria,Damascus,February,2024,7,2,5,0,3.0,2.0,1.0,0.0,1726141097
Syria,Damascus,March,2024,11,4,7,0,2.0,2.0,0.0,0.0,1726141097
Syria,Damascus,April,2024,12,2,10,0,3.0,0.0,3.0,0.0,1726141097
Syria,Damascus,May,2024,11,0,11,0,2.0,0.0,1.0,1.0,1726141097
Syria,Damascus,June,2024,3,1,1,1,2.0,0.0,0.0,2.0,1726141097
Syria,Damascus,July,2024,1,0,0,1,2.0,1.0,0.0,1.0,1726141097
Syria,Damascus,August,2024,9,1,6,2,1.0,1.0,0.0,0.0,1726141097
Syria,Dara,March,2023,41,13,10,18,52.0,21.0,11.0,20.0,1726141097
Syria,Dara,April,2023,52,22,12,18,86.0,30.0,16.0,40.0,1726141097
Syria,Dara,May,2023,64,17,9,38,68.0,16.0,20.0,32.0,1726141097
Syria,Dara,June,2023,63,20,12,31,50.0,17.0,8.0,25.0,1726141097
Syria,Dara,July,2023,59,18,13,28,75.0,31.0,19.0,25.0,1726141097
Syria,Dara,August,2023,73,30,18,25,52.0,14.0,9.0,29.0,1726141097
Syria,Dara,September,2023,52,15,8,29,59.0,18.0,16.0,25.0,1726141097
Syria,Dara,October,2023,51,15,11,25,63.0,14.0,21.0,28.0,1726141097
Syria,Dara,November,2023,54,15,11,28,47.0,12.0,12.0,23.0,1726141097
Syria,Dara,December,2023,50,12,14,24,58.0,12.0,15.0,31.0,1726141097
Syria,Dara,January,2024,52,15,10,27,53.0,24.0,16.0,13.0,1726141097
Syria,Dara,February,2024,45,16,15,14,37.0,11.0,12.0,14.0,1726141097
Syria,Dara,March,2024,45,19,12,14,56.0,16.0,18.0,22.0,1726141097
Syria,Dara,April,2024,55,17,15,23,65.0,31.0,10.0,24.0,1726141097
Syria,Dara,May,2024,66,31,11,24,58.0,10.0,21.0,27.0,1726141097
Syria,Dara,June,2024,58,11,20,27,76.0,29.0,10.0,37.0,1726141097
Syria,Dara,July,2024,75,27,11,37,72.0,33.0,6.0,33.0,1726141097
Syria,Dara,August,2024,66,30,6,30,49.0,21.0,8.0,20.0,1726141097
Syria,Deir ez Zor,March,2023,64,31,15,18,122.0,46.0,55.0,21.0,1726141097
Syria,Deir ez Zor,April,2023,89,45,24,20,123.0,67.0,38.0,18.0,1726141097
Syria,Deir ez Zor,May,2023,111,40,53,19,80.0,50.0,14.0,16.0,1726141097
Syria,Deir ez Zor,June,2023,97,48,32,18,114.0,68.0,11.0,35.0,1726141097
Syria,Deir ez Zor,July,2023,101,58,13,31,104.0,72.0,16.0,16.0,1726141097
Syria,Deir ez Zor,August,2023,104,69,16,19,169.0,122.0,17.0,30.0,1726141097
Syria,Deir ez Zor,September,2023,155,110,16,29,214.0,122.0,25.0,67.0,1726141097
Syria,Deir ez Zor,October,2023,210,120,34,56,179.0,98.0,42.0,39.0,1726141097
Syria,Deir ez Zor,November,2023,172,95,38,39,172.0,74.0,58.0,40.0,1726141097
Syria,Deir ez Zor,December,2023,151,74,38,39,196.0,101.0,63.0,32.0,1726141097
Syria,Deir ez Zor,January,2024,202,98,71,33,170.0,85.0,67.0,18.0,1726141097
Syria,Deir ez Zor,February,2024,165,82,65,18,198.0,88.0,87.0,23.0,1726141097
Syria,Deir ez Zor,March,2024,169,80,66,23,210.0,113.0,68.0,29.0,1726141097
Syria,Deir ez Zor,April,2024,217,91,97,29,161.0,102.0,21.0,38.0,1726141097
Syria,Deir ez Zor,May,2024,191,101,53,37,121.0,70.0,27.0,24.0,1726141097
Syria,Deir ez Zor,June,2024,135,83,28,24,134.0,56.0,28.0,50.0,1726141097
Syria,Deir ez Zor,July,2024,142,62,30,50,138.0,71.0,39.0,28.0,1726141097
Syria,Deir ez Zor,August,2024,135,73,33,29,193.0,111.0,54.0,28.0,1726141097
Syria,Hama,March,2023,29,3,24,2,53.0,1.0,47.0,5.0,1726141097
Syria,Hama,April,2023,33,2,29,2,68.0,2.0,62.0,4.0,1726141097
Syria,Hama,May,2023,60,5,51,4,40.0,6.0,34.0,0.0,1726141097
Syria,Hama,June,2023,59,6,52,1,69.0,6.0,62.0,1.0,1726141097
Syria,Hama,July,2023,47,6,40,2,40.0,5.0,33.0,2.0,1726141097
Syria,Hama,August,2023,40,5,33,2,65.0,7.0,57.0,1.0,1726141097
Syria,Hama,September,2023,59,7,51,1,33.0,2.0,30.0,1.0,1726141097
Syria,Hama,October,2023,50,3,46,1,77.0,7.0,69.0,1.0,1726141097
Syria,Hama,November,2023,40,6,33,1,50.0,7.0,41.0,2.0,1726141097
Syria,Hama,December,2023,58,7,49,2,31.0,5.0,26.0,0.0,1726141097
Syria,Hama,January,2024,40,4,35,1,32.0,4.0,27.0,1.0,1726141097
Syria,Hama,February,2024,26,4,21,1,31.0,11.0,20.0,0.0,1726141097
Syria,Hama,March,2024,35,8,26,1,60.0,10.0,50.0,0.0,1726141097
