country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Tajikistan,Districts of Republican Subordination,March,2024,0,0,0,0,,,,,1707335507
Tajikistan,Districts of Republican Subordination,April,2024,0,0,0,0,,,,,1707335507
Tajikistan,Districts of Republican Subordination,May,2024,0,0,0,0,,,,,1707335507
Tajikistan,Districts of Republican Subordination,June,2024,0,0,0,0,,,,,1707335507
Tajikistan,Districts of Republican Subordination,July,2024,0,0,0,0,,,,,1707335507
Tajikistan,Dushanbe,March,2024,0,0,0,0,,,,,1707335508
Tajikistan,Dushanbe,April,2024,0,0,0,0,,,,,1707335508
Tajikistan,Dushanbe,May,2024,0,0,0,0,,,,,1707335508
Tajikistan,Dushanbe,June,2024,0,0,0,0,,,,,1707335508
Tajikistan,Dushanbe,July,2024,0,0,0,0,,,,,1707335508
Tajikistan,Gorno-Badakhshan Autonomous,March,2024,0,0,0,0,,,,,1707335508
Tajikistan,Gorno-Badakhshan Autonomous,April,2024,0,0,0,0,,,,,1707335508
Tajikistan,Gorno-Badakhshan Autonomous,May,2024,0,0,0,0,,,,,1707335508
Tajikistan,Gorno-Badakhshan Autonomous,June,2024,0,0,0,0,,,,,1707335508
Tajikistan,Gorno-Badakhshan Autonomous,July,2024,0,0,0,0,,,,,1707335508
Tajikistan,Khatlon,March,2024,0,0,0,0,,,,,1707335508
Tajikistan,Khatlon,April,2024,0,0,0,0,,,,,1707335508
Tajikistan,Khatlon,May,2024,0,0,0,0,,,,,1707335508
Tajikistan,Khatlon,June,2024,0,0,0,0,,,,,1707335508
Tajikistan,Khatlon,July,2024,0,0,0,0,,,,,1707335508
Tajikistan,Sughd,March,2024,0,0,0,0,,,,,1707335508
Tajikistan,Sughd,April,2024,0,0,0,0,,,,,1707335508
Tajikistan,Sughd,May,2024,0,0,0,0,,,,,1707335508
Tajikistan,Sughd,June,2024,0,0,0,0,,,,,1707335508
Tajikistan,Sughd,July,2024,0,0,0,0,,,,,1707335508
Tajikistan,Districts of Republican Subordination,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141107
Tajikistan,Districts of Republican Subordination,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141107
Tajikistan,Districts of Republican Subordination,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141107
Tajikistan,Districts of Republican Subordination,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141107
Tajikistan,Districts of Republican Subordination,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141107
Tajikistan,Districts of Republican Subordination,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141107
Tajikistan,Districts of Republican Subordination,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141107
Tajikistan,Districts of Republican Subordination,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141107
Tajikistan,Districts of Republican Subordination,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141107
Tajikistan,Districts of Republican Subordination,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141107
Tajikistan,Districts of Republican Subordination,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141107
