country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Tanzania,Arusha,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Arusha,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Arusha,May,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141098
Tanzania,Arusha,June,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141098
Tanzania,Arusha,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Arusha,August,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141098
Tanzania,Arusha,September,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141098
Tanzania,Arusha,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Arusha,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141098
Tanzania,Arusha,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141098
Tanzania,Arusha,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Arusha,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Arusha,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Arusha,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Arusha,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Arusha,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Arusha,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Arusha,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dar es Salaam,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dar es Salaam,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dar es Salaam,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dar es Salaam,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dar es Salaam,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dar es Salaam,August,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141098
Tanzania,Dar es Salaam,September,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dar es Salaam,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dar es Salaam,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dar es Salaam,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dar es Salaam,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dar es Salaam,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dar es Salaam,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dar es Salaam,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dar es Salaam,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dar es Salaam,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dar es Salaam,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dar es Salaam,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Dodoma,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Geita,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Geita,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Geita,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Geita,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Geita,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Geita,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Geita,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Geita,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Geita,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Geita,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Geita,January,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141098
Tanzania,Geita,February,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141098
Tanzania,Geita,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Geita,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Geita,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Geita,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Geita,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Geita,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Iringa,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Iringa,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
Tanzania,Iringa,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141098
