country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Thailand,Amnat Charoen,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Amnat Charoen,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Amnat Charoen,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Amnat Charoen,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Amnat Charoen,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Amnat Charoen,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Amnat Charoen,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Amnat Charoen,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Amnat Charoen,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Amnat Charoen,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Amnat Charoen,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Amnat Charoen,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Amnat Charoen,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Amnat Charoen,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Amnat Charoen,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Amnat Charoen,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Amnat Charoen,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Amnat Charoen,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Ang Thong,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,March,2023,2,1,1,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bangkok,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bueng Kan,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bueng Kan,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bueng Kan,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bueng Kan,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bueng Kan,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bueng Kan,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bueng Kan,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bueng Kan,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bueng Kan,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bueng Kan,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bueng Kan,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141100
Thailand,Bueng Kan,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Bueng Kan,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Bueng Kan,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Bueng Kan,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Bueng Kan,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Bueng Kan,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Bueng Kan,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Buri Ram,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
Thailand,Chachoengsao,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141101
